1	Harvard University	301.3	
2	Shanghai Jiao Tong University	264.6	
3	Massachusetts Institute of Technology (MIT)	244.3	
4	Stanford University	235.8	
5	Fudan University	235.0	
6	University of Michigan-Ann Arbor	227.2	
7	Zhejiang University	224.2	
8	Soochow University (China)	222.8	
9	Johns Hopkins University	215.7	
10	Seoul National University	212.4	
11	National University of Singapore	211.7	
11	University of Pittsburgh	211.7	
13	Sichuan University	210.8	
14	Peking University	209.2	
15	Imperial College London	207.4	
16	University of North Carolina at Chapel Hill	205.3	
17	Korea University	203.8	
18	The Chinese University of Hong Kong	203.0	
19	Utrecht University	201.9	
20	Georgia Institute of Technology	201.4	
21	Columbia University	198.7	
22	University of Pennsylvania	197.9	
23	University College London	196.6	
24	University of Toronto	196.4	
25	University of California, Los Angeles	196.3	
25	University of California, San Diego	196.3	
27	ETH Zurich	195.3	
28	Sun Yat-sen University	194.6	
29	University of Science and Technology of China	193.4	
30	Pohang University of Science and Technology	192.7	
30	Tsinghua University	192.7	
32	Nanyang Technological University	190.3	
33	Emory University	190.1	
34	Wuhan University	187.7	
35	Huazhong University of Science and Technology	186.9	
36	Xi'an Jiaotong University	186.5	
37	City University of Hong Kong	186.0	
37	University of Cambridge	186.0	
39	Nanjing University	184.8	
40	University of Zurich	184.6	
41	Cornell University	183.9	
42	Northwestern University	182.4	
43	TU Dresden	181.7	
44	Tufts University	181.5	
45	Duke University	181.3	
46	University of Washington	180.1	
47	University of Wisconsin - Madison	178.7	
48	King's College London	178.4	
49	Nankai University	176.2	
50	University of California, Berkeley	175.7	
51-75	Case Western Reserve University		
51-75	Jilin University		
51-75	Jinan University		
51-75	King Abdulaziz University		
51-75	Korea Advanced Institute of Science and Technology		
51-75	Kyoto University		
51-75	Northeastern University (Boston)		
51-75	Peking Union Medical College		
51-75	Queensland University of Technology		
51-75	Radboud University Nijmegen		
51-75	Royal College of Surgeons - Ireland		
51-75	South China University of Technology		
51-75	Southeast University		
51-75	Sungkyunkwan University		
51-75	Technical University of Munich		
51-75	The University of Hong Kong		
51-75	The University of Queensland		
51-75	Tongji University		
51-75	Trinity College Dublin		
51-75	University of Bern		
51-75	University of California, San Francisco		
51-75	University of Oxford		
51-75	University of Twente		
51-75	Yale University		
51-75	Yonsei University		
76-100	Air Force Medical University		
76-100	Carnegie Mellon University		
76-100	East China University of Science and Technology		
76-100	Free University Berlin		
76-100	Hanyang University		
76-100	Konkuk University		
76-100	KU Leuven		
76-100	Leiden University		
76-100	McGill University		
76-100	Monash University		
76-100	National Taiwan University		
76-100	PSL University		
76-100	Swiss Federal Institute of Technology Lausanne		
76-100	The Ohio State University - Columbus		
76-100	The University of Melbourne		
76-100	The University of Tokyo		
76-100	Tianjin University		
76-100	University at Buffalo, the State University of New York		
76-100	University of California, Davis		
76-100	University of Florida		
76-100	University of Illinois at Urbana-Champaign		
76-100	University of Minnesota, Twin Cities		
76-100	University of Munich		
76-100	University of Porto		
76-100	University of Wuerzburg		
101-150	Army Medical University		
101-150	Catholic University of Korea		
101-150	Charite - Universitats Medizin Berlin		
101-150	Chongqing University		
101-150	Complutense University of Madrid		
101-150	Donghua University		
101-150	Erasmus University Rotterdam		
101-150	Ghent University		
101-150	Heidelberg University		
101-150	Humboldt University of Berlin		
101-150	Karolinska Institute		
101-150	Maastricht University		
101-150	Mayo Clinic Alix School of Medicine		
101-150	North Carolina State University - Raleigh		
101-150	Polytechnic University of Milan		
101-150	Purdue University - West Lafayette		
101-150	Queen Mary University of London		
101-150	Rice University		
101-150	Rutgers, The State University of New Jersey - New Brunswick		
101-150	RWTH Aachen University		
101-150	Shenzhen University		
101-150	Sorbonne University		
101-150	Southern Medical University		
101-150	The Hong Kong Polytechnic University		
101-150	The Second Military Medical University		
101-150	The University of Edinburgh		
101-150	The University of Manchester		
101-150	The University of Texas M. D. Anderson Cancer Center		
101-150	Tianjin Medical University		
101-150	University of Amsterdam		
101-150	University of Basel		
101-150	University of British Columbia		
101-150	University of California, Irvine		
101-150	University of Chicago		
101-150	University of Colorado at Boulder		
101-150	University of Freiburg		
101-150	University of Groningen		
101-150	University of Helsinki		
101-150	University of Mainz		
101-150	University of Maryland, Baltimore		
101-150	University of Maryland, College Park		
101-150	University of Minho		
101-150	University of Paris		
101-150	University of Tsukuba		
101-150	University of Utah		
101-150	Vanderbilt University		
101-150	Wake Forest University		
101-150	Washington University in St. Louis		
101-150	Wenzhou Medical University		
101-150	Xiamen University		
151-200	Arizona State University		
151-200	Baylor College of Medicine		
151-200	Boston University		
151-200	Capital Medical University		
151-200	Central South University		
151-200	CHA University		
151-200	Chongqing Medical University		
151-200	Claude Bernard University Lyon 1		
151-200	Dankook University		
151-200	Drexel University		
151-200	Eindhoven University of Technology		
151-200	Guangzhou Medical University		
151-200	Hannover Medical School		
151-200	Icahn School of Medicine at Mount Sinai		
151-200	Indiana University Bloomington		
151-200	Keio University		
151-200	KTH Royal Institute of Technology		
151-200	Kyung Hee University		
151-200	Laval University		
151-200	Medical University of Vienna		
151-200	Nanjing Medical University		
151-200	National Yang Ming Chiao Tung University		
151-200	New York University		
151-200	Northwestern Polytechnical University		
151-200	Osaka University		
151-200	Pennsylvania State University - University Park		
151-200	Rensselaer Polytechnic Institute		
151-200	Scuola Superiore Sant'Anna		
151-200	Technion-Israel Institute of Technology		
151-200	Texas A&M University		
151-200	The University of Sheffield		
151-200	The University of Texas at Austin		
151-200	The University of Texas Health Science Center at Houston		
151-200	The University of Texas Southwestern Medical Center at Dallas		
151-200	The University of Western Australia		
151-200	University of Barcelona		
151-200	University of Copenhagen		
151-200	University of Erlangen-Nuremberg		
151-200	University of Geneva		
151-200	University of Gothenburg		
151-200	University of Hamburg		
151-200	University of Illinois at Chicago		
151-200	University of Miami		
151-200	University of Montreal		
151-200	University of Nebraska Medical Center		
151-200	University of Southern California		
151-200	University of Sydney		
151-200	Uppsala University		
151-200	Virginia Polytechnic Institute and State University		
151-200	Vrije Universiteit Amsterdam		
201-300	Aarhus University		
201-300	Ajou University		
201-300	Autonomous University of Barcelona		
201-300	Beihang University		
201-300	Beijing Institute of Technology		
201-300	Brown University		
201-300	Cardiff University		
201-300	Chang Gung University		
201-300	China Medical University (Shenyang)		
201-300	Dalian University of Technology		
201-300	Delft University of Technology		
201-300	Griffith University		
201-300	Heinrich Heine University Duesseldorf		
201-300	INSA Lyon		
201-300	King Saud University		
201-300	Kyungpook National University		
201-300	Linkoping University		
201-300	Lund University		
201-300	Medical College of Wisconsin		
201-300	Michigan State University		
201-300	Nantong University		
201-300	National University of Ireland, Galway		
