1	Harvard University	301.3	100.0
2	Shanghai Jiao Tong University	264.6	77.6
3	Massachusetts Institute of Technology (MIT)	244.3	64.4
4	Stanford University	235.8	70.4
5	Fudan University	235.0	53.2
6	University of Michigan-Ann Arbor	227.2	64.8
7	Zhejiang University	224.2	59.1
8	Soochow University (China)	222.8	48.2
9	Johns Hopkins University	215.7	63.4
10	Seoul National University	212.4	56.5
11	National University of Singapore	211.7	57.3
11	University of Pittsburgh	211.7	56.7
13	Sichuan University	210.8	51.9
14	Peking University	209.2	55.8
15	Imperial College London	207.4	60.4
16	University of North Carolina at Chapel Hill	205.3	52.1
17	Korea University	203.8	49.5
18	The Chinese University of Hong Kong	203.0	39.6
19	Utrecht University	201.9	49.7
20	Georgia Institute of Technology	201.4	56.7
21	Columbia University	198.7	49.3
22	University of Pennsylvania	197.9	55.7
23	University College London	196.6	64.1
24	University of Toronto	196.4	60.7
25	University of California, Los Angeles	196.3	55.7
25	University of California, San Diego	196.3	52.5
27	ETH Zurich	195.3	54.6
28	Sun Yat-sen University	194.6	51.3
29	University of Science and Technology of China	193.4	35.0
30	Pohang University of Science and Technology	192.7	34.2
30	Tsinghua University	192.7	53.2
32	Nanyang Technological University	190.3	46.8
33	Emory University	190.1	47.8
34	Wuhan University	187.7	36.1
35	Huazhong University of Science and Technology	186.9	44.1
36	Xi'an Jiaotong University	186.5	42.0
37	City University of Hong Kong	186.0	31.0
37	University of Cambridge	186.0	48.3
39	Nanjing University	184.8	36.1
40	University of Zurich	184.6	56.3
41	Cornell University	183.9	45.7
42	Northwestern University	182.4	49.0
43	TU Dresden	181.7	41.8
44	Tufts University	181.5	41.5
45	Duke University	181.3	47.3
46	University of Washington	180.1	48.0
47	University of Wisconsin - Madison	178.7	48.4
48	King's College London	178.4	49.2
49	Nankai University	176.2	31.8
50	University of California, Berkeley	175.7	42.0
51-75	Case Western Reserve University		47.8
51-75	Jilin University		34.0
51-75	Jinan University		33.4
51-75	King Abdulaziz University		27.7
51-75	Korea Advanced Institute of Science and Technology		35.4
51-75	Kyoto University		45.0
51-75	Northeastern University (Boston)		34.3
51-75	Peking Union Medical College		44.0
51-75	Queensland University of Technology		35.4
51-75	Radboud University Nijmegen		42.0
51-75	Royal College of Surgeons - Ireland		29.8
51-75	South China University of Technology		36.2
51-75	Southeast University		34.5
51-75	Sungkyunkwan University		35.9
51-75	Technical University of Munich		45.2
51-75	The University of Hong Kong		42.8
51-75	The University of Queensland		39.1
51-75	Tongji University		42.1
51-75	Trinity College Dublin		36.7
51-75	University of Bern		48.2
51-75	University of California, San Francisco		48.6
51-75	University of Oxford		47.4
51-75	University of Twente		43.1
51-75	Yale University		37.9
51-75	Yonsei University		46.8
76-100	Air Force Medical University		39.3
76-100	Carnegie Mellon University		29.8
76-100	East China University of Science and Technology		25.1
76-100	Free University Berlin		42.7
76-100	Hanyang University		32.9
76-100	Konkuk University		29.4
76-100	KU Leuven		50.5
76-100	Leiden University		32.5
76-100	McGill University		43.0
76-100	Monash University		37.7
76-100	National Taiwan University		37.4
76-100	PSL University		31.8
76-100	Swiss Federal Institute of Technology Lausanne		42.7
76-100	The Ohio State University - Columbus		37.5
76-100	The University of Melbourne		45.4
76-100	The University of Tokyo		42.1
76-100	Tianjin University		35.4
76-100	University at Buffalo, the State University of New York		23.9
76-100	University of California, Davis		39.7
76-100	University of Florida		39.3
76-100	University of Illinois at Urbana-Champaign		35.0
76-100	University of Minnesota, Twin Cities		46.5
76-100	University of Munich		36.2
76-100	University of Porto		36.1
76-100	University of Wuerzburg		30.8
101-150	Army Medical University		33.1
101-150	Catholic University of Korea		29.6
101-150	Charite - Universitats Medizin Berlin		39.6
101-150	Chongqing University		27.7
101-150	Complutense University of Madrid		33.6
101-150	Donghua University		27.9
101-150	Erasmus University Rotterdam		39.6
101-150	Ghent University		35.5
101-150	Heidelberg University		38.7
101-150	Humboldt University of Berlin		41.4
101-150	Karolinska Institute		35.7
101-150	Maastricht University		34.9
101-150	Mayo Clinic Alix School of Medicine		44.0
101-150	North Carolina State University - Raleigh		36.2
101-150	Polytechnic University of Milan		36.2
101-150	Purdue University - West Lafayette		33.3
101-150	Queen Mary University of London		34.7
101-150	Rice University		31.8
101-150	Rutgers, The State University of New Jersey - New Brunswick		35.2
101-150	RWTH Aachen University		38.3
101-150	Shenzhen University		28.3
101-150	Sorbonne University		39.3
101-150	Southern Medical University		38.7
101-150	The Hong Kong Polytechnic University		25.6
101-150	The Second Military Medical University		28.1
101-150	The University of Edinburgh		38.2
101-150	The University of Manchester		36.9
101-150	The University of Texas M. D. Anderson Cancer Center		27.7
101-150	Tianjin Medical University		27.0
101-150	University of Amsterdam		32.3
101-150	University of Basel		32.5
101-150	University of British Columbia		41.8
101-150	University of California, Irvine		32.9
101-150	University of Chicago		31.4
101-150	University of Colorado at Boulder		28.5
101-150	University of Freiburg		37.4
101-150	University of Groningen		34.5
101-150	University of Helsinki		28.7
101-150	University of Mainz		29.4
101-150	University of Maryland, Baltimore		30.8
101-150	University of Maryland, College Park		31.6
101-150	University of Minho		39.3
101-150	University of Paris		33.1
101-150	University of Tsukuba		27.7
101-150	University of Utah		40.0
101-150	Vanderbilt University		38.5
101-150	Wake Forest University		37.4
101-150	Washington University in St. Louis		41.7
101-150	Wenzhou Medical University		28.1
101-150	Xiamen University		27.2
151-200	Arizona State University		27.2
151-200	Baylor College of Medicine		32.3
151-200	Boston University		32.9
151-200	Capital Medical University		34.3
151-200	Central South University		30.2
151-200	CHA University		22.3
151-200	Chongqing Medical University		25.9
151-200	Claude Bernard University Lyon 1		32.1
151-200	Dankook University		24.4
151-200	Drexel University		28.7
151-200	Eindhoven University of Technology		37.9
151-200	Guangzhou Medical University		27.9
151-200	Hannover Medical School		32.3
151-200	Icahn School of Medicine at Mount Sinai		30.2
151-200	Indiana University Bloomington		27.2
151-200	Keio University		35.0
151-200	KTH Royal Institute of Technology		25.4
151-200	Kyung Hee University		31.8
151-200	Laval University		28.5
151-200	Medical University of Vienna		31.8
151-200	Nanjing Medical University		31.6
151-200	National Yang Ming Chiao Tung University		34.7
151-200	New York University		37.9
151-200	Northwestern Polytechnical University		25.1
151-200	Osaka University		38.0
151-200	Pennsylvania State University - University Park		29.2
151-200	Rensselaer Polytechnic Institute		25.1
151-200	Scuola Superiore Sant'Anna		28.5
151-200	Technion-Israel Institute of Technology		31.0
151-200	Texas A&M University		31.9
151-200	The University of Sheffield		32.7
151-200	The University of Texas at Austin		30.4
151-200	The University of Texas Health Science Center at Houston		31.4
