1	Harvard University	301.3	100.0
2	Shanghai Jiao Tong University	264.6	95.1
3	Massachusetts Institute of Technology (MIT)	244.3	70.1
4	Stanford University	235.8	61.6
5	Fudan University	235.0	90.5
6	University of Michigan-Ann Arbor	227.2	68.9
7	Zhejiang University	224.2	74.3
8	Soochow University (China)	222.8	73.7
9	Johns Hopkins University	215.7	63.0
10	Seoul National University	212.4	77.7
11	National University of Singapore	211.7	65.7
11	University of Pittsburgh	211.7	68.2
13	Sichuan University	210.8	68.2
14	Peking University	209.2	65.7
15	Imperial College London	207.4	44.5
16	University of North Carolina at Chapel Hill	205.3	54.1
17	Korea University	203.8	59.5
18	The Chinese University of Hong Kong	203.0	50.0
19	Utrecht University	201.9	39.4
20	Georgia Institute of Technology	201.4	54.1
21	Columbia University	198.7	50.0
22	University of Pennsylvania	197.9	50.0
23	University College London	196.6	44.5
24	University of Toronto	196.4	51.7
25	University of California, Los Angeles	196.3	50.0
25	University of California, San Diego	196.3	39.4
27	ETH Zurich	195.3	43.5
28	Sun Yat-sen University	194.6	58.0
29	University of Science and Technology of China	193.4	60.9
30	Pohang University of Science and Technology	192.7	46.4
30	Tsinghua University	192.7	45.5
32	Nanyang Technological University	190.3	49.1
33	Emory University	190.1	46.4
34	Wuhan University	187.7	60.2
35	Huazhong University of Science and Technology	186.9	50.9
36	Xi'an Jiaotong University	186.5	47.3
37	City University of Hong Kong	186.0	50.0
37	University of Cambridge	186.0	32.2
39	Nanjing University	184.8	57.2
40	University of Zurich	184.6	32.2
41	Cornell University	183.9	50.0
42	Northwestern University	182.4	42.5
43	TU Dresden	181.7	45.5
44	Tufts University	181.5	45.5
45	Duke University	181.3	50.0
46	University of Washington	180.1	44.5
47	University of Wisconsin - Madison	178.7	44.5
48	King's College London	178.4	33.5
49	Nankai University	176.2	49.1
50	University of California, Berkeley	175.7	38.3
51-75	Case Western Reserve University		32.2
51-75	Jilin University		54.1
51-75	Jinan University		49.1
51-75	King Abdulaziz University		29.4
51-75	Korea Advanced Institute of Science and Technology		44.5
51-75	Kyoto University		40.5
51-75	Northeastern University (Boston)		39.4
51-75	Peking Union Medical College		41.5
51-75	Queensland University of Technology		42.5
51-75	Radboud University Nijmegen		16.1
51-75	Royal College of Surgeons - Ireland		34.7
51-75	South China University of Technology		47.3
51-75	Southeast University		46.4
51-75	Sungkyunkwan University		50.0
51-75	Technical University of Munich		32.2
51-75	The University of Hong Kong		36.0
51-75	The University of Queensland		38.3
51-75	Tongji University		49.1
51-75	Trinity College Dublin		36.0
51-75	University of Bern		20.8
51-75	University of California, San Francisco		30.8
51-75	University of Oxford		32.2
51-75	University of Twente		37.1
51-75	Yale University		48.2
51-75	Yonsei University		50.0
76-100	Air Force Medical University		42.5
76-100	Carnegie Mellon University		38.3
76-100	East China University of Science and Technology		39.4
76-100	Free University Berlin		36.0
76-100	Hanyang University		47.3
76-100	Konkuk University		41.5
76-100	KU Leuven		22.7
76-100	Leiden University		34.7
76-100	McGill University		27.9
76-100	Monash University		37.1
76-100	National Taiwan University		50.9
76-100	PSL University		22.7
76-100	Swiss Federal Institute of Technology Lausanne		33.5
76-100	The Ohio State University - Columbus		37.1
76-100	The University of Melbourne		32.2
76-100	The University of Tokyo		41.5
76-100	Tianjin University		38.3
76-100	University at Buffalo, the State University of New York		37.1
76-100	University of California, Davis		41.5
76-100	University of Florida		41.5
76-100	University of Illinois at Urbana-Champaign		36.0
76-100	University of Minnesota, Twin Cities		41.5
76-100	University of Munich		38.3
76-100	University of Porto		39.4
76-100	University of Wuerzburg		26.3
101-150	Army Medical University		45.5
101-150	Catholic University of Korea		42.5
101-150	Charite - Universitats Medizin Berlin		32.2
101-150	Chongqing University		39.4
101-150	Complutense University of Madrid		20.8
101-150	Donghua University		29.4
101-150	Erasmus University Rotterdam		26.3
101-150	Ghent University		29.4
101-150	Heidelberg University		20.8
101-150	Humboldt University of Berlin		32.2
101-150	Karolinska Institute		24.6
101-150	Maastricht University		27.9
101-150	Mayo Clinic Alix School of Medicine		29.4
101-150	North Carolina State University - Raleigh		34.7
101-150	Polytechnic University of Milan		30.8
101-150	Purdue University - West Lafayette		33.5
101-150	Queen Mary University of London		27.9
101-150	Rice University		36.0
101-150	Rutgers, The State University of New Jersey - New Brunswick		32.2
101-150	RWTH Aachen University		34.7
101-150	Shenzhen University		30.8
101-150	Sorbonne University		33.5
101-150	Southern Medical University		38.3
101-150	The Hong Kong Polytechnic University		26.3
101-150	The Second Military Medical University		38.3
101-150	The University of Edinburgh		18.6
101-150	The University of Manchester		27.9
101-150	The University of Texas M. D. Anderson Cancer Center		30.8
101-150	Tianjin Medical University		36.0
101-150	University of Amsterdam		22.7
101-150	University of Basel		29.4
101-150	University of British Columbia		30.8
101-150	University of California, Irvine		29.4
101-150	University of Chicago		32.2
101-150	University of Colorado at Boulder		33.5
101-150	University of Freiburg		22.7
101-150	University of Groningen		22.7
101-150	University of Helsinki		29.4
101-150	University of Mainz		34.7
101-150	University of Maryland, Baltimore		36.0
101-150	University of Maryland, College Park		32.2
101-150	University of Minho		22.7
101-150	University of Paris		27.9
101-150	University of Tsukuba		37.1
101-150	University of Utah		41.5
101-150	Vanderbilt University		32.2
101-150	Wake Forest University		32.2
101-150	Washington University in St. Louis		32.2
101-150	Wenzhou Medical University		34.7
101-150	Xiamen University		38.3
151-200	Arizona State University		27.9
151-200	Baylor College of Medicine		22.7
151-200	Boston University		22.7
151-200	Capital Medical University		30.8
151-200	Central South University		30.8
151-200	CHA University		37.1
151-200	Chongqing Medical University		36.0
151-200	Claude Bernard University Lyon 1		24.6
151-200	Dankook University		32.2
151-200	Drexel University		27.9
151-200	Eindhoven University of Technology		18.6
151-200	Guangzhou Medical University		30.8
151-200	Hannover Medical School		30.8
151-200	Icahn School of Medicine at Mount Sinai		16.1
151-200	Indiana University Bloomington		20.8
151-200	Keio University		16.1
151-200	KTH Royal Institute of Technology		22.7
151-200	Kyung Hee University		24.6
151-200	Laval University		24.6
151-200	Medical University of Vienna		18.6
151-200	Nanjing Medical University		30.8
151-200	National Yang Ming Chiao Tung University		39.4
151-200	New York University		16.1
151-200	Northwestern Polytechnical University		24.6
151-200	Osaka University		32.2
151-200	Pennsylvania State University - University Park		36.0
151-200	Rensselaer Polytechnic Institute		22.7
151-200	Scuola Superiore Sant'Anna		16.1
151-200	Technion-Israel Institute of Technology		27.9
151-200	Texas A&M University		20.8
151-200	The University of Sheffield		22.7
151-200	The University of Texas at Austin		26.3
151-200	The University of Texas Health Science Center at Houston		24.6
151-200	The University of Texas Southwestern Medical Center at Dallas		18.6
151-200	The University of Western Australia		24.6
151-200	University of Barcelona		20.8
151-200	University of Copenhagen		20.8
151-200	University of Erlangen-Nuremberg		13.1
151-200	University of Geneva		22.7
151-200	University of Gothenburg		18.6
151-200	University of Hamburg		26.3
151-200	University of Illinois at Chicago		29.4
151-200	University of Miami		26.3
151-200	University of Montreal		24.6
151-200	University of Nebraska Medical Center		34.7
151-200	University of Southern California		24.6
151-200	University of Sydney		27.9
151-200	Uppsala University		27.9
151-200	Virginia Polytechnic Institute and State University		29.4
151-200	Vrije Universiteit Amsterdam		16.1
201-300	Aarhus University		22.7
201-300	Ajou University		27.9
201-300	Autonomous University of Barcelona		20.8
201-300	Beihang University		30.8
201-300	Beijing Institute of Technology		18.6
201-300	Brown University		18.6
201-300	Cardiff University		18.6
201-300	Chang Gung University		34.7
201-300	China Medical University (Shenyang)		24.6
201-300	Dalian University of Technology		29.4
201-300	Delft University of Technology		9.3
201-300	Griffith University		13.1
201-300	Heinrich Heine University Duesseldorf		16.1
201-300	INSA Lyon		18.6
201-300	King Saud University		24.6
201-300	Kyungpook National University		33.5
201-300	Linkoping University		13.1
201-300	Lund University		18.6
201-300	Medical College of Wisconsin		22.7
201-300	Michigan State University		16.1
201-300	Nantong University		29.4
201-300	National University of Ireland, Galway		22.7
201-300	Newcastle University		16.1
201-300	Norwegian University of Science and Technology - NTNU		13.1
201-300	Oregon Health and Science University		9.3
201-300	Paris-Saclay University		13.1
201-300	Polytechnic University of Catalonia		20.8
201-300	Polytechnic University of Turin		18.6
201-300	Pusan National University		20.8
201-300	Sapienza University of Rome		18.6
201-300	Shandong University		30.8
201-300	Shanghai University		20.8
201-300	Southwest Jiaotong University		26.3
201-300	Stony Brook University		13.1
201-300	Tabriz University of Medical Science		0.0
201-300	Taipei Medical University		30.8
201-300	Tampere University		18.6
201-300	Technical University of Denmark		9.3
201-300	Tehran University of Medical Sciences		18.6
201-300	Tel Aviv University		20.8
201-300	The George Washington University		18.6
201-300	The University of Adelaide		18.6
201-300	The University of Akron		24.6
201-300	The University of Auckland		16.1
201-300	The University of Calgary		18.6
201-300	The University of Glasgow		20.8
201-300	The University of New South Wales		18.6
201-300	The University of Texas Health Science Center at San Antonio		16.1
201-300	Tohoku University		20.8
201-300	Tokyo Medical and Dental University		16.1
201-300	Université Grenoble Alpes		29.4
201-300	University College Dublin		16.1
201-300	University of Alabama at Birmingham		26.3
201-300	University of Arizona		20.8
201-300	University of Birmingham		20.8
201-300	University of Bologna		16.1
201-300	University of Bordeaux		13.1
201-300	University of Bristol		22.7
201-300	University of Cincinnati		20.8
201-300	University of Coimbra		22.7
201-300	University of Connecticut		16.1
201-300	University of Delaware		27.9
201-300	University of Eastern Finland		13.1
201-300	University of Genoa		16.1
201-300	University of Goettingen		9.3
201-300	University of Granada		13.1
201-300	University of Houston		18.6
201-300	University of Iowa		13.1
201-300	University of Kentucky		24.6
201-300	University of Lausanne		24.6
201-300	University of Leipzig		20.8
201-300	University of Lisbon		16.1
201-300	University of Liverpool		18.6
201-300	University of Louisville		20.8
