1	Harvard University	301.3	81.4
2	Shanghai Jiao Tong University	264.6	62.9
3	Massachusetts Institute of Technology (MIT)	244.3	82.0
4	Stanford University	235.8	72.2
5	Fudan University	235.0	54.6
6	University of Michigan-Ann Arbor	227.2	63.4
7	Zhejiang University	224.2	62.8
8	Soochow University (China)	222.8	59.4
9	Johns Hopkins University	215.7	73.1
10	Seoul National University	212.4	54.1
11	National University of Singapore	211.7	86.0
11	University of Pittsburgh	211.7	63.0
13	Sichuan University	210.8	58.0
14	Peking University	209.2	60.7
15	Imperial College London	207.4	78.7
16	University of North Carolina at Chapel Hill	205.3	70.7
17	Korea University	203.8	72.0
18	The Chinese University of Hong Kong	203.0	67.0
19	Utrecht University	201.9	79.4
20	Georgia Institute of Technology	201.4	60.3
21	Columbia University	198.7	72.1
22	University of Pennsylvania	197.9	61.6
23	University College London	196.6	80.0
24	University of Toronto	196.4	71.2
25	University of California, Los Angeles	196.3	71.6
25	University of California, San Diego	196.3	72.1
27	ETH Zurich	195.3	83.9
28	Sun Yat-sen University	194.6	58.8
29	University of Science and Technology of China	193.4	65.7
30	Pohang University of Science and Technology	192.7	60.6
30	Tsinghua University	192.7	67.2
32	Nanyang Technological University	190.3	86.4
33	Emory University	190.1	64.2
34	Wuhan University	187.7	63.3
35	Huazhong University of Science and Technology	186.9	68.9
36	Xi'an Jiaotong University	186.5	70.0
37	City University of Hong Kong	186.0	57.6
37	University of Cambridge	186.0	83.7
39	Nanjing University	184.8	54.5
40	University of Zurich	184.6	84.9
41	Cornell University	183.9	63.8
42	Northwestern University	182.4	65.6
43	TU Dresden	181.7	72.6
44	Tufts University	181.5	73.5
45	Duke University	181.3	56.8
46	University of Washington	180.1	70.0
47	University of Wisconsin - Madison	178.7	59.0
48	King's College London	178.4	83.9
49	Nankai University	176.2	56.4
50	University of California, Berkeley	175.7	65.6
51-75	Case Western Reserve University		62.6
51-75	Jilin University		51.6
51-75	Jinan University		55.0
51-75	King Abdulaziz University		100.0
51-75	Korea Advanced Institute of Science and Technology		55.8
51-75	Kyoto University		58.7
51-75	Northeastern University (Boston)		76.5
51-75	Peking Union Medical College		54.9
51-75	Queensland University of Technology		82.9
51-75	Radboud University Nijmegen		83.3
