1	University of California, Berkeley	376.9	90.9
2	Stanford University	358.5	90.1
3	Massachusetts Institute of Technology (MIT)	356.1	81.6
4	Northwestern University	338.1	62.4
5	Harvard University	326.8	75.0
6	California Institute of Technology	323.9	100.0
7	University of Chicago	295.2	31.2
8	University of Science and Technology of China	293.7	0.0
9	University of Cambridge	293.2	35.4
10	ETH Zurich	292.4	44.5
11	Nanyang Technological University	285.0	0.0
12	The University of Texas at Austin	282.2	49.3
13	Georgia Institute of Technology	281.8	40.8
14	Tsinghua University	279.8	0.0
15	The University of Tokyo	274.2	28.9
16	Peking University	273.0	0.0
17	Columbia University	262.5	51.4
18	Kyoto University	262.3	14.4
19	University of Oxford	261.0	14.4
20	Nankai University	258.2	0.0
21	National University of Singapore	256.5	0.0
22	Texas A&M University	253.5	50.0
23	Nanjing University	251.6	0.0
24	University of California, Los Angeles	251.5	18.6
25	Zhejiang University	250.0	0.0
26	Soochow University (China)	249.5	0.0
27	Fudan University	245.7	0.0
28	University of California, San Diego	245.5	28.9
29	Swiss Federal Institute of Technology Lausanne	244.2	0.0
30	University of North Carolina at Chapel Hill	238.8	37.3
31	Tianjin University	237.5	0.0
32	University of Illinois at Urbana-Champaign	237.3	11.8
33	Cornell University	237.1	25.0
33	South China University of Technology	237.1	0.0
35	University of Toronto	235.7	18.6
36	Xiamen University	235.6	0.0
37	Shanghai Jiao Tong University	234.8	0.0
38	Jilin University	233.0	0.0
39	King Abdullah University of Science and Technology	232.5	0.0
40	University of Utah	232.0	50.0
41	University of Strasbourg	229.3	30.0
42	University of California, Santa Barbara	228.7	26.4
43	Imperial College London	227.6	14.4
44	Rice University	227.5	37.3
45	Sun Yat-sen University	226.1	0.0
46	Purdue University - West Lafayette	225.9	28.9
47	University of Minnesota, Twin Cities	225.4	20.4
48	University of Southern California	223.5	51.4
49	Paris-Saclay University	223.0	20.4
49	University of Pennsylvania	223.0	16.7
51-75	Carnegie Mellon University		37.3
51-75	Duke University		26.4
51-75	East China University of Science and Technology		0.0
51-75	Huazhong University of Science and Technology		0.0
51-75	Hunan University		0.0
51-75	Johns Hopkins University		25.0
51-75	Karlsruhe Institute of Technology (KIT)		0.0
51-75	King Abdulaziz University		0.0
51-75	Korea Advanced Institute of Science and Technology		0.0
51-75	Nagoya University		27.0
51-75	Pennsylvania State University - University Park		0.0
51-75	Sichuan University		0.0
51-75	Technical University of Munich		0.0
51-75	Technion-Israel Institute of Technology		50.0
51-75	The Hong Kong University of Science and Technology		0.0
51-75	The University of Manchester		0.0
51-75	University of California, Irvine		26.4
51-75	University of Goettingen		0.0
51-75	University of Groningen		23.6
51-75	University of Michigan-Ann Arbor		0.0
51-75	University of Washington		0.0
51-75	University of Wisconsin - Madison		0.0
51-75	Weizmann Institute of Science		32.3
51-75	Wuhan University		0.0
51-75	Yale University		20.4
76-100	Arizona State University		35.4
76-100	Beijing University of Chemical Technology		0.0
76-100	City University of Hong Kong		0.0
76-100	Dalian University of Technology		0.0
76-100	Hokkaido University		20.4
76-100	Monash University		0.0
76-100	NanJing Tech University		0.0
76-100	Osaka University		0.0
76-100	Pohang University of Science and Technology		0.0
76-100	Princeton University		0.0
76-100	RWTH Aachen University		0.0
76-100	Seoul National University		0.0
76-100	Shandong University		0.0
76-100	Sorbonne University		0.0
76-100	Southern University of Science and Technology		0.0
76-100	Technical University of Berlin		0.0
76-100	TU Dresden		0.0
76-100	Ulsan National Institute of Science and Technology		0.0
76-100	University College London		0.0
76-100	University of Alberta		28.9
76-100	University of Erlangen-Nuremberg		0.0
76-100	University of Muenster		0.0
76-100	University of Munich		0.0
76-100	Xi'an Jiaotong University		0.0
76-100	Zhengzhou University		0.0
101-150	Aarhus University		20.4
101-150	Autonomous University of Barcelona		0.0
101-150	Beihang University		0.0
101-150	Beijing Institute of Technology		0.0
101-150	Central South University		0.0
101-150	Chongqing University		0.0
101-150	Delft University of Technology		0.0
101-150	East China Normal University		0.0
101-150	Eindhoven University of Technology		0.0
101-150	Free University Berlin		0.0
101-150	Fuzhou University		0.0
101-150	Harbin Institute of Technology		0.0
101-150	Korea University		0.0
101-150	KU Leuven		0.0
101-150	Kyushu University		0.0
101-150	Lanzhou University		0.0
101-150	National Taiwan University		0.0
101-150	North Carolina State University - Raleigh		0.0
101-150	PSL University		0.0
101-150	Rutgers, The State University of New Jersey - New Brunswick		0.0
101-150	ShanghaiTech University		0.0
101-150	Shenzhen University		0.0
101-150	Sungkyunkwan University		0.0
101-150	The Chinese University of Hong Kong		0.0
101-150	The Hebrew University of Jerusalem		14.4
101-150	The University of Adelaide		0.0
101-150	The University of Hong Kong		0.0
101-150	The University of New South Wales		0.0
101-150	The University of Queensland		0.0
101-150	Tohoku University		0.0
101-150	Tokyo Institute of Technology		0.0
101-150	Université Grenoble Alpes		0.0
101-150	University of Bochum		0.0
101-150	University of Bristol		0.0
101-150	University of British Columbia		20.4
101-150	University of California, Riverside		0.0
101-150	University of Colorado at Boulder		14.4
101-150	University of Delaware		20.4
101-150	University of Florida		0.0
101-150	University of Maryland, College Park		0.0
101-150	University of Massachusetts Amherst		0.0
101-150	University of Oregon		40.8
101-150	University of Pittsburgh		0.0
101-150	University of Tennessee - Knoxville		0.0
101-150	University of the Basque Country		0.0
101-150	University of Warwick		0.0
101-150	University of Wollongong		0.0
101-150	University Rovira i Virgili		0.0
101-150	Wuhan University of Technology		0.0
101-150	Yonsei University		0.0
151-200	Boston College		0.0
151-200	Case Western Reserve University		0.0
151-200	Central China Normal University		0.0
151-200	Claude Bernard University Lyon 1		0.0
151-200	Donghua University		0.0
151-200	Emory University		0.0
151-200	Florida State University		0.0
151-200	Ghent University		0.0
151-200	Heidelberg University		0.0
151-200	Humboldt University of Berlin		0.0
151-200	Iowa State University		0.0
151-200	Jiangsu University		0.0
151-200	KTH Royal Institute of Technology		0.0
151-200	McGill University		0.0
151-200	Nanjing Normal University		0.0
151-200	Paul Sabatier University (Toulouse 3)		0.0
151-200	Queensland University of Technology		0.0
151-200	Shaanxi Normal University		0.0
151-200	Shanghai University		0.0
151-200	Southeast University		0.0
151-200	Stockholm University		0.0
151-200	Stony Brook University		0.0
151-200	Technical University of Denmark		0.0
151-200	The Hong Kong Polytechnic University		0.0
151-200	The Ohio State University - Columbus		0.0
151-200	The University of Edinburgh		0.0
151-200	The University of Melbourne		0.0
151-200	Tongji University		0.0
151-200	University at Buffalo, the State University of New York		0.0
151-200	University of Amsterdam		0.0
151-200	University of Barcelona		0.0
151-200	University of Basel		0.0
151-200	University of Bath		0.0
151-200	University of Bordeaux		0.0
151-200	University of California, Davis		0.0
151-200	University of Electronic Science and Technology of China		0.0
151-200	University of Liverpool		0.0
151-200	University of Marburg		0.0
151-200	University of Missouri - Columbia		40.8
151-200	University of Montpellier		0.0
151-200	University of Nebraska - Lincoln		0.0
151-200	University of Regensburg		0.0
151-200	University of Rochester		23.6
151-200	University of Science and Technology Beijing		0.0
151-200	University of South Florida		0.0
151-200	University of Valencia		0.0
151-200	University of Waterloo		0.0
151-200	University of Wuerzburg		0.0
151-200	Uppsala University		0.0
151-200	Utrecht University		0.0
201-300	Aalto University		0.0
201-300	Academy of Scientific and Innovative Research (AcSIR)		0.0
201-300	Aix Marseille University		0.0
201-300	Autonomous University of Madrid		0.0
201-300	Beijing Normal University		0.0
201-300	Binghamton University		23.6
201-300	Boston University		14.4
201-300	Brown University		0.0
201-300	Cardiff University		0.0
201-300	Chalmers University of Technology		0.0
201-300	Colorado State University		0.0
201-300	Complutense University of Madrid		0.0
201-300	Curtin University		0.0
201-300	Drexel University		0.0
201-300	Durham University		0.0
201-300	ENSCM, Chimie Montpellier		0.0
201-300	Ewha Womans University		0.0
201-300	Goethe University Frankfurt		0.0
201-300	Griffith University		0.0
201-300	Hanyang University		0.0
201-300	Indian Institute of Science		0.0
201-300	Indiana University Bloomington		0.0
201-300	Jiangnan University		0.0
201-300	Jinan University		0.0
201-300	Kent State University		0.0
201-300	King Saud University		0.0
201-300	Leiden University		0.0
201-300	Linkoping University		0.0
201-300	Lund University		0.0
201-300	Nanchang University		0.0
201-300	Nanjing University of Posts and Telecommunications		0.0
201-300	Nanjing University of Science and Technology		0.0
201-300	National Tsing Hua University		0.0
201-300	New York University		0.0
201-300	Northeast Normal University		0.0
201-300	Northwest University		0.0
201-300	Northwestern Polytechnical University		0.0
201-300	Oregon State University		0.0
201-300	Polytechnic University of Valencia		0.0
201-300	Qingdao University		0.0
201-300	Qingdao University of Science and Technology		0.0
201-300	Queen Mary University of London		0.0
201-300	Radboud University Nijmegen		0.0
201-300	Rutgers University - Newark		0.0
201-300	Shandong Normal University		0.0
201-300	Singapore University of Technology & Design		0.0
201-300	Southwest University		0.0
201-300	Tel Aviv University		14.4
201-300	The Australian National University		0.0
201-300	The University of Georgia		0.0
201-300	The University of Glasgow		0.0
201-300	The University of New Mexico - Albuquerque		0.0
201-300	The University of Sheffield		0.0
201-300	The University of Texas at San Antonio		0.0
201-300	Tianjin University of Technology		0.0
201-300	Trinity College Dublin		0.0
201-300	University of Antwerp		0.0
201-300	University of Bayreuth		0.0
201-300	University of Bologna		0.0
201-300	University of Bonn		0.0
201-300	University of California, Santa Cruz		0.0
201-300	University of Copenhagen		0.0
201-300	University of Florence		0.0
201-300	University of Freiburg		0.0
201-300	University of Geneva		0.0
201-300	University of Giessen		0.0
201-300	University of Girona		0.0
201-300	University of Houston		0.0
201-300	University of Illinois at Chicago		0.0
201-300	University of Jena		0.0
201-300	University of Jinan		0.0
201-300	University of Jyvaskyla		0.0
201-300	University of Leeds		0.0
201-300	University of Lisbon		0.0
201-300	University of Mainz		0.0
201-300	University of Notre Dame		0.0
201-300	University of Nottingham		0.0
201-300	University of Ottawa		0.0
201-300	University of Padua		0.0
201-300	University of Paris		0.0
201-300	University of Rennes 1		0.0
201-300	University of Rostock		0.0
201-300	University of South Carolina - Columbia		0.0
201-300	University of Southampton		0.0
201-300	University of St Andrews		0.0
201-300	University of Stuttgart		0.0
201-300	University of Sussex		26.4
201-300	University of Sydney		0.0
201-300	University of Technology Sydney		0.0
201-300	University of Tsukuba		16.7
201-300	University of Vienna		0.0
201-300	University of Virginia		0.0
201-300	University of York		0.0
201-300	University of Zaragoza		0.0
201-300	University of Zurich		0.0
201-300	Vanderbilt University		0.0
201-300	Washington State University		0.0
201-300	Yangzhou University		0.0
201-300	Zhejiang Normal University		0.0
201-300	Zhejiang University of Technology		0.0
301-400	Anhui Normal University		0.0
301-400	Anhui University		0.0
301-400	Beijing University of Technology		0.0
301-400	Ben-Gurion University of the Negev		0.0
301-400	Charles University in Prague		0.0
301-400	China Agricultural University		0.0
301-400	China Pharmaceutical University		0.0
301-400	China University of Petroleum (Huadong)		0.0
301-400	Daegu Gyeongbuk Institute of Science & Technology		0.0
301-400	Dalhousie University		0.0
301-400	Deakin University		0.0
301-400	Ecole Normale Superieure - Lyon		0.0
301-400	Graz University of Technology		0.0
301-400	Guangdong University of Technology		0.0
301-400	Guangzhou University		0.0
301-400	Hefei University of Technology		0.0
301-400	Henan Normal University		0.0
301-400	Henan University		0.0
301-400	Hubei University		0.0
301-400	Indian Institute of Technology Bombay		0.0
301-400	INSA Toulouse		0.0
301-400	Institut Polytechnique de Paris		0.0
301-400	Jiangsu Normal University		0.0
301-400	Jiangxi Normal University		0.0
301-400	King Fahd University of Petroleum & Minerals		0.0
301-400	King's College London		0.0
301-400	Kyung Hee University		0.0
301-400	Leibniz University Hannover		0.0
301-400	McMaster University		0.0
301-400	Michigan State University		0.0
301-400	Moscow State University		0.0
301-400	Nanjing University of Aeronautics and Astronautics		0.0
301-400	National Polytechnic Institute of Toulouse		0.0
301-400	National Yang Ming Chiao Tung University		0.0
301-400	Northeastern University (Boston)		0.0
301-400	Ocean University of China		0.0
301-400	Polytechnic University of Milan		0.0
301-400	Queen's University		0.0
301-400	Queen's University Belfast		0.0
301-400	Qufu Normal University		0.0
301-400	Rensselaer Polytechnic Institute		0.0
301-400	RMIT University		0.0
301-400	Sapienza University of Rome		0.0
301-400	Shandong University of Science and Technology		0.0
301-400	Shanxi University		0.0
301-400	South China Normal University		0.0
301-400	Technical University Darmstadt		0.0
301-400	Technical University of Braunschweig		0.0
301-400	Technical University of Dortmund		0.0
301-400	Temple University		0.0
301-400	The University of Akron		0.0
301-400	The University of Auckland		0.0
301-400	The University of Calgary		0.0
301-400	The University of Texas at Dallas		0.0
301-400	The University of Texas Southwestern Medical Center at Dallas		8.3
301-400	Universitat Jaume I		0.0
301-400	University of Aveiro		0.0
301-400	University of Bern		0.0
301-400	University of Birmingham		0.0
301-400	University of California, San Francisco		0.0
301-400	University of Central Florida		0.0
301-400	University of Cologne		0.0
301-400	University of Connecticut		0.0
301-400	University of Duisburg-Essen		0.0
301-400	University of Fribourg		0.0
301-400	University of Hamburg		0.0
301-400	University of Helsinki		0.0
301-400	University of Kiel		0.0
301-400	University of Konstanz		0.0
301-400	University of Lausanne		23.6
301-400	University of Leipzig		0.0
301-400	University of Lille		0.0
301-400	University of Limerick		0.0
301-400	University of Lorraine		0.0
301-400	University of Macau		0.0
301-400	University of Milan		0.0
301-400	University of Mons		0.0
301-400	University of Montreal		0.0
301-400	University of Naples Federico II		0.0
301-400	University of Santiago Compostela		0.0
301-400	University of Sao Paulo		0.0
301-400	University of Saskatchewan		0.0
301-400	University of Seville		0.0
301-400	University of Strathclyde		0.0
301-400	University of Toledo		0.0
301-400	University of Trieste		0.0
301-400	University of Tuebingen		0.0
301-400	University of Turin		0.0
301-400	University of Twente		0.0
301-400	University of Ulm		0.0
301-400	University of Versailles Saint-Quentin-en-Yvelines		0.0
301-400	Utah State University		0.0
301-400	Vienna University of Technology		0.0
301-400	Virginia Commonwealth University		17.7
301-400	Virginia Polytechnic Institute and State University		0.0
301-400	Vrije Universiteit Amsterdam		0.0
301-400	Wageningen University & Research		0.0
301-400	Washington University in St. Louis		0.0
301-400	Western University		0.0
301-400	Xiangtan University		0.0
301-400	Zhejiang Sci-Tech University		0.0
401-500	Bar-Ilan University		0.0
401-500	Bielefeld University		0.0
401-500	Brandeis University		0.0
401-500	Capital Normal University		0.0
401-500	Catholic University of Louvain		0.0
401-500	Changsha University of Science and Technology		0.0
401-500	Changzhou University		0.0
401-500	China University of Geosciences (Wuhan)		0.0
401-500	China West Normal University		0.0
401-500	Chonnam National University		0.0
401-500	Colorado School of Mines		0.0
401-500	Dartmouth College		0.0
401-500	Dongguan University of Technology		0.0
401-500	Dongguk University		0.0
401-500	Guangxi University		0.0
401-500	Gwangju Institute of Science and Technology		0.0
401-500	Hainan University		0.0
401-500	Heilongjiang University		0.0
401-500	Heinrich Heine University Duesseldorf		0.0
401-500	Heriot-Watt University		0.0
401-500	Hong Kong Baptist University		0.0
401-500	Huazhong Agricultural University		0.0
401-500	Hunan Normal University		0.0
401-500	Hunan University of Science and Technology		0.0
401-500	Indian Institute of Science Education & Research (IISER) - Pune		0.0
401-500	Jacobs University Bremen		0.0
401-500	Jagiellonian University		0.0
401-500	Karolinska Institute		0.0
401-500	Khalifa University		0.0
401-500	Laval University		0.0
401-500	Louisiana State University - Baton Rouge		0.0
