1	University of California, Berkeley	376.9	72.3
2	Stanford University	358.5	75.2
3	Massachusetts Institute of Technology (MIT)	356.1	73.8
4	Northwestern University	338.1	71.0
5	Harvard University	326.8	79.9
6	California Institute of Technology	323.9	66.4
7	University of Chicago	295.2	69.8
8	University of Science and Technology of China	293.7	49.9
9	University of Cambridge	293.2	86.9
10	ETH Zurich	292.4	80.1
11	Nanyang Technological University	285.0	85.8
12	The University of Texas at Austin	282.2	66.6
13	Georgia Institute of Technology	281.8	80.8
14	Tsinghua University	279.8	51.7
15	The University of Tokyo	274.2	55.5
16	Peking University	273.0	51.7
17	Columbia University	262.5	75.7
18	Kyoto University	262.3	52.3
19	University of Oxford	261.0	80.4
20	Nankai University	258.2	44.1
21	National University of Singapore	256.5	82.4
22	Texas A&M University	253.5	70.7
23	Nanjing University	251.6	50.3
24	University of California, Los Angeles	251.5	76.4
25	Zhejiang University	250.0	51.1
26	Soochow University (China)	249.5	55.7
27	Fudan University	245.7	50.5
28	University of California, San Diego	245.5	67.3
29	Swiss Federal Institute of Technology Lausanne	244.2	84.1
30	University of North Carolina at Chapel Hill	238.8	66.3
31	Tianjin University	237.5	50.5
32	University of Illinois at Urbana-Champaign	237.3	66.2
33	Cornell University	237.1	67.6
33	South China University of Technology	237.1	47.7
35	University of Toronto	235.7	75.6
36	Xiamen University	235.6	57.0
37	Shanghai Jiao Tong University	234.8	54.4
38	Jilin University	233.0	43.0
39	King Abdullah University of Science and Technology	232.5	88.4
40	University of Utah	232.0	64.2
41	University of Strasbourg	229.3	82.3
42	University of California, Santa Barbara	228.7	74.1
43	Imperial College London	227.6	81.2
44	Rice University	227.5	76.8
45	Sun Yat-sen University	226.1	46.6
46	Purdue University - West Lafayette	225.9	64.7
47	University of Minnesota, Twin Cities	225.4	62.9
48	University of Southern California	223.5	67.8
49	Paris-Saclay University	223.0	74.6
49	University of Pennsylvania	223.0	67.0
51-75	Carnegie Mellon University		68.4
51-75	Duke University		70.0
51-75	East China University of Science and Technology		46.6
51-75	Huazhong University of Science and Technology		52.7
51-75	Hunan University		45.9
51-75	Johns Hopkins University		68.0
51-75	Karlsruhe Institute of Technology (KIT)		78.5
51-75	King Abdulaziz University		96.8
51-75	Korea Advanced Institute of Science and Technology		53.9
51-75	Nagoya University		55.9
51-75	Pennsylvania State University - University Park		71.0
51-75	Sichuan University		40.0
51-75	Technical University of Munich		75.2
51-75	Technion-Israel Institute of Technology		74.0
51-75	The Hong Kong University of Science and Technology		54.2
51-75	The University of Manchester		79.2
51-75	University of California, Irvine		68.5
51-75	University of Goettingen		72.7
51-75	University of Groningen		83.5
51-75	University of Michigan-Ann Arbor		67.2
51-75	University of Washington		71.8
51-75	University of Wisconsin - Madison		66.5
51-75	Weizmann Institute of Science		79.2
51-75	Wuhan University		42.7
51-75	Yale University		68.3
76-100	Arizona State University		70.6
76-100	Beijing University of Chemical Technology		47.7
76-100	City University of Hong Kong		61.1
76-100	Dalian University of Technology		52.3
76-100	Hokkaido University		56.7
76-100	Monash University		83.6
76-100	NanJing Tech University		55.0
76-100	Osaka University		54.3
76-100	Pohang University of Science and Technology		59.6
76-100	Princeton University		65.3
76-100	RWTH Aachen University		73.6
76-100	Seoul National University		52.2
76-100	Shandong University		45.3
76-100	Sorbonne University		80.4
76-100	Southern University of Science and Technology		60.3
76-100	Technical University of Berlin		75.5
76-100	TU Dresden		76.4
76-100	Ulsan National Institute of Science and Technology		61.8
76-100	University College London		82.8
76-100	University of Alberta		75.4
76-100	University of Erlangen-Nuremberg		76.7
76-100	University of Muenster		69.0
76-100	University of Munich		66.9
76-100	Xi'an Jiaotong University		56.4
76-100	Zhengzhou University		45.8
101-150	Aarhus University		84.4
101-150	Autonomous University of Barcelona		81.5
101-150	Beihang University		51.3
101-150	Beijing Institute of Technology		45.9
101-150	Central South University		47.3
101-150	Chongqing University		49.1
101-150	Delft University of Technology		87.3
101-150	East China Normal University		47.3
101-150	Eindhoven University of Technology		79.8
101-150	Free University Berlin		74.5
