1	University of California, Berkeley	376.9	73.5
2	Stanford University	358.5	68.2
3	Massachusetts Institute of Technology (MIT)	356.1	74.8
4	Northwestern University	338.1	68.3
5	Harvard University	326.8	62.0
6	California Institute of Technology	323.9	46.1
7	University of Chicago	295.2	72.5
8	University of Science and Technology of China	293.7	99.6
9	University of Cambridge	293.2	68.9
10	ETH Zurich	292.4	68.5
11	Nanyang Technological University	285.0	86.2
12	The University of Texas at Austin	282.2	57.6
13	Georgia Institute of Technology	281.8	68.5
14	Tsinghua University	279.8	100.0
15	The University of Tokyo	274.2	71.3
16	Peking University	273.0	89.8
17	Columbia University	262.5	43.9
18	Kyoto University	262.3	74.8
19	University of Oxford	261.0	67.0
20	Nankai University	258.2	82.6
21	National University of Singapore	256.5	76.1
22	Texas A&M University	253.5	51.0
23	Nanjing University	251.6	87.0
24	University of California, Los Angeles	251.5	54.8
25	Zhejiang University	250.0	93.2
26	Soochow University (China)	249.5	86.0
27	Fudan University	245.7	79.6
28	University of California, San Diego	245.5	51.5
29	Swiss Federal Institute of Technology Lausanne	244.2	60.8
30	University of North Carolina at Chapel Hill	238.8	43.0
31	Tianjin University	237.5	81.0
32	University of Illinois at Urbana-Champaign	237.3	57.5
33	Cornell University	237.1	51.6
33	South China University of Technology	237.1	88.6
35	University of Toronto	235.7	55.4
36	Xiamen University	235.6	72.3
37	Shanghai Jiao Tong University	234.8	77.8
38	Jilin University	233.0	88.5
39	King Abdullah University of Science and Technology	232.5	58.3
40	University of Utah	232.0	38.2
41	University of Strasbourg	229.3	55.2
42	University of California, Santa Barbara	228.7	46.0
43	Imperial College London	227.6	61.0
44	Rice University	227.5	43.0
45	Sun Yat-sen University	226.1	72.8
46	Purdue University - West Lafayette	225.9	55.5
47	University of Minnesota, Twin Cities	225.4	52.8
48	University of Southern California	223.5	35.2
49	Paris-Saclay University	223.0	63.2
49	University of Pennsylvania	223.0	49.3
51-75	Carnegie Mellon University		36.7
51-75	Duke University		36.5
51-75	East China University of Science and Technology		71.8
51-75	Huazhong University of Science and Technology		76.8
51-75	Hunan University		63.3
51-75	Johns Hopkins University		40.6
51-75	Karlsruhe Institute of Technology (KIT)		64.2
51-75	King Abdulaziz University		54.4
51-75	Korea Advanced Institute of Science and Technology		65.2
51-75	Nagoya University		46.4
51-75	Pennsylvania State University - University Park		53.0
51-75	Sichuan University		78.9
51-75	Technical University of Munich		57.1
51-75	Technion-Israel Institute of Technology		38.0
51-75	The Hong Kong University of Science and Technology		52.6
