1	University of California, Berkeley	376.9	100.0
2	Stanford University	358.5	85.1
3	Massachusetts Institute of Technology (MIT)	356.1	88.9
4	Northwestern University	338.1	95.9
5	Harvard University	326.8	79.3
6	California Institute of Technology	323.9	69.0
7	University of Chicago	295.2	88.5
8	University of Science and Technology of China	293.7	89.7
9	University of Cambridge	293.2	83.1
10	ETH Zurich	292.4	81.9
11	Nanyang Technological University	285.0	81.6
12	The University of Texas at Austin	282.2	69.9
13	Georgia Institute of Technology	281.8	57.4
14	Tsinghua University	279.8	77.4
15	The University of Tokyo	274.2	91.4
16	Peking University	273.0	84.3
17	Columbia University	262.5	57.3
18	Kyoto University	262.3	93.5
19	University of Oxford	261.0	80.0
20	Nankai University	258.2	74.6
21	National University of Singapore	256.5	69.3
22	Texas A&M University	253.5	59.6
23	Nanjing University	251.6	66.5
24	University of California, Los Angeles	251.5	68.8
25	Zhejiang University	250.0	63.0
26	Soochow University (China)	249.5	58.0
27	Fudan University	245.7	69.2
28	University of California, San Diego	245.5	63.6
29	Swiss Federal Institute of Technology Lausanne	244.2	71.1
30	University of North Carolina at Chapel Hill	238.8	52.4
31	Tianjin University	237.5	61.6
32	University of Illinois at Urbana-Champaign	237.3	72.9
33	Cornell University	237.1	63.0
33	South China University of Technology	237.1	48.5
35	University of Toronto	235.7	61.2
36	Xiamen University	235.6	66.6
37	Shanghai Jiao Tong University	234.8	63.0
38	Jilin University	233.0	58.9
39	King Abdullah University of Science and Technology	232.5	56.5
40	University of Utah	232.0	53.9
41	University of Strasbourg	229.3	52.7
42	University of California, Santa Barbara	228.7	52.9
43	Imperial College London	227.6	51.9
44	Rice University	227.5	37.9
45	Sun Yat-sen University	226.1	55.9
46	Purdue University - West Lafayette	225.9	49.5
47	University of Minnesota, Twin Cities	225.4	58.0
48	University of Southern California	223.5	40.1
49	Paris-Saclay University	223.0	56.2
49	University of Pennsylvania	223.0	58.2
51-75	Carnegie Mellon University		40.7
51-75	Duke University		42.4
51-75	East China University of Science and Technology		51.6
51-75	Huazhong University of Science and Technology		45.3
51-75	Hunan University		47.6
51-75	Johns Hopkins University		55.4
51-75	Karlsruhe Institute of Technology (KIT)		53.7
51-75	King Abdulaziz University		42.8
51-75	Korea Advanced Institute of Science and Technology		55.1
51-75	Nagoya University		59.5
51-75	Pennsylvania State University - University Park		53.7
51-75	Sichuan University		55.1
51-75	Technical University of Munich		63.3
51-75	Technion-Israel Institute of Technology		37.9
51-75	The Hong Kong University of Science and Technology		46.5
51-75	The University of Manchester		67.1
51-75	University of California, Irvine		56.8
51-75	University of Goettingen		56.5
51-75	University of Groningen		49.3
51-75	University of Michigan-Ann Arbor		65.3
51-75	University of Washington		51.4
51-75	University of Wisconsin - Madison		59.6
51-75	Weizmann Institute of Science		49.3
51-75	Wuhan University		51.7
51-75	Yale University		59.5
76-100	Arizona State University		40.9
76-100	Beijing University of Chemical Technology		41.8
76-100	City University of Hong Kong		36.9
76-100	Dalian University of Technology		43.8
76-100	Hokkaido University		49.7
76-100	Monash University		43.2
76-100	NanJing Tech University		46.6
76-100	Osaka University		68.8
76-100	Pohang University of Science and Technology		47.2
76-100	Princeton University		56.2
76-100	RWTH Aachen University		57.1
76-100	Seoul National University		46.1
76-100	Shandong University		39.2
76-100	Sorbonne University		54.5
76-100	Southern University of Science and Technology		47.7
76-100	Technical University of Berlin		56.7
76-100	TU Dresden		51.1
76-100	Ulsan National Institute of Science and Technology		40.5
76-100	University College London		47.9
76-100	University of Alberta		38.1
76-100	University of Erlangen-Nuremberg		55.4
76-100	University of Muenster		63.3
76-100	University of Munich		67.5
76-100	Xi'an Jiaotong University		40.7
76-100	Zhengzhou University		36.5
101-150	Aarhus University		39.6
101-150	Autonomous University of Barcelona		42.0
101-150	Beihang University		36.7
101-150	Beijing Institute of Technology		39.6
101-150	Central South University		25.6
101-150	Chongqing University		37.9
101-150	Delft University of Technology		37.2
101-150	East China Normal University		45.7
101-150	Eindhoven University of Technology		45.7
101-150	Free University Berlin		52.7
101-150	Fuzhou University		37.2
101-150	Harbin Institute of Technology		35.5
101-150	Korea University		31.4
101-150	KU Leuven		39.6
101-150	Kyushu University		51.6
101-150	Lanzhou University		40.3
101-150	National Taiwan University		39.0
101-150	North Carolina State University - Raleigh		33.5
101-150	PSL University		48.5
101-150	Rutgers, The State University of New Jersey - New Brunswick		38.8
101-150	ShanghaiTech University		40.3
101-150	Shenzhen University		30.5
101-150	Sungkyunkwan University		31.7
101-150	The Chinese University of Hong Kong		40.3
101-150	The Hebrew University of Jerusalem		38.8
101-150	The University of Adelaide		29.4
101-150	The University of Hong Kong		41.8
101-150	The University of New South Wales		41.6
101-150	The University of Queensland		38.5
101-150	Tohoku University		56.7
101-150	Tokyo Institute of Technology		60.5
101-150	Université Grenoble Alpes		48.1
101-150	University of Bochum		49.9
101-150	University of Bristol		58.9
101-150	University of British Columbia		39.9
101-150	University of California, Riverside		46.3
101-150	University of Colorado at Boulder		42.4
101-150	University of Delaware		40.3
101-150	University of Florida		46.1
101-150	University of Maryland, College Park		44.6
101-150	University of Massachusetts Amherst		36.0
101-150	University of Oregon		34.5
101-150	University of Pittsburgh		50.7
101-150	University of Tennessee - Knoxville		34.5
101-150	University of the Basque Country		38.5
101-150	University of Warwick		40.1
101-150	University of Wollongong		28.2
101-150	University Rovira i Virgili		53.9
101-150	Wuhan University of Technology		26.3
101-150	Yonsei University		44.6
151-200	Boston College		45.0
151-200	Case Western Reserve University		30.5
151-200	Central China Normal University		25.3
151-200	Claude Bernard University Lyon 1		38.5
151-200	Donghua University		25.3
151-200	Emory University		41.6
151-200	Florida State University		41.4
151-200	Ghent University		31.9
151-200	Heidelberg University		47.6
151-200	Humboldt University of Berlin		46.8
151-200	Iowa State University		36.9
151-200	Jiangsu University		19.0
151-200	KTH Royal Institute of Technology		28.8
151-200	McGill University		42.2
151-200	Nanjing Normal University		28.8
151-200	Paul Sabatier University (Toulouse 3)		45.9
151-200	Queensland University of Technology		26.3
151-200	Shaanxi Normal University		28.8
151-200	Shanghai University		32.5
151-200	Southeast University		33.0
151-200	Stockholm University		44.0
151-200	Stony Brook University		36.5
151-200	Technical University of Denmark		29.7
151-200	The Hong Kong Polytechnic University		27.6
151-200	The Ohio State University - Columbus		43.6
151-200	The University of Edinburgh		42.0
151-200	The University of Melbourne		32.5
151-200	Tongji University		29.7
151-200	University at Buffalo, the State University of New York		34.8
151-200	University of Amsterdam		37.2
151-200	University of Barcelona		41.8
151-200	University of Basel		45.3
151-200	University of Bath		31.1
151-200	University of Bordeaux		44.2
151-200	University of California, Davis		47.0
151-200	University of Electronic Science and Technology of China		23.5
151-200	University of Liverpool		38.5
151-200	University of Marburg		45.3
151-200	University of Missouri - Columbia		22.0
151-200	University of Montpellier		36.9
151-200	University of Nebraska - Lincoln		34.8
151-200	University of Regensburg		45.3
151-200	University of Rochester		29.1
151-200	University of Science and Technology Beijing		26.9
151-200	University of South Florida		40.7
151-200	University of Valencia		33.8
151-200	University of Waterloo		31.9
151-200	University of Wuerzburg		52.9
151-200	Uppsala University		36.7
151-200	Utrecht University		39.9
201-300	Aalto University		24.9
201-300	Academy of Scientific and Innovative Research (AcSIR)		26.0
201-300	Aix Marseille University		37.4
201-300	Autonomous University of Madrid		34.3
201-300	Beijing Normal University		37.4
201-300	Binghamton University		20.4
201-300	Boston University		28.8
201-300	Brown University		30.0
201-300	Cardiff University		33.0
201-300	Chalmers University of Technology		27.9
201-300	Colorado State University		37.4
201-300	Complutense University of Madrid		31.1
201-300	Curtin University		20.4
201-300	Drexel University		23.1
201-300	Durham University		27.6
201-300	ENSCM, Chimie Montpellier		29.1
201-300	Ewha Womans University		35.3
201-300	Goethe University Frankfurt		43.2
201-300	Griffith University		17.1
