1	University of Amsterdam	298.8	100.0
2	The Ohio State University - Columbus	274.6	89.0
3	Michigan State University	251.5	87.9
4	The University of Texas at Austin	249.6	86.1
5	Nanyang Technological University	225.9	90.7
6	University of Michigan-Ann Arbor	225.7	100.0
7	University of Vienna	224.2	100.0
8	University of California, Santa Barbara	224.1	83.1
9	University of Pennsylvania	223.1	88.7
10	Cornell University	211.8	95.0
11	Indiana University Bloomington	209.5	88.5
12	Vrije Universiteit Amsterdam	209.3	100.0
13	Pennsylvania State University - University Park	208.0	84.2
14	University of Wisconsin - Madison	206.2	88.2
15	Northwestern University	203.4	94.8
16	University of Oxford	201.4	90.6
17	University of Illinois at Urbana-Champaign	201.1	79.2
18	University of Zurich	199.0	100.0
19	University of Southern California	197.3	85.2
20	University of Munich	196.8	94.2
21	KU Leuven	193.3	81.4
22	The University of Georgia	193.2	87.6
23	Rutgers, The State University of New Jersey - New Brunswick	187.1	74.9
24	University of California, Davis	184.2	82.8
25	The Hebrew University of Jerusalem	184.0	72.0
26	University of Missouri - Columbia	183.8	85.7
27	Ghent University	183.6	86.6
28	London School of Economics and Political Science	182.8	100.0
29	University of Minnesota, Twin Cities	178.5	80.5
30	University of Arizona	177.5	67.1
31	University of Maryland, College Park	172.7	88.4
32	University of Utah	170.9	90.9
33	University of Washington	165.0	79.5
34	University of Kansas	161.9	75.7
35	Stanford University	161.7	100.0
36	University of Haifa	161.2	74.4
37	University of Iowa	160.6	73.5
38	University of Mainz	159.7	99.7
39	University of Antwerp	159.5	78.0
40	University of Groningen	159.0	100.0
41	University of Connecticut	157.7	90.1
42	Radboud University Nijmegen	157.5	93.2
42	University of Mannheim	157.5	91.5
44	University of Oregon	156.0	89.6
45	Temple University	153.4	95.8
46	Harvard University	152.9	77.4
47	Purdue University - West Lafayette	152.2	72.6
48	University of North Carolina at Chapel Hill	151.6	84.4
49	University of Helsinki	151.4	71.7
50	University of Gothenburg	150.0	90.3
51-75	Boston University		98.4
51-75	City, University of London		94.2
51-75	Erasmus University Rotterdam		93.4
51-75	George Mason University		96.4
51-75	Karlstad University		93.6
51-75	Louisiana State University - Baton Rouge		75.1
51-75	Monash University		70.2
51-75	National University of Singapore		64.1
51-75	New York University		95.5
51-75	Queensland University of Technology		82.5
51-75	Tel Aviv University		73.8
51-75	Texas A&M University		71.7
51-75	The Chinese University of Hong Kong		78.6
51-75	The George Washington University		93.1
51-75	The University of Alabama - Tuscaloosa		77.3
51-75	The University of Melbourne		66.8
51-75	University at Buffalo, the State University of New York		83.4
51-75	University of Colorado at Boulder		76.1
51-75	University of Florida		76.0
51-75	University of Hawaii at Manoa		76.6
51-75	University of Kentucky		68.6
51-75	University of Oslo		86.4
51-75	University of Sydney		75.1
51-75	University of Toronto		76.6
51-75	Washington State University		72.7
76-100	Arizona State University		66.4
76-100	Florida State University		78.5
76-100	Free University Berlin		79.4
76-100	Georgetown University		88.2
