1	University of Amsterdam	298.8	60.8
2	The Ohio State University - Columbus	274.6	48.0
3	Michigan State University	251.5	49.9
4	The University of Texas at Austin	249.6	41.1
5	Nanyang Technological University	225.9	75.4
6	University of Michigan-Ann Arbor	225.7	45.3
7	University of Vienna	224.2	75.2
8	University of California, Santa Barbara	224.1	43.9
9	University of Pennsylvania	223.1	42.8
10	Cornell University	211.8	41.0
11	Indiana University Bloomington	209.5	42.9
12	Vrije Universiteit Amsterdam	209.3	70.7
13	Pennsylvania State University - University Park	208.0	44.0
14	University of Wisconsin - Madison	206.2	37.3
15	Northwestern University	203.4	50.3
16	University of Oxford	201.4	61.0
17	University of Illinois at Urbana-Champaign	201.1	32.2
18	University of Zurich	199.0	74.2
19	University of Southern California	197.3	41.2
20	University of Munich	196.8	66.1
21	KU Leuven	193.3	66.6
22	The University of Georgia	193.2	36.2
23	Rutgers, The State University of New Jersey - New Brunswick	187.1	37.4
24	University of California, Davis	184.2	50.7
25	The Hebrew University of Jerusalem	184.0	55.7
26	University of Missouri - Columbia	183.8	42.6
27	Ghent University	183.6	47.7
28	London School of Economics and Political Science	182.8	50.9
29	University of Minnesota, Twin Cities	178.5	39.8
30	University of Arizona	177.5	30.9
31	University of Maryland, College Park	172.7	41.3
32	University of Utah	170.9	35.8
33	University of Washington	165.0	43.7
34	University of Kansas	161.9	47.9
35	Stanford University	161.7	53.9
36	University of Haifa	161.2	56.2
37	University of Iowa	160.6	21.9
38	University of Mainz	159.7	56.2
39	University of Antwerp	159.5	50.8
40	University of Groningen	159.0	67.1
41	University of Connecticut	157.7	40.2
42	Radboud University Nijmegen	157.5	54.4
42	University of Mannheim	157.5	64.8
44	University of Oregon	156.0	29.0
45	Temple University	153.4	32.0
46	Harvard University	152.9	61.5
47	Purdue University - West Lafayette	152.2	47.5
48	University of North Carolina at Chapel Hill	151.6	30.7
49	University of Helsinki	151.4	54.8
50	University of Gothenburg	150.0	56.9
51-75	Boston University		39.4
51-75	City, University of London		58.8
51-75	Erasmus University Rotterdam		56.1
51-75	George Mason University		38.7
51-75	Karlstad University		43.0
51-75	Louisiana State University - Baton Rouge		50.0
51-75	Monash University		40.5
51-75	National University of Singapore		53.7
51-75	New York University		35.1
51-75	Queensland University of Technology		55.5
51-75	Tel Aviv University		39.3
51-75	Texas A&M University		33.9
51-75	The Chinese University of Hong Kong		51.2
51-75	The George Washington University		34.1
51-75	The University of Alabama - Tuscaloosa		46.1
51-75	The University of Melbourne		44.7
51-75	University at Buffalo, the State University of New York		44.4
