1	University of Amsterdam	298.8	100.0
2	The Ohio State University - Columbus	274.6	83.5
3	Michigan State University	251.5	78.5
4	The University of Texas at Austin	249.6	80.5
5	Nanyang Technological University	225.9	67.0
6	University of Michigan-Ann Arbor	225.7	67.4
7	University of Vienna	224.2	67.0
8	University of California, Santa Barbara	224.1	61.5
9	University of Pennsylvania	223.1	64.1
10	Cornell University	211.8	59.3
11	Indiana University Bloomington	209.5	59.7
12	Vrije Universiteit Amsterdam	209.3	56.5
13	Pennsylvania State University - University Park	208.0	59.3
14	University of Wisconsin - Madison	206.2	63.2
15	Northwestern University	203.4	60.2
16	University of Oxford	201.4	61.5
17	University of Illinois at Urbana-Champaign	201.1	58.8
18	University of Zurich	199.0	60.2
19	University of Southern California	197.3	54.5
20	University of Munich	196.8	56.9
21	KU Leuven	193.3	54.0
22	The University of Georgia	193.2	59.7
23	Rutgers, The State University of New Jersey - New Brunswick	187.1	54.0
24	University of California, Davis	184.2	50.4
25	The Hebrew University of Jerusalem	184.0	53.5
26	University of Missouri - Columbia	183.8	56.9
27	Ghent University	183.6	55.0
28	London School of Economics and Political Science	182.8	47.6
29	University of Minnesota, Twin Cities	178.5	56.5
30	University of Arizona	177.5	52.5
31	University of Maryland, College Park	172.7	49.9
32	University of Utah	170.9	52.0
33	University of Washington	165.0	48.8
34	University of Kansas	161.9	45.3
35	Stanford University	161.7	41.6
36	University of Haifa	161.2	45.9
37	University of Iowa	160.6	44.7
38	University of Mainz	159.7	41.6
39	University of Antwerp	159.5	52.0
40	University of Groningen	159.0	38.9
41	University of Connecticut	157.7	38.2
42	Radboud University Nijmegen	157.5	45.3
42	University of Mannheim	157.5	39.6
44	University of Oregon	156.0	42.9
45	Temple University	153.4	40.3
46	Harvard University	152.9	44.1
47	Purdue University - West Lafayette	152.2	43.5
48	University of North Carolina at Chapel Hill	151.6	45.9
49	University of Helsinki	151.4	44.1
50	University of Gothenburg	150.0	38.2
51-75	Boston University		36.8
51-75	City, University of London		37.5
51-75	Erasmus University Rotterdam		36.8
51-75	George Mason University		40.9
51-75	Karlstad University		32.0
51-75	Louisiana State University - Baton Rouge		40.9
51-75	Monash University		38.9
51-75	National University of Singapore		39.6
51-75	New York University		38.2
51-75	Queensland University of Technology		37.5
51-75	Tel Aviv University		40.3
51-75	Texas A&M University		40.9
51-75	The Chinese University of Hong Kong		40.9
51-75	The George Washington University		40.3
51-75	The University of Alabama - Tuscaloosa		41.6
51-75	The University of Melbourne		40.9
51-75	University at Buffalo, the State University of New York		36.0
51-75	University of Colorado at Boulder		41.6
51-75	University of Florida		44.1
51-75	University of Hawaii at Manoa		34.5
51-75	University of Kentucky		41.6
51-75	University of Oslo		38.2
51-75	University of Sydney		38.9
51-75	University of Toronto		44.1
51-75	Washington State University		40.9
76-100	Arizona State University		40.9
76-100	Florida State University		34.5
76-100	Free University Berlin		30.3
76-100	Georgetown University		30.3
76-100	King's College London		39.6
76-100	Korea University		38.2
76-100	Loughborough University		31.2
76-100	National Chengchi University		32.9
76-100	Northeastern University (Boston)		32.9
76-100	Royal Holloway, University of London		27.5
76-100	Seoul National University		30.3
76-100	Sungkyunkwan University		30.3
76-100	Texas Tech University		41.6
76-100	The University of Koblenz-Landau		32.0
76-100	The University of New South Wales		31.2
76-100	Tilburg University		35.3
76-100	University Diego Portales		24.4
76-100	University of Copenhagen		34.5
76-100	University of Hohenheim		30.3
76-100	University of Illinois at Chicago		34.5
76-100	University of Muenster		31.2
76-100	University of Oklahoma - Norman		38.2
76-100	University of Twente		29.4
76-100	University of Wisconsin-Milwaukee		31.2
76-100	Utrecht University		36.0
101-150	Aarhus University		35.3
101-150	American University		32.9
101-150	Chapman University		27.5
101-150	Colorado State University		32.0
101-150	Columbia University		38.2
101-150	Concordia University		32.0
101-150	Deakin University		32.9
101-150	Georgia State University		29.4
101-150	Goldsmiths University London		32.9
101-150	Hong Kong Baptist University		35.3
101-150	Iowa State University		33.7
101-150	Johns Hopkins University		29.4
101-150	Leiden University		29.4
101-150	Macquarie University		27.5
101-150	Massey University		28.5
101-150	Pontifical Catholic University of Chile		23.2
101-150	RMIT University		28.5
101-150	Stockholm University		27.5
101-150	Syracuse University		30.3
101-150	Tampere University		29.4
101-150	Texas Christian University		31.2
101-150	The Australian National University		32.9
101-150	The University of Hong Kong		27.5
