1	University of Amsterdam	298.8	92.7
2	The Ohio State University - Columbus	274.6	100.0
3	Michigan State University	251.5	84.8
4	The University of Texas at Austin	249.6	81.6
5	Nanyang Technological University	225.9	72.5
6	University of Michigan-Ann Arbor	225.7	70.1
7	University of Vienna	224.2	66.2
8	University of California, Santa Barbara	224.1	85.8
9	University of Pennsylvania	223.1	78.4
10	Cornell University	211.8	71.3
11	Indiana University Bloomington	209.5	71.3
12	Vrije Universiteit Amsterdam	209.3	67.5
13	Pennsylvania State University - University Park	208.0	72.5
14	University of Wisconsin - Madison	206.2	63.5
15	Northwestern University	203.4	60.7
16	University of Oxford	201.4	57.7
17	University of Illinois at Urbana-Champaign	201.1	70.1
18	University of Zurich	199.0	51.3
19	University of Southern California	197.3	68.8
20	University of Munich	196.8	57.7
21	KU Leuven	193.3	64.9
22	The University of Georgia	193.2	56.2
23	Rutgers, The State University of New Jersey - New Brunswick	187.1	64.9
24	University of California, Davis	184.2	62.1
25	The Hebrew University of Jerusalem	184.0	62.1
26	University of Missouri - Columbia	183.8	51.3
27	Ghent University	183.6	53.0
28	London School of Economics and Political Science	182.8	56.2
29	University of Minnesota, Twin Cities	178.5	49.6
30	University of Arizona	177.5	62.1
31	University of Maryland, College Park	172.7	49.6
32	University of Utah	170.9	43.9
33	University of Washington	165.0	47.8
34	University of Kansas	161.9	51.3
35	Stanford University	161.7	43.9
36	University of Haifa	161.2	49.6
37	University of Iowa	160.6	54.6
38	University of Mainz	159.7	41.9
39	University of Antwerp	159.5	37.5
40	University of Groningen	159.0	43.9
41	University of Connecticut	157.7	51.3
42	Radboud University Nijmegen	157.5	37.5
42	University of Mannheim	157.5	45.9
44	University of Oregon	156.0	43.9
45	Temple University	153.4	41.9
46	Harvard University	152.9	41.9
47	Purdue University - West Lafayette	152.2	45.9
48	University of North Carolina at Chapel Hill	151.6	37.5
49	University of Helsinki	151.4	43.9
50	University of Gothenburg	150.0	41.9
51-75	Boston University		32.4
51-75	City, University of London		37.5
51-75	Erasmus University Rotterdam		35.0
51-75	George Mason University		29.6
51-75	Karlstad University		37.5
51-75	Louisiana State University - Baton Rouge		41.9
51-75	Monash University		41.9
51-75	National University of Singapore		49.6
51-75	New York University		32.4
51-75	Queensland University of Technology		35.0
51-75	Tel Aviv University		45.9
51-75	Texas A&M University		43.9
51-75	The Chinese University of Hong Kong		43.9
51-75	The George Washington University		32.4
51-75	The University of Alabama - Tuscaloosa		32.4
51-75	The University of Melbourne		41.9
51-75	University at Buffalo, the State University of New York		37.5
51-75	University of Colorado at Boulder		41.9
51-75	University of Florida		35.0
51-75	University of Hawaii at Manoa		45.9
51-75	University of Kentucky		37.5
51-75	University of Oslo		43.9
51-75	University of Sydney		39.7
51-75	University of Toronto		26.5
51-75	Washington State University		37.5
76-100	Arizona State University		32.4
76-100	Florida State University		35.0
76-100	Free University Berlin		35.0
76-100	Georgetown University		32.4
76-100	King's College London		32.4
76-100	Korea University		29.6
76-100	Loughborough University		32.4
76-100	National Chengchi University		29.6
76-100	Northeastern University (Boston)		32.4
76-100	Royal Holloway, University of London		32.4
76-100	Seoul National University		35.0
76-100	Sungkyunkwan University		39.7
76-100	Texas Tech University		35.0
76-100	The University of Koblenz-Landau		32.4
76-100	The University of New South Wales		35.0
76-100	Tilburg University		29.6
76-100	University Diego Portales		29.6
76-100	University of Copenhagen		35.0
76-100	University of Hohenheim		32.4
76-100	University of Illinois at Chicago		29.6
76-100	University of Muenster		29.6
76-100	University of Oklahoma - Norman		37.5
76-100	University of Twente		29.6
76-100	University of Wisconsin-Milwaukee		39.7
76-100	Utrecht University		32.4
101-150	Aarhus University		22.9
101-150	American University		32.4
101-150	Chapman University		32.4
101-150	Colorado State University		37.5
101-150	Columbia University		26.5
101-150	Concordia University		35.0
101-150	Deakin University		22.9
101-150	Georgia State University		29.6
101-150	Goldsmiths University London		32.4
101-150	Hong Kong Baptist University		35.0
101-150	Iowa State University		35.0
101-150	Johns Hopkins University		22.9
101-150	Leiden University		22.9
101-150	Macquarie University		29.6
101-150	Massey University		32.4
101-150	Pontifical Catholic University of Chile		26.5
101-150	RMIT University		29.6
101-150	Stockholm University		35.0
101-150	Syracuse University		29.6
101-150	Tampere University		37.5
101-150	Texas Christian University		32.4
101-150	The Australian National University		18.7
101-150	The University of Hong Kong		29.6
101-150	The University of Queensland		29.6
101-150	University at Albany (State University of New York)		32.4
101-150	University of Alberta		26.5
101-150	University of California, Berkeley		32.4
101-150	University of California, Los Angeles		26.5
101-150	University of Canberra		26.5
101-150	University of Cologne		22.9
101-150	University of Duisburg-Essen		32.4
101-150	University of Houston		26.5
101-150	University of Jyvaskyla		29.6
101-150	University of Leeds		35.0
101-150	University of Leicester		37.5
101-150	University of Massachusetts Amherst		26.5
101-150	University of Miami		32.4
101-150	University of Milan		18.7
101-150	University of Montreal		29.6
101-150	University of Salford		29.6
101-150	University of South Carolina - Columbia		18.7
101-150	University of Southern Denmark		22.9
101-150	University of Sussex		32.4
101-150	University of Tennessee - Knoxville		29.6
101-150	University of Turku		26.5
101-150	UOC Universitat Oberta de Catalunya		22.9
101-150	Villanova University		26.5
101-150	Wayne State University		32.4
101-150	West Virginia University		35.0
101-150	Western University		26.5
101-150	Yale University		22.9
151-200	Aalto University		22.9
151-200	Bar-Ilan University		29.6
151-200	BI Norwegian Business School		22.9
151-200	Bowling Green State University		22.9
151-200	Cardiff University		13.2
151-200	Carnegie Mellon University		18.7
151-200	Catholic University of the Sacred Heart		26.5
151-200	City University of Hong Kong		26.5
151-200	Copenhagen Business School		26.5
151-200	Dartmouth College		18.7
151-200	DePaul University		22.9
151-200	Drexel University		29.6
151-200	Dublin City University		22.9
151-200	Duke University		18.7
151-200	Illinois State University		22.9
151-200	Instituto Universitario de Lisboa		18.7
151-200	Kent State University		22.9
151-200	Massachusetts Institute of Technology (MIT)		26.5
