1	Massachusetts Institute of Technology (MIT)	355.3	83.1
2	Stanford University	315.6	93.0
3	University of California, Berkeley	284.4	79.0
4	Carnegie Mellon University	279.9	71.6
5	ETH Zurich	264.0	100.0
6	Tsinghua University	263.9	73.2
7	Harvard University	252.4	81.8
8	Nanyang Technological University	243.1	84.2
9	University of Oxford	234.2	72.7
10	University of California, Los Angeles	226.2	65.2
11	University of Technology Sydney	224.6	91.8
12	University of Electronic Science and Technology of China	223.8	86.7
13	University of Toronto	223.1	66.4
14	Princeton University	222.5	74.5
15	National University of Singapore	219.8	81.2
16	Shanghai Jiao Tong University	218.9	71.6
17	University of Southern California	217.1	77.1
18	Cornell University	216.4	74.5
19	Zhejiang University	216.2	70.1
20	University of North Carolina at Chapel Hill	214.7	94.5
21	Harbin Institute of Technology	214.1	83.8
22	Peking University	213.3	77.5
23	Huazhong University of Science and Technology	210.4	83.5
24	Beihang University	210.2	72.2
24	The Chinese University of Hong Kong	210.2	84.9
24	University of Science and Technology of China	210.2	84.4
27	The University of Edinburgh	209.1	75.0
28	Xidian University	208.4	73.8
29	The University of Texas at Austin	206.5	69.5
30	Georgia Institute of Technology	204.1	73.0
31	University of Michigan-Ann Arbor	203.8	78.9
32	New York University	201.8	73.5
33	University College London	201.6	84.2
34	University of Oslo	199.3	95.2
35	Southeast University	199.0	80.3
36	University of Washington	198.9	75.7
37	City University of Hong Kong	198.4	81.6
38	University of Sydney	196.9	86.3
39	Imperial College London	196.6	78.5
40	University of Wisconsin - Madison	194.7	100.0
41	Dalian University of Technology	194.1	81.7
42	The Hong Kong Polytechnic University	193.5	84.4
43	Columbia University	193.1	84.7
44	Northwestern Polytechnical University	192.9	79.1
45	Sun Yat-sen University	191.5	76.8
46	Beijing University of Posts and Telecommunications	190.6	70.1
47	Wuhan University	190.3	81.5
48	The University of Adelaide	190.1	96.9
49	University of Montreal	189.4	68.5
50	The Hong Kong University of Science and Technology	188.7	80.6
50	University of Cambridge	188.7	84.8
51-75	Aalto University		80.8
51-75	Beijing Institute of Technology		75.9
51-75	Central South University		91.9
51-75	Johns Hopkins University		87.6
51-75	King Abdulaziz University		97.0
51-75	Nanjing University		75.1
51-75	Nanjing University of Information Science & Technology		98.5
51-75	Nanjing University of Science and Technology		77.2
51-75	Shenzhen University		81.1
51-75	South China University of Technology		77.5
51-75	Swiss Federal Institute of Technology Lausanne		70.9
51-75	Technical University of Munich		74.3
51-75	The Australian National University		80.7
51-75	The University of New South Wales		78.1
51-75	Tianjin University		75.8
51-75	University of Alberta		74.0
51-75	University of British Columbia		79.8
51-75	University of California, San Diego		69.9
51-75	University of Copenhagen		71.5
51-75	University of Illinois at Urbana-Champaign		68.8
51-75	University of Maryland, College Park		73.4
51-75	University of Waterloo		74.0
51-75	Weizmann Institute of Science		57.0
51-75	Xi'an Jiaotong University		75.8
76-100	Arizona State University		72.4
76-100	Deakin University		83.4
76-100	Griffith University		100.0
76-100	Guangdong University of Technology		93.5
76-100	King Abdullah University of Science and Technology		77.2
76-100	Korea Advanced Institute of Science and Technology		57.7
76-100	KTH Royal Institute of Technology		73.9
76-100	Michigan State University		83.2
76-100	National University of Defense Technology		61.6
76-100	Northeastern University (Shenyang)		72.8
76-100	Northumbria University		90.0
76-100	Paris-Saclay University		65.2
76-100	PSL University		74.5
76-100	Purdue University - West Lafayette		68.8
76-100	Rutgers, The State University of New Jersey - New Brunswick		74.8
76-100	Sichuan University		85.7
76-100	Swinburne University of Technology		98.8
76-100	Technical University of Denmark		100.0
76-100	The University of Hong Kong		79.4
76-100	The University of Melbourne		80.9
76-100	Tongji University		77.7
76-100	Université Grenoble Alpes		61.5
76-100	University of California, Merced		100.0
76-100	University of Macau		91.0
76-100	University of Pennsylvania		75.7
76-100	Xiamen University		75.2
101-150	Beijing Jiaotong University		67.4
101-150	Brown University		88.4
101-150	Brunel University		95.3
101-150	China University of Geosciences (Wuhan)		85.7
101-150	Chongqing University		73.4
101-150	Delft University of Technology		68.3
101-150	Duke University		67.2
101-150	Fudan University		66.3
101-150	Guangzhou University		96.5
101-150	Hamad Bin Khalifa University-Qatar		99.3
101-150	Hefei University of Technology		76.5
101-150	Heidelberg University		96.3
101-150	Hunan University		80.6
101-150	Institut Polytechnique de Paris		67.1
101-150	King Saud University		84.7
101-150	King's College London		83.7
101-150	KU Leuven		68.2
101-150	Lancaster University		75.0
101-150	McGill University		69.6
101-150	McMaster University		100.0
101-150	Monash University		75.0
101-150	Nanjing University of Aeronautics and Astronautics		66.7
101-150	Nanjing University of Posts and Telecommunications		72.6
101-150	New Jersey Institute of Technology		85.8
101-150	Newcastle University		76.6
101-150	Northeastern University (Boston)		64.9
101-150	Polytechnic University of Milan		71.4
101-150	RMIT University		78.6
101-150	Seoul National University		58.3
101-150	Shandong University		66.2
101-150	Simon Fraser University		69.4
101-150	Singapore Management University		76.8
101-150	Singapore University of Technology & Design		85.8
101-150	Temple University		85.3
101-150	The Ohio State University - Columbus		72.7
101-150	The University of Queensland		82.5
101-150	The University of Texas at San Antonio		86.8
101-150	The University of Tokyo		57.4
101-150	University at Buffalo, the State University of New York		76.8
101-150	University of California, Davis		78.1
101-150	University of California, Irvine		74.3
101-150	University of Florida		72.4
101-150	University of Granada		88.3
101-150	University of Iowa		93.9
101-150	University of Minnesota, Twin Cities		69.8
101-150	University of Southampton		72.3
101-150	University of Surrey		84.5
101-150	Victoria University		100.0
101-150	Virginia Polytechnic Institute and State University		78.2
151-200	Aalborg University		74.7
151-200	Bohai University		100.0
151-200	Carleton University		82.9
151-200	Dalian Maritime University		91.6
151-200	De Montfort University		98.7
151-200	East China Normal University		67.4
151-200	Hangzhou Dianzi University		72.0
151-200	Hong Kong Baptist University		82.9
151-200	Indiana University Bloomington		70.3
151-200	International Institute of Information Technology Hyderabad		92.9
151-200	Korea University		67.9
151-200	Lulea University of Technology		100.0
151-200	Macau University of Science and Technology		92.6
151-200	Nankai University		83.6
151-200	Northwestern University		64.5
151-200	Pennsylvania State University - University Park		61.7
151-200	Polytechnic University of Catalonia		62.1
151-200	Qatar University		89.1
151-200	Queen Mary University of London		78.5
151-200	Radboud University Nijmegen		93.3
151-200	Sapienza University of Rome		68.6
151-200	Shanghai University		72.9
151-200	Sorbonne University		62.2
151-200	Southwest Jiaotong University		79.5
151-200	Southwest University		85.9
151-200	St. Francis Xavier University		100.0
151-200	Stony Brook University		69.8
