1	Massachusetts Institute of Technology (MIT)	355.3	73.8
2	Stanford University	315.6	68.9
3	University of California, Berkeley	284.4	72.2
4	Carnegie Mellon University	279.9	74.0
5	ETH Zurich	264.0	84.1
6	Tsinghua University	263.9	65.9
7	Harvard University	252.4	71.8
8	Nanyang Technological University	243.1	88.2
9	University of Oxford	234.2	80.9
10	University of California, Los Angeles	226.2	67.8
11	University of Technology Sydney	224.6	90.6
12	University of Electronic Science and Technology of China	223.8	64.5
13	University of Toronto	223.1	76.7
14	Princeton University	222.5	72.3
15	National University of Singapore	219.8	88.1
16	Shanghai Jiao Tong University	218.9	64.3
17	University of Southern California	217.1	70.7
18	Cornell University	216.4	66.3
19	Zhejiang University	216.2	63.6
20	University of North Carolina at Chapel Hill	214.7	71.4
21	Harbin Institute of Technology	214.1	58.6
22	Peking University	213.3	66.6
23	Huazhong University of Science and Technology	210.4	65.0
24	Beihang University	210.2	60.9
24	The Chinese University of Hong Kong	210.2	68.2
24	University of Science and Technology of China	210.2	62.5
27	The University of Edinburgh	209.1	82.9
28	Xidian University	208.4	57.6
29	The University of Texas at Austin	206.5	65.9
30	Georgia Institute of Technology	204.1	71.5
31	University of Michigan-Ann Arbor	203.8	65.6
32	New York University	201.8	75.1
33	University College London	201.6	81.9
34	University of Oslo	199.3	82.3
35	Southeast University	199.0	61.1
36	University of Washington	198.9	66.6
37	City University of Hong Kong	198.4	65.3
38	University of Sydney	196.9	87.6
39	Imperial College London	196.6	79.2
40	University of Wisconsin - Madison	194.7	64.7
41	Dalian University of Technology	194.1	61.3
42	The Hong Kong Polytechnic University	193.5	63.2
43	Columbia University	193.1	72.3
44	Northwestern Polytechnical University	192.9	63.1
45	Sun Yat-sen University	191.5	57.5
46	Beijing University of Posts and Telecommunications	190.6	57.7
47	Wuhan University	190.3	62.2
48	The University of Adelaide	190.1	87.3
49	University of Montreal	189.4	78.0
50	The Hong Kong University of Science and Technology	188.7	67.8
50	University of Cambridge	188.7	82.1
51-75	Aalto University		84.2
51-75	Beijing Institute of Technology		61.4
51-75	Central South University		58.8
51-75	Johns Hopkins University		69.0
51-75	King Abdulaziz University		96.5
51-75	Nanjing University		67.6
51-75	Nanjing University of Information Science & Technology		67.0
51-75	Nanjing University of Science and Technology		56.7
51-75	Shenzhen University		61.3
51-75	South China University of Technology		54.9
51-75	Swiss Federal Institute of Technology Lausanne		85.8
51-75	Technical University of Munich		76.9
51-75	The Australian National University		83.6
51-75	The University of New South Wales		79.6
51-75	Tianjin University		59.2
