1	Massachusetts Institute of Technology (MIT)	355.3	61.1
2	Stanford University	315.6	55.6
3	University of California, Berkeley	284.4	46.9
4	Carnegie Mellon University	279.9	55.7
5	ETH Zurich	264.0	52.9
6	Tsinghua University	263.9	100.0
7	Harvard University	252.4	57.4
8	Nanyang Technological University	243.1	86.8
9	University of Oxford	234.2	47.3
10	University of California, Los Angeles	226.2	41.7
11	University of Technology Sydney	224.6	67.5
12	University of Electronic Science and Technology of China	223.8	90.8
13	University of Toronto	223.1	46.5
14	Princeton University	222.5	36.2
15	National University of Singapore	219.8	68.6
16	Shanghai Jiao Tong University	218.9	86.7
17	University of Southern California	217.1	45.8
18	Cornell University	216.4	38.2
19	Zhejiang University	216.2	86.0
20	University of North Carolina at Chapel Hill	214.7	40.5
21	Harbin Institute of Technology	214.1	88.9
22	Peking University	213.3	64.6
23	Huazhong University of Science and Technology	210.4	89.8
24	Beihang University	210.2	85.8
24	The Chinese University of Hong Kong	210.2	58.6
24	University of Science and Technology of China	210.2	67.1
27	The University of Edinburgh	209.1	39.9
28	Xidian University	208.4	93.0
29	The University of Texas at Austin	206.5	40.9
30	Georgia Institute of Technology	204.1	54.3
31	University of Michigan-Ann Arbor	203.8	53.0
32	New York University	201.8	39.1
33	University College London	201.6	54.9
34	University of Oslo	199.3	32.0
35	Southeast University	199.0	85.7
36	University of Washington	198.9	42.5
37	City University of Hong Kong	198.4	77.2
38	University of Sydney	196.9	54.7
39	Imperial College London	196.6	57.8
40	University of Wisconsin - Madison	194.7	39.3
41	Dalian University of Technology	194.1	73.2
42	The Hong Kong Polytechnic University	193.5	70.6
43	Columbia University	193.1	45.0
44	Northwestern Polytechnical University	192.9	72.3
45	Sun Yat-sen University	191.5	66.6
46	Beijing University of Posts and Telecommunications	190.6	82.7
47	Wuhan University	190.3	73.7
48	The University of Adelaide	190.1	45.1
49	University of Montreal	189.4	42.8
50	The Hong Kong University of Science and Technology	188.7	50.9
50	University of Cambridge	188.7	45.1
51-75	Aalto University		49.1
51-75	Beijing Institute of Technology		67.2
51-75	Central South University		66.6
51-75	Johns Hopkins University		38.3
51-75	King Abdulaziz University		65.6
51-75	Nanjing University		55.3
51-75	Nanjing University of Information Science & Technology		55.0
51-75	Nanjing University of Science and Technology		65.2
51-75	Shenzhen University		70.8
51-75	South China University of Technology		69.5
51-75	Swiss Federal Institute of Technology Lausanne		42.6
51-75	Technical University of Munich		48.1
51-75	The Australian National University		37.7
51-75	The University of New South Wales		58.3
51-75	Tianjin University		71.6
51-75	University of Alberta		49.7
51-75	University of British Columbia		52.2
51-75	University of California, San Diego		43.8
51-75	University of Copenhagen		26.9
51-75	University of Illinois at Urbana-Champaign		46.9
51-75	University of Maryland, College Park		41.5
51-75	University of Waterloo		50.8
51-75	Weizmann Institute of Science		17.0
51-75	Xi'an Jiaotong University		71.7
76-100	Arizona State University		42.4
76-100	Deakin University		51.7
76-100	Griffith University		33.2
76-100	Guangdong University of Technology		53.0
76-100	King Abdullah University of Science and Technology		40.2
76-100	Korea Advanced Institute of Science and Technology		49.7
76-100	KTH Royal Institute of Technology		42.4
76-100	Michigan State University		42.1
76-100	National University of Defense Technology		71.2
76-100	Northeastern University (Shenyang)		76.0
76-100	Northumbria University		31.6
76-100	Paris-Saclay University		48.7
76-100	PSL University		32.8
76-100	Purdue University - West Lafayette		49.4
76-100	Rutgers, The State University of New Jersey - New Brunswick		39.1
76-100	Sichuan University		59.5
76-100	Swinburne University of Technology		37.6
76-100	Technical University of Denmark		34.6
76-100	The University of Hong Kong		46.5
76-100	The University of Melbourne		41.3
76-100	Tongji University		60.1
76-100	Université Grenoble Alpes		36.0
76-100	University of California, Merced		21.9
76-100	University of Macau		52.0
76-100	University of Pennsylvania		36.8
76-100	Xiamen University		53.5
101-150	Beijing Jiaotong University		62.3
101-150	Brown University		22.7
101-150	Brunel University		37.6
101-150	China University of Geosciences (Wuhan)		44.0
101-150	Chongqing University		60.0
101-150	Delft University of Technology		47.4
101-150	Duke University		33.7
101-150	Fudan University		46.8
101-150	Guangzhou University		41.7
101-150	Hamad Bin Khalifa University-Qatar		22.3
101-150	Hefei University of Technology		53.2
101-150	Heidelberg University		26.1
101-150	Hunan University		57.9
101-150	Institut Polytechnique de Paris		40.2
101-150	King Saud University		55.8
101-150	King's College London		36.7
101-150	KU Leuven		42.3
101-150	Lancaster University		34.4
101-150	McGill University		38.5
101-150	McMaster University		28.9
101-150	Monash University		40.5
101-150	Nanjing University of Aeronautics and Astronautics		59.7
101-150	Nanjing University of Posts and Telecommunications		59.9
101-150	New Jersey Institute of Technology		39.9
101-150	Newcastle University		33.1
101-150	Northeastern University (Boston)		33.7
101-150	Polytechnic University of Milan		45.5
101-150	RMIT University		43.9
101-150	Seoul National University		47.8
101-150	Shandong University		54.0
101-150	Simon Fraser University		36.5
101-150	Singapore Management University		33.2
101-150	Singapore University of Technology & Design		33.0
101-150	Temple University		37.7
101-150	The Ohio State University - Columbus		38.6
101-150	The University of Queensland		37.8
101-150	The University of Texas at San Antonio		41.8
101-150	The University of Tokyo		38.3
101-150	University at Buffalo, the State University of New York		37.7
101-150	University of California, Davis		39.7
101-150	University of California, Irvine		37.8
101-150	University of Florida		47.1
101-150	University of Granada		50.3
101-150	University of Iowa		26.1
101-150	University of Minnesota, Twin Cities		38.9
101-150	University of Southampton		43.1
101-150	University of Surrey		41.7
101-150	Victoria University		27.5
101-150	Virginia Polytechnic Institute and State University		43.2
151-200	Aalborg University		38.1
151-200	Bohai University		31.9
151-200	Carleton University		34.3
151-200	Dalian Maritime University		38.0
151-200	De Montfort University		29.0
151-200	East China Normal University		39.5
151-200	Hangzhou Dianzi University		48.3
151-200	Hong Kong Baptist University		32.7
151-200	Indiana University Bloomington		29.2
151-200	International Institute of Information Technology Hyderabad		19.7
151-200	Korea University		49.0
151-200	Lulea University of Technology		26.2
151-200	Macau University of Science and Technology		35.6
151-200	Nankai University		34.0
151-200	Northwestern University		30.5
151-200	Pennsylvania State University - University Park		36.4
151-200	Polytechnic University of Catalonia		47.3
151-200	Qatar University		37.6
151-200	Queen Mary University of London		34.0
151-200	Radboud University Nijmegen		23.6
151-200	Sapienza University of Rome		35.6
151-200	Shanghai University		50.2
151-200	Sorbonne University		41.2
151-200	Southwest Jiaotong University		44.7
151-200	Southwest University		40.6
151-200	St. Francis Xavier University		25.6
151-200	Stony Brook University		36.8
151-200	Technion-Israel Institute of Technology		33.4
151-200	Tel Aviv University		31.3
151-200	Texas A and M University at Qatar		32.6
151-200	Texas A&M University		40.5
151-200	The University of Manchester		44.0
151-200	The University of Texas at Arlington		31.3
151-200	University at Albany (State University of New York)		20.4
151-200	University of Amsterdam		32.1
151-200	University of Birmingham		32.3
151-200	University of Bristol		31.8
151-200	University of Chicago		31.1
151-200	University of Freiburg		22.5
151-200	University of Houston		36.4
151-200	University of Malaya		42.7
151-200	University of Oulu		34.0
151-200	University of Pittsburgh		37.4
151-200	University of Science and Technology Beijing		51.6
151-200	University of Warwick		37.2
151-200	University of Wollongong		37.2
151-200	Vanderbilt University		31.7
151-200	Vienna University of Technology		34.3
151-200	Yangzhou University		30.8
151-200	York University		24.4
201-300	Aarhus University		23.4
201-300	Anhui University		40.4
201-300	Beijing University of Technology		41.7
201-300	Ben-Gurion University of the Negev		30.4
201-300	Boston University		27.1
201-300	California Institute of Technology		24.0
201-300	Cardiff University		32.8
201-300	Case Western Reserve University		25.4
201-300	Changsha University of Science and Technology		27.4
201-300	Chongqing University of Posts and Telecommunications		46.5
201-300	COMSATS University Islamabad		47.2
201-300	Concordia University		41.2
201-300	Dongguan University of Technology		23.4
201-300	Eindhoven University of Technology		35.6
201-300	Fuzhou University		40.1
