1	Massachusetts Institute of Technology (MIT)	355.3	96.3
2	Stanford University	315.6	82.6
3	University of California, Berkeley	284.4	78.5
4	Carnegie Mellon University	279.9	100.0
5	ETH Zurich	264.0	67.6
6	Tsinghua University	263.9	77.6
7	Harvard University	252.4	52.5
8	Nanyang Technological University	243.1	54.5
9	University of Oxford	234.2	60.2
10	University of California, Los Angeles	226.2	52.3
11	University of Technology Sydney	224.6	47.2
12	University of Electronic Science and Technology of China	223.8	33.4
13	University of Toronto	223.1	54.0
14	Princeton University	222.5	55.1
15	National University of Singapore	219.8	52.3
16	Shanghai Jiao Tong University	218.9	47.7
17	University of Southern California	217.1	53.3
18	Cornell University	216.4	57.8
19	Zhejiang University	216.2	47.4
20	University of North Carolina at Chapel Hill	214.7	27.7
21	Harbin Institute of Technology	214.1	29.7
22	Peking University	213.3	57.9
23	Huazhong University of Science and Technology	210.4	24.1
24	Beihang University	210.2	40.0
24	The Chinese University of Hong Kong	210.2	53.0
24	University of Science and Technology of China	210.2	46.2
27	The University of Edinburgh	209.1	39.9
28	Xidian University	208.4	30.2
29	The University of Texas at Austin	206.5	56.2
30	Georgia Institute of Technology	204.1	62.5
31	University of Michigan-Ann Arbor	203.8	58.8
32	New York University	201.8	43.3
33	University College London	201.6	46.1
34	University of Oslo	199.3	9.4
35	Southeast University	199.0	20.7
36	University of Washington	198.9	67.3
37	City University of Hong Kong	198.4	26.6
38	University of Sydney	196.9	38.4
39	Imperial College London	196.6	44.4
40	University of Wisconsin - Madison	194.7	42.5
41	Dalian University of Technology	194.1	27.0
42	The Hong Kong Polytechnic University	193.5	25.9
43	Columbia University	193.1	49.0
44	Northwestern Polytechnical University	192.9	28.8
45	Sun Yat-sen University	191.5	36.5
46	Beijing University of Posts and Telecommunications	190.6	26.3
47	Wuhan University	190.3	22.6
48	The University of Adelaide	190.1	30.7
49	University of Montreal	189.4	31.6
50	The Hong Kong University of Science and Technology	188.7	43.6
50	University of Cambridge	188.7	42.4
51-75	Aalto University		32.4
51-75	Beijing Institute of Technology		27.3
51-75	Central South University		8.3
51-75	Johns Hopkins University		38.6
51-75	King Abdulaziz University		2.5
51-75	Nanjing University		41.7
51-75	Nanjing University of Information Science & Technology		11.8
51-75	Nanjing University of Science and Technology		23.3
51-75	Shenzhen University		22.4
51-75	South China University of Technology		23.3
51-75	Swiss Federal Institute of Technology Lausanne		50.2
51-75	Technical University of Munich		40.9
51-75	The Australian National University		39.2
51-75	The University of New South Wales		34.4
51-75	Tianjin University		28.7
51-75	University of Alberta		33.4
51-75	University of British Columbia		36.4
51-75	University of California, San Diego		50.7
51-75	University of Copenhagen		26.6
51-75	University of Illinois at Urbana-Champaign		58.2
51-75	University of Maryland, College Park		49.7
51-75	University of Waterloo		41.5
51-75	Weizmann Institute of Science		33.8
51-75	Xi'an Jiaotong University		25.3
76-100	Arizona State University		37.0
76-100	Deakin University		20.0
76-100	Griffith University		18.3
76-100	Guangdong University of Technology		12.1
76-100	King Abdullah University of Science and Technology		29.3
76-100	Korea Advanced Institute of Science and Technology		43.9
