1	University of Oxford	288.6	
2	University of Minnesota, Twin Cities	280.0	
3	University of Montpellier	279.8	
4	Wageningen University & Research	266.4	
5	Swedish University of Agricultural Sciences	263.9	
6	University of California, Berkeley	261.6	
7	University of California, Davis	261.3	
8	PSL University	260.4	
9	Imperial College London	254.3	
10	ETH Zurich	254.2	
11	Exeter University	253.5	
12	University of Zurich	246.3	
13	Western Sydney University	240.1	
14	Cornell University	239.6	
15	The University of Queensland	238.6	
16	University of Cambridge	238.4	
17	University of Colorado at Boulder	237.9	
18	University of British Columbia	235.6	
19	Colorado State University	234.5	
20	University of Toronto	234.3	
21	The University of Edinburgh	232.5	
22	Stanford University	232.3	
23	Princeton University	232.1	
24	Sorbonne University	232.0	
25	James Cook University	230.1	
26	Michigan State University	228.9	
27	Institut Agro	228.7	
28	Universite Paul-Valery Montpellier 3	228.0	
29	University of Florida	227.5	
30	University of Arizona	226.8	
31	University of Copenhagen	224.2	
32	University of Washington	224.0	
33	Aarhus University	223.6	
34	Yale University	223.2	
35	Lancaster University	222.5	
36	Paul Sabatier University (Toulouse 3)	220.3	
37	The University of Sheffield	219.3	
38	University of California, Santa Barbara	219.1	
39	Duke University	217.6	
40	The Australian National University	217.5	
40	University of Goettingen	217.5	
42	Harvard University	217.0	
42	University of Helsinki	217.0	
44	University of California, Los Angeles	214.5	
45	University of Guelph	212.1	
46	University of Leipzig	210.7	
47	Monash University	210.5	
48	Oregon State University	210.4	
48	The University of Western Australia	210.4	
50	University of California, Santa Cruz	209.8	
50	University of Maryland, College Park	209.8	
51-75	Arizona State University		
51-75	Columbia University		
51-75	Ghent University		
51-75	Lund University		
51-75	McGill University		
51-75	Stockholm University		
51-75	Technical University of Munich		
51-75	The University of Melbourne		
51-75	The University of New South Wales		
51-75	The University of Reading		
51-75	Université Grenoble Alpes		
51-75	University College London		
51-75	University of Bern		
51-75	University of Freiburg		
51-75	University of Groningen		
51-75	University of Halle-Wittenberg		
51-75	University of Leeds		
51-75	University of Michigan-Ann Arbor		
51-75	University of Montana - Missoula		
51-75	University of Sao Paulo		
51-75	University of Tasmania		
51-75	University of Vienna		
51-75	University of Wisconsin - Madison		
51-75	Utrecht University		
76-100	Autonomous University of Barcelona		
76-100	KU Leuven		
76-100	North Carolina State University - Raleigh		
76-100	Northern Arizona University		
76-100	Norwegian University of Science and Technology - NTNU		
76-100	Peking University		
76-100	The University of Glasgow		
76-100	The University of Texas at Austin		
76-100	University of Alberta		
76-100	University of Amsterdam		
76-100	University of California, Irvine		
76-100	University of Chicago		
76-100	University of Connecticut		
76-100	University of East Anglia		
76-100	University of Jena		
76-100	University of Lausanne		
76-100	University of Quebec Montreal		
76-100	University of Savoy		
76-100	University of Southampton		
76-100	University of Stirling		
76-100	University of Sydney		
76-100	University of Wuerzburg		
76-100	University of Wyoming		
76-100	Uppsala University		
76-100	Utah State University		
101-150	Boston University		
101-150	Ecole Nationale Formation Agronomique		
101-150	Florida International University		
101-150	Free University Berlin		
101-150	Indiana University Bloomington		
101-150	Iowa State University		
101-150	Karlsruhe Institute of Technology (KIT)		
101-150	King Juan Carlos University		
101-150	Leiden University		
101-150	Macquarie University		
101-150	National Autonomous University of Mexico		
101-150	National University of Singapore		
101-150	Paris-Saclay University		
101-150	Pennsylvania State University - University Park		
101-150	Radboud University Nijmegen		
101-150	Sun Yat-sen University		
101-150	The University of Adelaide		
101-150	The University of Georgia		
101-150	The University of Manchester		
101-150	Trinity College Dublin		
101-150	Umea University		
101-150	University of Aberdeen		
101-150	University of Antwerp		
101-150	University of Barcelona		
101-150	University of Bayreuth		
101-150	University of Bordeaux		
101-150	University of Bristol		
101-150	University of California, Riverside		
101-150	University of Campinas		
101-150	University of Gothenburg		
101-150	University of Hawaii at Manoa		
101-150	University of Illinois at Urbana-Champaign		
101-150	University of Kansas		
101-150	University of Konstanz		
101-150	University of Liverpool		
101-150	University of Maine		
101-150	University of Natural Resources and Life Sciences, Vienna		
101-150	University of Oklahoma - Norman		
101-150	University of Oldenburg		
101-150	University of Oslo		
101-150	University of Potsdam		
101-150	University of Sherbrooke		
101-150	University of South Bohemia		
101-150	University of St Andrews		
101-150	University of Turku		
101-150	University of Utah		
101-150	University of Vermont		
101-150	University of York		
101-150	VetAgro Sup		
101-150	Vrije Universiteit Amsterdam		
101-150	Washington University in St. Louis		
151-200	Aix Marseille University		
151-200	Beijing Normal University		
151-200	Charles University in Prague		
151-200	Claude Bernard University Lyon 1		
151-200	Deakin University		
151-200	Durham University		
151-200	Estonian University of Life Sciences		
151-200	Florida State University		
151-200	Georgia Institute of Technology		
151-200	Griffith University		
151-200	Humboldt University of Berlin		
151-200	Laval University		
151-200	Massachusetts Institute of Technology (MIT)		
151-200	Montana State University - Bozeman		
151-200	Norwegian University of Life Sciences		
151-200	Queen Mary University of London		
151-200	Queensland University of Technology		
151-200	Simon Fraser University		
151-200	Stellenbosch University		
151-200	Swansea University		
151-200	Tartu University Institute of Ecology & Earth Sciences		
151-200	Tel Aviv University		
151-200	The Ohio State University - Columbus		
151-200	The University of Hong Kong		
151-200	The University of New Mexico - Albuquerque		
151-200	Tsinghua University		
151-200	University of Alaska - Fairbanks		
151-200	University of Alcalá		
151-200	University of Basel		
