1	University of Oxford	288.6	81.3
2	University of Minnesota, Twin Cities	280.0	84.6
3	University of Montpellier	279.8	77.0
4	Wageningen University & Research	266.4	86.1
5	Swedish University of Agricultural Sciences	263.9	79.6
6	University of California, Berkeley	261.6	82.8
7	University of California, Davis	261.3	74.6
8	PSL University	260.4	77.2
9	Imperial College London	254.3	90.7
10	ETH Zurich	254.2	85.6
11	Exeter University	253.5	81.7
12	University of Zurich	246.3	79.0
13	Western Sydney University	240.1	100.0
14	Cornell University	239.6	75.8
15	The University of Queensland	238.6	76.7
16	University of Cambridge	238.4	81.7
17	University of Colorado at Boulder	237.9	86.9
18	University of British Columbia	235.6	76.2
19	Colorado State University	234.5	77.0
20	University of Toronto	234.3	69.2
21	The University of Edinburgh	232.5	80.2
22	Stanford University	232.3	91.7
23	Princeton University	232.1	86.8
24	Sorbonne University	232.0	68.0
25	James Cook University	230.1	79.3
26	Michigan State University	228.9	74.8
27	Institut Agro	228.7	77.3
28	Universite Paul-Valery Montpellier 3	228.0	80.1
29	University of Florida	227.5	72.5
30	University of Arizona	226.8	78.3
31	University of Copenhagen	224.2	83.0
32	University of Washington	224.0	76.7
33	Aarhus University	223.6	79.4
34	Yale University	223.2	81.7
35	Lancaster University	222.5	93.7
36	Paul Sabatier University (Toulouse 3)	220.3	78.1
37	The University of Sheffield	219.3	75.5
38	University of California, Santa Barbara	219.1	82.4
39	Duke University	217.6	81.3
40	The Australian National University	217.5	74.2
40	University of Goettingen	217.5	88.0
42	Harvard University	217.0	81.5
42	University of Helsinki	217.0	75.4
44	University of California, Los Angeles	214.5	77.0
45	University of Guelph	212.1	77.3
46	University of Leipzig	210.7	98.4
47	Monash University	210.5	71.2
48	Oregon State University	210.4	70.5
48	The University of Western Australia	210.4	76.0
50	University of California, Santa Cruz	209.8	76.9
50	University of Maryland, College Park	209.8	90.6
51-75	Arizona State University		76.0
51-75	Columbia University		85.2
51-75	Ghent University		77.9
51-75	Lund University		79.3
51-75	McGill University		78.6
51-75	Stockholm University		78.3
51-75	Technical University of Munich		90.2
51-75	The University of Melbourne		73.8
51-75	The University of New South Wales		78.1
51-75	The University of Reading		87.1
