1	University of Oxford	288.6	92.4
2	University of Minnesota, Twin Cities	280.0	72.8
3	University of Montpellier	279.8	91.7
4	Wageningen University & Research	266.4	91.2
5	Swedish University of Agricultural Sciences	263.9	90.1
6	University of California, Berkeley	261.6	74.6
7	University of California, Davis	261.3	70.0
8	PSL University	260.4	90.8
9	Imperial College London	254.3	92.0
10	ETH Zurich	254.2	93.0
11	Exeter University	253.5	87.4
12	University of Zurich	246.3	94.0
13	Western Sydney University	240.1	90.0
14	Cornell University	239.6	71.4
15	The University of Queensland	238.6	83.3
16	University of Cambridge	238.4	90.9
17	University of Colorado at Boulder	237.9	73.9
18	University of British Columbia	235.6	87.5
19	Colorado State University	234.5	63.6
20	University of Toronto	234.3	81.2
21	The University of Edinburgh	232.5	86.2
22	Stanford University	232.3	80.0
23	Princeton University	232.1	83.9
24	Sorbonne University	232.0	88.5
25	James Cook University	230.1	83.6
26	Michigan State University	228.9	67.3
27	Institut Agro	228.7	88.4
28	Universite Paul-Valery Montpellier 3	228.0	89.9
29	University of Florida	227.5	74.4
30	University of Arizona	226.8	72.1
31	University of Copenhagen	224.2	93.7
32	University of Washington	224.0	67.6
33	Aarhus University	223.6	94.3
34	Yale University	223.2	77.6
35	Lancaster University	222.5	90.4
36	Paul Sabatier University (Toulouse 3)	220.3	91.6
37	The University of Sheffield	219.3	89.8
38	University of California, Santa Barbara	219.1	73.3
39	Duke University	217.6	76.7
40	The Australian National University	217.5	76.7
40	University of Goettingen	217.5	88.6
42	Harvard University	217.0	80.5
42	University of Helsinki	217.0	89.9
44	University of California, Los Angeles	214.5	78.1
45	University of Guelph	212.1	82.8
46	University of Leipzig	210.7	93.1
47	Monash University	210.5	80.4
48	Oregon State University	210.4	62.8
48	The University of Western Australia	210.4	81.3
50	University of California, Santa Cruz	209.8	73.3
50	University of Maryland, College Park	209.8	77.6
51-75	Arizona State University		76.6
51-75	Columbia University		78.2
51-75	Ghent University		92.3
51-75	Lund University		92.0
51-75	McGill University		84.8
51-75	Stockholm University		90.5
51-75	Technical University of Munich		88.5
51-75	The University of Melbourne		72.9
51-75	The University of New South Wales		79.1
51-75	The University of Reading		85.3
51-75	Université Grenoble Alpes		87.6
51-75	University College London		90.2
51-75	University of Bern		92.8
51-75	University of Freiburg		90.6
51-75	University of Groningen		92.6
51-75	University of Halle-Wittenberg		91.7
51-75	University of Leeds		88.5
51-75	University of Michigan-Ann Arbor		71.3
51-75	University of Montana - Missoula		67.3
51-75	University of Sao Paulo		78.9
51-75	University of Tasmania		79.8
51-75	University of Vienna		92.9
51-75	University of Wisconsin - Madison		65.8
51-75	Utrecht University		91.3
76-100	Autonomous University of Barcelona		93.4
76-100	KU Leuven		89.1
76-100	North Carolina State University - Raleigh		62.2
