1	University of Oxford	288.6	95.1
2	University of Minnesota, Twin Cities	280.0	100.0
3	University of Montpellier	279.8	84.5
4	Wageningen University & Research	266.4	74.0
5	Swedish University of Agricultural Sciences	263.9	80.2
6	University of California, Berkeley	261.6	80.2
7	University of California, Davis	261.3	84.5
8	PSL University	260.4	81.6
9	Imperial College London	254.3	72.4
10	ETH Zurich	254.2	74.0
11	Exeter University	253.5	74.0
12	University of Zurich	246.3	75.6
13	Western Sydney University	240.1	70.7
14	Cornell University	239.6	69.0
15	The University of Queensland	238.6	51.2
16	University of Cambridge	238.4	61.7
17	University of Colorado at Boulder	237.9	72.4
18	University of British Columbia	235.6	59.8
19	Colorado State University	234.5	70.7
20	University of Toronto	234.3	81.6
21	The University of Edinburgh	232.5	69.0
22	Stanford University	232.3	59.8
23	Princeton University	232.1	72.4
24	Sorbonne University	232.0	61.7
25	James Cook University	230.1	51.2
26	Michigan State University	228.9	70.7
27	Institut Agro	228.7	59.8
28	Universite Paul-Valery Montpellier 3	228.0	63.6
29	University of Florida	227.5	57.7
30	University of Arizona	226.8	69.0
31	University of Copenhagen	224.2	43.6
32	University of Washington	224.0	59.8
33	Aarhus University	223.6	48.8
34	Yale University	223.2	63.6
35	Lancaster University	222.5	59.8
36	Paul Sabatier University (Toulouse 3)	220.3	61.7
37	The University of Sheffield	219.3	67.3
38	University of California, Santa Barbara	219.1	61.7
39	Duke University	217.6	53.5
40	The Australian National University	217.5	53.5
40	University of Goettingen	217.5	46.3
42	Harvard University	217.0	53.5
42	University of Helsinki	217.0	43.6
44	University of California, Los Angeles	214.5	65.5
45	University of Guelph	212.1	65.5
46	University of Leipzig	210.7	51.2
47	Monash University	210.5	61.7
48	Oregon State University	210.4	53.5
48	The University of Western Australia	210.4	48.8
50	University of California, Santa Cruz	209.8	55.6
50	University of Maryland, College Park	209.8	46.3
51-75	Arizona State University		48.8
51-75	Columbia University		46.3
51-75	Ghent University		43.6
51-75	Lund University		43.6
51-75	McGill University		55.6
51-75	Stockholm University		43.6
51-75	Technical University of Munich		40.8
51-75	The University of Melbourne		43.6
51-75	The University of New South Wales		51.2
51-75	The University of Reading		51.2
51-75	Université Grenoble Alpes		46.3
51-75	University College London		34.5
51-75	University of Bern		43.6
51-75	University of Freiburg		43.6
51-75	University of Groningen		55.6
51-75	University of Halle-Wittenberg		46.3
51-75	University of Leeds		40.8
51-75	University of Michigan-Ann Arbor		57.7
51-75	University of Montana - Missoula		53.5
51-75	University of Sao Paulo		43.6
51-75	University of Tasmania		43.6
51-75	University of Vienna		40.8
51-75	University of Wisconsin - Madison		40.8
51-75	Utrecht University		46.3
76-100	Autonomous University of Barcelona		30.9
76-100	KU Leuven		43.6
76-100	North Carolina State University - Raleigh		43.6
76-100	Northern Arizona University		48.8
76-100	Norwegian University of Science and Technology - NTNU		46.3
76-100	Peking University		37.8
76-100	The University of Glasgow		48.8
76-100	The University of Texas at Austin		46.3
76-100	University of Alberta		40.8
76-100	University of Amsterdam		37.8
76-100	University of California, Irvine		43.6
76-100	University of Chicago		51.2
76-100	University of Connecticut		46.3
76-100	University of East Anglia		34.5
76-100	University of Jena		37.8
76-100	University of Lausanne		51.2
76-100	University of Quebec Montreal		46.3
76-100	University of Savoy		34.5
76-100	University of Southampton		40.8
76-100	University of Stirling		48.8
76-100	University of Sydney		46.3
76-100	University of Wuerzburg		46.3
76-100	University of Wyoming		53.5
76-100	Uppsala University		43.6
76-100	Utah State University		61.7
101-150	Boston University		40.8
101-150	Ecole Nationale Formation Agronomique		46.3
101-150	Florida International University		30.9
101-150	Free University Berlin		30.9
101-150	Indiana University Bloomington		46.3
101-150	Iowa State University		43.6
101-150	Karlsruhe Institute of Technology (KIT)		30.9
101-150	King Juan Carlos University		34.5
101-150	Leiden University		40.8
101-150	Macquarie University		30.9
101-150	National Autonomous University of Mexico		37.8
101-150	National University of Singapore		34.5
101-150	Paris-Saclay University		26.7
101-150	Pennsylvania State University - University Park		40.8
101-150	Radboud University Nijmegen		26.7
101-150	Sun Yat-sen University		43.6
101-150	The University of Adelaide		30.9
101-150	The University of Georgia		46.3
101-150	The University of Manchester		40.8
101-150	Trinity College Dublin		43.6
101-150	Umea University		43.6
101-150	University of Aberdeen		37.8
101-150	University of Antwerp		37.8
101-150	University of Barcelona		30.9
101-150	University of Bayreuth		26.7
101-150	University of Bordeaux		40.8
101-150	University of Bristol		37.8
101-150	University of California, Riverside		48.8
101-150	University of Campinas		37.8
101-150	University of Gothenburg		34.5
101-150	University of Hawaii at Manoa		37.8
101-150	University of Illinois at Urbana-Champaign		37.8
101-150	University of Kansas		40.8
101-150	University of Konstanz		34.5
