1	University of Chicago	379.8	100.0
2	Harvard University	366.5	100.0
3	Massachusetts Institute of Technology (MIT)	340.3	100.0
4	University of California, Berkeley	321.2	100.0
5	Princeton University	308.2	100.0
6	Columbia University	304.5	97.5
7	Stanford University	300.1	100.0
8	London School of Economics and Political Science	287.3	90.5
9	New York University	283.4	92.9
10	Yale University	268.7	100.0
11	Northwestern University	250.3	100.0
12	University of Pennsylvania	232.4	95.9
13	University of California, Los Angeles	224.1	94.3
14	University of Cambridge	219.5	80.0
15	University of Oxford	215.6	85.2
16	University College London	205.0	83.0
17	Duke University	204.8	98.2
18	University of California, San Diego	202.4	100.0
19	University of Toronto	196.7	83.9
20	University of Maryland, College Park	196.0	80.1
21	Arizona State University	194.8	91.4
22	University of Toulouse 1	194.5	70.0
23	University of Michigan-Ann Arbor	192.0	94.4
24	Cornell University	190.5	86.9
25	University of Minnesota, Twin Cities	190.2	83.2
26	National University of Singapore	187.0	88.1
27	Bocconi University	185.5	85.9
28	Boston University	183.8	100.0
29	Carnegie Mellon University	180.1	89.4
30	The University of Texas at Austin	175.7	92.0
31	University of Warwick	175.2	80.8
32	University of Southern California	172.2	92.7
33	University of British Columbia	171.8	92.0
34	Erasmus University Rotterdam	168.9	73.7
35	University of Zurich	165.4	88.0
36	University of Wisconsin - Madison	162.9	74.5
37	University of Oslo	162.6	77.8
38	University of California, Davis	160.2	97.3
39	University of Bonn	158.9	80.6
40	Pompeu Fabra University	157.3	84.4
41	Washington University in St. Louis	156.6	80.7
42	Indiana University Bloomington	156.3	87.7
43	KU Leuven	155.1	73.8
44	The Ohio State University - Columbus	154.4	82.0
45	Vrije Universiteit Amsterdam	154.2	78.2
46	University of Copenhagen	154.0	79.7
47	Imperial College London	153.6	89.4
48	Johns Hopkins University	153.4	82.8
49	Stockholm University	153.1	86.6
50	University of Washington	152.6	94.0
51-75	Aarhus University		73.5
51-75	Barcelona Graduate School of Economics		81.3
51-75	Boston College		94.5
51-75	Brown University		100.0
51-75	Dartmouth College		100.0
51-75	ETH Zurich		83.5
51-75	George Mason University		67.1
51-75	London Business School		100.0
51-75	Monash University		74.5
51-75	Peking University		78.2
51-75	PSL University		65.1
51-75	Purdue University - West Lafayette		80.5
51-75	The Hebrew University of Jerusalem		63.3
51-75	The University of Hong Kong		81.3
51-75	The University of Melbourne		70.8
51-75	Tsinghua University		84.6
51-75	University of Amsterdam		78.0
51-75	University of California, Santa Barbara		85.2
51-75	University of Groningen		85.4
51-75	University of Illinois at Urbana-Champaign		77.6
51-75	University of Montreal		64.9
51-75	University of Munich		82.7
51-75	University of North Carolina at Chapel Hill		84.8
51-75	University of Sydney		79.2
51-75	University of York		81.6
76-100	Autonomous University of Barcelona		78.4
76-100	European University Institute		78.5
76-100	Georgetown University		77.4
76-100	Lund University		82.9
76-100	Maastricht University		72.9
76-100	McGill University		78.8
76-100	Michigan State University		78.4
76-100	Paris School of Economics		70.9
76-100	Pennsylvania State University - University Park		70.2
