1	University of Chicago	379.8	63.0
2	Harvard University	366.5	68.2
3	Massachusetts Institute of Technology (MIT)	340.3	69.8
4	University of California, Berkeley	321.2	66.1
5	Princeton University	308.2	66.8
6	Columbia University	304.5	72.1
7	Stanford University	300.1	63.8
8	London School of Economics and Political Science	287.3	82.4
9	New York University	283.4	70.4
10	Yale University	268.7	68.1
11	Northwestern University	250.3	61.2
12	University of Pennsylvania	232.4	64.7
13	University of California, Los Angeles	224.1	60.0
14	University of Cambridge	219.5	78.1
15	University of Oxford	215.6	82.2
16	University College London	205.0	80.2
17	Duke University	204.8	66.9
18	University of California, San Diego	202.4	67.3
19	University of Toronto	196.7	82.5
20	University of Maryland, College Park	196.0	68.2
21	Arizona State University	194.8	70.7
22	University of Toulouse 1	194.5	85.2
23	University of Michigan-Ann Arbor	192.0	67.3
24	Cornell University	190.5	69.4
25	University of Minnesota, Twin Cities	190.2	66.3
26	National University of Singapore	187.0	89.2
27	Bocconi University	185.5	90.6
28	Boston University	183.8	77.8
29	Carnegie Mellon University	180.1	70.2
30	The University of Texas at Austin	175.7	67.0
31	University of Warwick	175.2	81.4
32	University of Southern California	172.2	67.8
33	University of British Columbia	171.8	88.6
34	Erasmus University Rotterdam	168.9	80.2
35	University of Zurich	165.4	86.5
36	University of Wisconsin - Madison	162.9	62.6
37	University of Oslo	162.6	78.4
38	University of California, Davis	160.2	63.8
39	University of Bonn	158.9	84.7
40	Pompeu Fabra University	157.3	86.4
41	Washington University in St. Louis	156.6	74.5
42	Indiana University Bloomington	156.3	68.1
43	KU Leuven	155.1	88.8
44	The Ohio State University - Columbus	154.4	69.7
45	Vrije Universiteit Amsterdam	154.2	89.5
46	University of Copenhagen	154.0	82.7
47	Imperial College London	153.6	91.5
48	Johns Hopkins University	153.4	69.3
49	Stockholm University	153.1	86.6
50	University of Washington	152.6	68.2
51-75	Aarhus University		87.1
51-75	Barcelona Graduate School of Economics		87.1
51-75	Boston College		71.9
51-75	Brown University		70.0
51-75	Dartmouth College		56.7
51-75	ETH Zurich		89.0
51-75	George Mason University		57.7
51-75	London Business School		97.2
51-75	Monash University		80.2
51-75	Peking University		75.7
51-75	PSL University		70.9
51-75	Purdue University - West Lafayette		65.5
51-75	The Hebrew University of Jerusalem		79.1
51-75	The University of Hong Kong		77.0
51-75	The University of Melbourne		79.0
51-75	Tsinghua University		76.3
51-75	University of Amsterdam		84.7
51-75	University of California, Santa Barbara		67.8
51-75	University of Groningen		81.8
51-75	University of Illinois at Urbana-Champaign		69.2
51-75	University of Montreal		86.6
51-75	University of Munich		76.4
51-75	University of North Carolina at Chapel Hill		64.6
51-75	University of Sydney		76.5
51-75	University of York		77.1
76-100	Autonomous University of Barcelona		79.3
76-100	European University Institute		92.1
76-100	Georgetown University		69.5
76-100	Lund University		81.1
76-100	Maastricht University		90.1
76-100	McGill University		84.2
76-100	Michigan State University		69.5
76-100	Paris School of Economics		81.8
76-100	Pennsylvania State University - University Park		71.3
76-100	Queen Mary University of London		84.3
76-100	Texas A&M University		67.6
76-100	The Hong Kong University of Science and Technology		83.8
76-100	The University of Edinburgh		77.2
76-100	The University of Manchester		77.2
76-100	The University of New South Wales		80.7
76-100	The University of Sheffield		74.2
76-100	Tilburg University		87.9
76-100	University of Bristol		72.2
76-100	University of Leeds		80.5
76-100	University of Mannheim		82.0
76-100	University of Pittsburgh		59.9
76-100	University of Sussex		82.9
76-100	University of Virginia		61.0
76-100	Utrecht University		80.6
76-100	Xiamen University		72.5
101-150	California Institute of Technology		75.1
101-150	Carlos III University of Madrid		81.6
101-150	Catholic University of Louvain		93.7
101-150	Charles University in Prague		79.2
101-150	Copenhagen Business School		88.4
101-150	Delft University of Technology		79.3
101-150	Drexel University		86.3
101-150	Emory University		66.0
101-150	Georgia Institute of Technology		75.8
101-150	Georgia State University		67.4
101-150	Humboldt University of Berlin		78.1
101-150	KTH Royal Institute of Technology		70.8
101-150	Nanyang Technological University		87.4
101-150	Paris Institute of Political Studies		81.5
