1	University of Chicago	379.8	82.4
2	Harvard University	366.5	100.0
3	Massachusetts Institute of Technology (MIT)	340.3	86.4
4	University of California, Berkeley	321.2	87.1
5	Princeton University	308.2	64.3
6	Columbia University	304.5	75.8
7	Stanford University	300.1	83.6
8	London School of Economics and Political Science	287.3	95.3
9	New York University	283.4	68.8
10	Yale University	268.7	62.9
11	Northwestern University	250.3	69.6
12	University of Pennsylvania	232.4	71.7
13	University of California, Los Angeles	224.1	56.6
14	University of Cambridge	219.5	64.5
15	University of Oxford	215.6	83.0
16	University College London	205.0	69.4
17	Duke University	204.8	66.0
18	University of California, San Diego	202.4	47.6
19	University of Toronto	196.7	66.2
20	University of Maryland, College Park	196.0	60.4
21	Arizona State University	194.8	53.2
22	University of Toulouse 1	194.5	43.9
23	University of Michigan-Ann Arbor	192.0	65.3
24	Cornell University	190.5	69.4
25	University of Minnesota, Twin Cities	190.2	55.8
26	National University of Singapore	187.0	69.6
27	Bocconi University	185.5	60.3
28	Boston University	183.8	52.9
29	Carnegie Mellon University	180.1	45.9
30	The University of Texas at Austin	175.7	58.4
31	University of Warwick	175.2	58.0
32	University of Southern California	172.2	57.6
33	University of British Columbia	171.8	58.7
34	Erasmus University Rotterdam	168.9	72.5
35	University of Zurich	165.4	49.9
36	University of Wisconsin - Madison	162.9	54.7
37	University of Oslo	162.6	45.4
38	University of California, Davis	160.2	55.8
39	University of Bonn	158.9	41.0
40	Pompeu Fabra University	157.3	44.9
41	Washington University in St. Louis	156.6	36.1
42	Indiana University Bloomington	156.3	47.3
43	KU Leuven	155.1	55.9
44	The Ohio State University - Columbus	154.4	54.6
45	Vrije Universiteit Amsterdam	154.2	61.7
46	University of Copenhagen	154.0	56.3
47	Imperial College London	153.6	50.8
48	Johns Hopkins University	153.4	48.3
49	Stockholm University	153.1	46.6
50	University of Washington	152.6	53.9
51-75	Aarhus University		46.5
51-75	Barcelona Graduate School of Economics		39.5
51-75	Boston College		43.3
51-75	Brown University		38.0
51-75	Dartmouth College		39.5
51-75	ETH Zurich		59.9
51-75	George Mason University		34.8
51-75	London Business School		37.7
51-75	Monash University		61.4
51-75	Peking University		54.6
51-75	PSL University		44.9
51-75	Purdue University - West Lafayette		49.9
51-75	The Hebrew University of Jerusalem		33.1
51-75	The University of Hong Kong		50.1
51-75	The University of Melbourne		57.8
51-75	Tsinghua University		53.8
51-75	University of Amsterdam		50.1
51-75	University of California, Santa Barbara		34.0
51-75	University of Groningen		57.6
51-75	University of Illinois at Urbana-Champaign		53.2
51-75	University of Montreal		51.7
51-75	University of Munich		45.1
51-75	University of North Carolina at Chapel Hill		50.4
51-75	University of Sydney		62.2
51-75	University of York		52.4
76-100	Autonomous University of Barcelona		45.4
76-100	European University Institute		40.8
76-100	Georgetown University		43.9
76-100	Lund University		51.8
76-100	Maastricht University		48.3
76-100	McGill University		46.2
76-100	Michigan State University		51.9
76-100	Paris School of Economics		44.5
76-100	Pennsylvania State University - University Park		45.1
76-100	Queen Mary University of London		39.5
76-100	Texas A&M University		45.5
76-100	The Hong Kong University of Science and Technology		46.6
76-100	The University of Edinburgh		43.9
76-100	The University of Manchester		51.0
76-100	The University of New South Wales		52.9
76-100	The University of Sheffield		50.5
76-100	Tilburg University		48.8
76-100	University of Bristol		43.6
76-100	University of Leeds		58.2
76-100	University of Mannheim		37.8
76-100	University of Pittsburgh		38.0
76-100	University of Sussex		51.0
76-100	University of Virginia		41.6
76-100	Utrecht University		51.8
76-100	Xiamen University		47.0
101-150	California Institute of Technology		24.7
101-150	Carlos III University of Madrid		34.2
101-150	Catholic University of Louvain		35.5
101-150	Charles University in Prague		36.1
101-150	Copenhagen Business School		40.2
101-150	Delft University of Technology		46.8
101-150	Drexel University		33.9
101-150	Emory University		33.5
101-150	Georgia Institute of Technology		42.1
101-150	Georgia State University		39.2
101-150	Humboldt University of Berlin		38.0
101-150	KTH Royal Institute of Technology		39.7
101-150	Nanyang Technological University		41.3
101-150	Paris Institute of Political Studies		29.3
101-150	Paris-Saclay University		43.6
101-150	Renmin University of China		44.2
101-150	Rutgers, The State University of New Jersey - New Brunswick		39.2
101-150	Shanghai Jiao Tong University		42.7
101-150	Shanghai University of Finance and Economics		42.4
101-150	Simon Fraser University		34.8
101-150	Singapore Management University		33.9
101-150	Southwestern University of Finance and Economics		41.8
101-150	Stockholm School of Economics		34.0
101-150	Swiss Federal Institute of Technology Lausanne		35.2
101-150	Tel Aviv University		33.9
101-150	The Australian National University		51.4
101-150	The Chinese University of Hong Kong		39.7
101-150	The Hong Kong Polytechnic University		49.9
101-150	The University of Georgia		42.7
101-150	The University of Glasgow		42.2
101-150	The University of Queensland		46.6
101-150	Université libre de Bruxelles (ULB)		35.5
101-150	University of Arizona		37.7
101-150	University of California, Irvine		41.1
101-150	University of Cologne		40.3
101-150	University of Colorado at Boulder		37.7
101-150	University of East Anglia		39.0
101-150	University of Essex		39.0
101-150	University of Florida		44.2
101-150	University of Geneva		33.7
101-150	University of Goettingen		47.2
101-150	University of Gothenburg		46.9
101-150	University of Illinois at Chicago		37.7
101-150	University of Notre Dame		35.9
101-150	University of Nottingham		45.4
101-150	University of Rochester		27.7
101-150	University of Southampton		40.2
101-150	University of Technology Sydney		44.0
101-150	University of Utah		30.2
101-150	Uppsala University		34.2
101-150	Wageningen University & Research		48.8
151-200	Aalto University		32.9
151-200	American University		31.5
151-200	Beihang University		36.4
151-200	Beijing Institute of Technology		34.2
151-200	Beijing Jiaotong University		37.7
151-200	Central European University		24.7
151-200	City, University of London		40.8
151-200	City University of Hong Kong		35.7
151-200	Deakin University		35.4
151-200	Ghent University		40.7
151-200	Goethe University Frankfurt		35.5
151-200	HEC Paris		25.8
