1	University of Chicago	379.8	100.0
2	Harvard University	366.5	98.6
3	Massachusetts Institute of Technology (MIT)	340.3	86.6
4	University of California, Berkeley	321.2	78.8
5	Princeton University	308.2	73.9
6	Columbia University	304.5	70.7
7	Stanford University	300.1	90.3
8	London School of Economics and Political Science	287.3	66.7
9	New York University	283.4	69.7
10	Yale University	268.7	67.0
11	Northwestern University	250.3	72.6
12	University of Pennsylvania	232.4	70.4
13	University of California, Los Angeles	224.1	51.8
14	University of Cambridge	219.5	26.4
15	University of Oxford	215.6	40.3
16	University College London	205.0	51.4
17	Duke University	204.8	50.0
18	University of California, San Diego	202.4	44.6
19	University of Toronto	196.7	47.1
20	University of Maryland, College Park	196.0	28.9
21	Arizona State University	194.8	32.6
22	University of Toulouse 1	194.5	36.6
23	University of Michigan-Ann Arbor	192.0	40.3
24	Cornell University	190.5	36.0
25	University of Minnesota, Twin Cities	190.2	34.0
26	National University of Singapore	187.0	29.7
27	Bocconi University	185.5	43.0
28	Boston University	183.8	46.6
29	Carnegie Mellon University	180.1	38.5
30	The University of Texas at Austin	175.7	35.4
31	University of Warwick	175.2	39.7
32	University of Southern California	172.2	32.6
33	University of British Columbia	171.8	28.9
34	Erasmus University Rotterdam	168.9	15.2
35	University of Zurich	165.4	37.9
36	University of Wisconsin - Madison	162.9	37.3
37	University of Oslo	162.6	23.6
38	University of California, Davis	160.2	21.5
39	University of Bonn	158.9	28.9
40	Pompeu Fabra University	157.3	39.1
41	Washington University in St. Louis	156.6	30.4
42	Indiana University Bloomington	156.3	13.6
43	KU Leuven	155.1	25.5
44	The Ohio State University - Columbus	154.4	24.5
45	Vrije Universiteit Amsterdam	154.2	13.6
46	University of Copenhagen	154.0	21.5
47	Imperial College London	153.6	23.6
48	Johns Hopkins University	153.4	32.6
49	Stockholm University	153.1	31.2
50	University of Washington	152.6	18.0
51-75	Aarhus University		15.2
51-75	Barcelona Graduate School of Economics		37.9
51-75	Boston College		30.4
51-75	Brown University		37.3
51-75	Dartmouth College		33.3
51-75	ETH Zurich		11.8
51-75	George Mason University		11.8
51-75	London Business School		27.2
51-75	Monash University		9.6
51-75	Peking University		16.7
51-75	PSL University		13.6
51-75	Purdue University - West Lafayette		20.4
51-75	The Hebrew University of Jerusalem		22.6
51-75	The University of Hong Kong		19.2
51-75	The University of Melbourne		19.2
51-75	Tsinghua University		20.4
51-75	University of Amsterdam		18.0
51-75	University of California, Santa Barbara		23.6
51-75	University of Groningen		15.2
51-75	University of Illinois at Urbana-Champaign		20.4
51-75	University of Montreal		22.6
51-75	University of Munich		23.6
51-75	University of North Carolina at Chapel Hill		24.5
51-75	University of Sydney		11.8
51-75	University of York		13.6
76-100	Autonomous University of Barcelona		16.7
76-100	European University Institute		21.5
76-100	Georgetown University		26.4
76-100	Lund University		9.6
76-100	Maastricht University		18.0
76-100	McGill University		11.8
76-100	Michigan State University		9.6
76-100	Paris School of Economics		28.1
76-100	Pennsylvania State University - University Park		26.4
76-100	Queen Mary University of London		20.4
76-100	Texas A&M University		22.6
76-100	The Hong Kong University of Science and Technology		20.4
76-100	The University of Edinburgh		25.5
76-100	The University of Manchester		9.6
76-100	The University of New South Wales		16.7
76-100	The University of Sheffield		0.0
76-100	Tilburg University		18.0
76-100	University of Bristol		18.0
76-100	University of Leeds		0.0
76-100	University of Mannheim		31.2
76-100	University of Pittsburgh		27.2
76-100	University of Sussex		9.6
76-100	University of Virginia		28.1
76-100	Utrecht University		0.0
76-100	Xiamen University		13.6
101-150	California Institute of Technology		30.4
101-150	Carlos III University of Madrid		20.4
101-150	Catholic University of Louvain		15.2
101-150	Charles University in Prague		18.0
101-150	Copenhagen Business School		6.8
101-150	Delft University of Technology		0.0
101-150	Drexel University		11.8
101-150	Emory University		22.6
101-150	Georgia Institute of Technology		6.8
101-150	Georgia State University		11.8
101-150	Humboldt University of Berlin		18.0
101-150	KTH Royal Institute of Technology		6.8
101-150	Nanyang Technological University		6.8
101-150	Paris Institute of Political Studies		28.1
101-150	Paris-Saclay University		9.6
