1	Harvard University	280.7	
2	Michigan State University	263.7	
3	Vanderbilt University	254.0	
4	University of Michigan-Ann Arbor	252.7	
5	The University of Texas at Austin	245.8	
6	Stanford University	237.8	
7	University of Washington	235.6	
8	Utrecht University	228.7	
9	University of Wisconsin - Madison	226.2	
10	University of Toronto	225.3	
11	University of California, Irvine	221.9	
12	University of North Carolina at Chapel Hill	221.6	
13	University of Virginia	220.7	
14	New York University	217.5	
15	University of Pennsylvania	214.4	
16	University of Pittsburgh	212.2	
17	Columbia University	210.1	
18	Maastricht University	207.1	
19	The University of Hong Kong	206.7	
20	Pennsylvania State University - University Park	204.2	
21	The Ohio State University - Columbus	202.4	
22	Ghent University	201.8	
23	University College London	200.8	
24	University of Amsterdam	199.2	
25	University of Groningen	198.3	
26	University of Colorado at Boulder	197.2	
27	Arizona State University	196.9	
28	University of Southern California	196.5	
29	Northwestern University	196.3	
30	University of Missouri - Columbia	195.3	
31	Purdue University - West Lafayette	194.2	
32	University of California, Los Angeles	193.6	
33	University of Illinois at Chicago	193.3	
34	Vanderbilt University Peabody College	192.5	
35	Monash University	192.0	
36	University of Minnesota, Twin Cities	191.5	
37	Florida State University	191.1	
38	University of Maryland, College Park	190.2	
39	The Education University of Hong Kong	189.2	
40	University of Jyvaskyla	187.6	
41	Johns Hopkins University	186.4	
42	University of British Columbia	186.1	
43	University of Sydney	185.5	
44	Columbia University Teachers College	183.5	
45	Indiana University Bloomington	183.0	
46	Australian Catholic University	182.5	
47	University of California, Berkeley	181.3	
48	McGill University	181.2	
49	KU Leuven	180.8	
50	University of Illinois at Urbana-Champaign	180.2	
51-75	Boston College		
51-75	Deakin University		
51-75	Erasmus University Rotterdam		
51-75	Georgia State University		
51-75	Griffith University		
51-75	Nanyang Technological University		
51-75	National Taiwan Normal University		
51-75	North Carolina State University - Raleigh		
51-75	Open University Netherlands		
51-75	Radboud University Nijmegen		
51-75	Temple University		
51-75	The University of Auckland		
51-75	The University of Georgia		
51-75	The University of Melbourne		
51-75	The University of Queensland		
51-75	University of Arizona		
51-75	University of Delaware		
51-75	University of Florida		
51-75	University of Haifa		
51-75	University of Nebraska - Lincoln		
51-75	University of Oslo		
51-75	University of South Florida		
51-75	University of Twente		
51-75	Vrije Universiteit Amsterdam		
51-75	Western University		
76-100	Boston University		
76-100	Duke University		
76-100	Iowa State University		
76-100	King's College London		
76-100	Leiden University		
76-100	National Institute of Education (NIE) Singapore		
76-100	Queensland University of Technology		
76-100	Rutgers, The State University of New Jersey - New Brunswick		
76-100	The Chinese University of Hong Kong		
76-100	The University of Edinburgh		
76-100	The University of New South Wales		
76-100	University of California, Santa Barbara		
76-100	University of Cambridge		
76-100	University of Connecticut		
76-100	University of Helsinki		
76-100	University of Iowa		
76-100	University of Kansas		
76-100	University of Limerick		
76-100	University of Munich		
76-100	University of Oregon		
76-100	University of Ottawa		
76-100	University of Oulu		
76-100	University of Oxford		
76-100	University of Tuebingen		
76-100	Virginia Commonwealth University		
101-150	Beijing Normal University		
101-150	Brigham Young University		
101-150	Brown University		
101-150	Curtin University		
101-150	Eindhoven University of Technology		
101-150	Flinders University		
101-150	Free University Berlin		
101-150	George Mason University		
101-150	Macquarie University		
101-150	Mayo Clinic Alix School of Medicine		
101-150	Northern Illinois University		
101-150	Oregon State University		
101-150	Queen's University		
101-150	Tampere University		
101-150	Technion-Israel Institute of Technology		
101-150	Tel Aviv University		
101-150	Texas A&M University		
101-150	Texas Tech University		
101-150	The George Washington University		
101-150	The University of Alabama - Tuscaloosa		
101-150	The University of New Mexico - Albuquerque		
101-150	Tufts University		
101-150	University at Albany (State University of New York)		
101-150	University at Buffalo, the State University of New York		
101-150	University of Alberta		
101-150	University of Antwerp		
101-150	University of Birmingham		
101-150	University of California, Davis		
101-150	University of California, Riverside		
101-150	University of California, San Diego		
101-150	University of California, San Francisco		
101-150	University of Chicago		
101-150	University of Colorado at Denver		
101-150	University of Colorado Health Science Center		
101-150	University of Houston		
101-150	University of Kiel		
101-150	University of Macau		
101-150	University of Muenster		
101-150	University of Nevada-Las Vegas		
101-150	University of North Carolina at Charlotte		
101-150	University of North Carolina at Greensboro		
101-150	University of Otago		
101-150	University of South Australia		
101-150	University of South Carolina - Columbia		
101-150	University of Technology Sydney		
101-150	University of Turku		
101-150	University of Utah		
101-150	University of York		
101-150	Utah State University		
101-150	Yale University		
151-200	Auburn University		
151-200	Bar-Ilan University		
151-200	Ben-Gurion University of the Negev		
151-200	Cardiff University		
151-200	Concordia University		
151-200	East China Normal University		
151-200	Florida International University		
151-200	Goethe University Frankfurt		
151-200	Karolinska Institute		
151-200	Kent State University		
151-200	King Saud University		
151-200	Lancaster University		
151-200	Manchester Metropolitan University		
151-200	McMaster University		
151-200	Murdoch University		
151-200	National Cheng Kung University		
151-200	National Taiwan University of Science and Technology		
151-200	National Yang Ming Chiao Tung University		
151-200	Norwegian University of Science and Technology - NTNU		
151-200	Pontifical Catholic University of Chile		
151-200	Stockholm University		
151-200	The Hebrew University of Jerusalem		
151-200	The University of Calgary		
151-200	The University of Glasgow		
151-200	The University of Manchester		
151-200	The University of Newcastle, Australia		
151-200	Tilburg University		
151-200	Trinity College Dublin		
151-200	Uniformed Services University of the Health Sciences - USA		
151-200	University College Dublin		
151-200	University of Central Florida		
151-200	University of Cincinnati		
151-200	University of Cologne		
151-200	University of Duisburg-Essen		
151-200	University of Freiburg		
151-200	University of Gothenburg		
151-200	University of Hawaii at Manoa		
151-200	University of Leeds		
151-200	University of Louisville		
151-200	University of Nottingham		
151-200	University of Padua		
151-200	University of Potsdam		
151-200	University of Stavanger		
151-200	University of Tennessee - Knoxville		
151-200	University of Wollongong		
151-200	University of Wuppertal		
151-200	Victoria University of Wellington		
151-200	Vrije Universiteit Brussel (VUB)		
151-200	Washington State University		
151-200	West Virginia University		
201-300	Aarhus University		
201-300	Autonomous University of Madrid		
201-300	Boise State University		
201-300	Catholic University of Louvain		
201-300	Central China Normal University		
201-300	Clemson University		
201-300	Colorado State University		
201-300	Dalhousie University		
201-300	Durham University		
201-300	Edith Cowan University		
201-300	Elon University		
201-300	Emory University		
201-300	Ewha Womans University		
201-300	Heidelberg University		
201-300	Illinois State University		
201-300	Imperial College London		
201-300	Indiana University-Purdue University at Indianapolis		
201-300	James Cook University		
201-300	Korea University		
201-300	La Trobe University		
201-300	Linkoping University		
201-300	Liverpool John Moores University		
201-300	Loughborough University		
201-300	Loyola University Chicago		
201-300	Massey University		
201-300	Miami University-Oxford		
201-300	Middle East Technical University		
201-300	Montclair State University		
201-300	National Central University		
201-300	National Changhua University of Education		
201-300	National Sun Yat-Sen University		
201-300	Ohio University		
201-300	Old Dominion University		
201-300	Orebro University		
201-300	Pompeu Fabra University		
201-300	Portland State University		
201-300	Queen's University Belfast		
201-300	San Diego State University		
201-300	San Francisco State University		
201-300	Sheffield Hallam University		
201-300	Simon Fraser University		
201-300	Southern Methodist University		
201-300	Stony Brook University		
201-300	Syracuse University		
201-300	Technical University of Munich		
201-300	Texas State University-San Marcos		
201-300	The Open University		
201-300	The University of Adelaide		
201-300	The University of Memphis		
201-300	The University of Texas at San Antonio		
201-300	The University of Texas Health Science Center at Houston		
201-300	The University of Western Australia		
201-300	Tulane University		
201-300	Umea University		
201-300	University College Cork		
201-300	University College of Southeast Norway		
201-300	University of Aberdeen		
201-300	University of Alabama at Birmingham		
201-300	University of Arkansas at Fayetteville		
201-300	University of Barcelona		
201-300	University of Bristol		
201-300	University of California, Santa Cruz		
201-300	University of Cape Town		
201-300	University of Copenhagen		
201-300	University of Cyprus		
201-300	University of Denver		
201-300	University of Eastern Finland		
201-300	University of Geneva		
201-300	University of Johannesburg		
201-300	University of Kentucky		
201-300	University of Luxembourg		
201-300	University of Maine		
201-300	University of Manitoba		
201-300	University of Mannheim		
201-300	University of Massachusetts Amherst		
201-300	University of Massachusetts Boston		
201-300	University of Montreal		
201-300	University of New England		
201-300	University of New Hampshire		
201-300	University of North Texas		
201-300	University of Notre Dame		
201-300	University of Quebec Montreal		
201-300	University of Salamanca		
201-300	University of Seville		
201-300	University of Southampton		
201-300	University of Southern Denmark		
201-300	University of Stirling		
201-300	University of Tasmania		
201-300	University of the Basque Country		
201-300	University of Vermont		
201-300	University of Vienna		
201-300	University of Warwick		
201-300	Uppsala University		
201-300	Virginia Polytechnic Institute and State University		
201-300	Wageningen University & Research		
201-300	Wake Forest University		
201-300	Washington University in St. Louis		
201-300	Wayne State University		
201-300	Weizmann Institute of Science		
201-300	Western Sydney University		
201-300	Wright State University Dayton		
301-400	American University		
301-400	Ball State University		
301-400	Baylor College of Medicine		
301-400	Birkbeck, University of London		
301-400	Brock University		
301-400	California State University Los Angeles		
301-400	California State University, East Bay		
301-400	California State University-Fullerton		
301-400	California State University-Long Beach		
301-400	Case Western Reserve University		
301-400	Chung-Ang University		
301-400	Cornell University		
301-400	Coventry University		
301-400	Delft University of Technology		
301-400	Drexel University		
301-400	East Carolina University		
301-400	Edge Hill University		
301-400	ETH Zurich		
301-400	Georgetown University		
301-400	Hacettepe University		
301-400	Humboldt University of Berlin		
301-400	Kennesaw State University		
301-400	Leuphana University Luneburg		
301-400	Linnaeus University		
301-400	Louisiana State University - Baton Rouge		
301-400	Lund University		
301-400	Mahidol University		
301-400	Mary Immaculate College		
301-400	Masaryk University		
301-400	Massachusetts Institute of Technology (MIT)		
301-400	National University of Singapore		
301-400	National Yunlin University of Science and Technology		
301-400	Northern Arizona University		
301-400	Northumbria University		
301-400	Oakland University		
301-400	Oklahoma State University		
301-400	Oregon Health and Science University		
301-400	Oslo Metropolitan University		
301-400	Peking University		
301-400	Rice University		
301-400	RMIT University		
301-400	Rochester Institute of Technology		
301-400	Rowan University		
301-400	San Jose State University		
301-400	Seoul National University		
301-400	South China Normal University		
301-400	Southern Illinois University Carbondale		
301-400	Southwest University		
301-400	Sultan Qaboos University		
301-400	Tallinn University		
301-400	Technical University of Dortmund		
301-400	Texas Christian University		
301-400	The University of Dundee		
301-400	The University of Reading		
301-400	The University of Sheffield		
301-400	Universitat de Lleida		
301-400	University of Bath		
301-400	University of Bergen		
301-400	University of Bern		
301-400	University of Bochum		
301-400	University of Brighton		
301-400	University of Canberra		
301-400	University of Castilla–La Mancha		
301-400	University of Chile		
301-400	University of East Anglia		
301-400	Exeter University		
301-400	University of Granada		
301-400	University of Hamburg		
301-400	University of Hull		
301-400	University of La Laguna		
301-400	University of Leicester		
301-400	University of Lisbon		
301-400	University of Maryland, Baltimore		
301-400	University of Maryland, Baltimore County		
301-400	University of Miami		
301-400	University of Minho		
301-400	University of Mississippi		
301-400	University of Nebraska Medical Center		
301-400	University of North Dakota		
301-400	University of Oklahoma - Norman		
301-400	University of Oviedo		
