1	Harvard University	280.7	58.3
2	Michigan State University	263.7	47.7
3	Vanderbilt University	254.0	36.5
4	University of Michigan-Ann Arbor	252.7	47.9
5	The University of Texas at Austin	245.8	43.0
6	Stanford University	237.8	58.0
7	University of Washington	235.6	45.8
8	Utrecht University	228.7	72.5
9	University of Wisconsin - Madison	226.2	38.7
10	University of Toronto	225.3	65.8
11	University of California, Irvine	221.9	45.6
12	University of North Carolina at Chapel Hill	221.6	39.4
13	University of Virginia	220.7	33.4
14	New York University	217.5	47.8
15	University of Pennsylvania	214.4	38.5
16	University of Pittsburgh	212.2	47.7
17	Columbia University	210.1	47.1
18	Maastricht University	207.1	90.3
19	The University of Hong Kong	206.7	65.6
20	Pennsylvania State University - University Park	204.2	48.7
21	The Ohio State University - Columbus	202.4	47.4
22	Ghent University	201.8	79.9
23	University College London	200.8	60.3
24	University of Amsterdam	199.2	69.7
25	University of Groningen	198.3	67.2
26	University of Colorado at Boulder	197.2	38.4
27	Arizona State University	196.9	54.7
28	University of Southern California	196.5	50.3
29	Northwestern University	196.3	47.8
30	University of Missouri - Columbia	195.3	36.2
31	Purdue University - West Lafayette	194.2	43.0
32	University of California, Los Angeles	193.6	43.6
33	University of Illinois at Chicago	193.3	56.4
34	Vanderbilt University Peabody College	192.5	33.2
35	Monash University	192.0	63.5
36	University of Minnesota, Twin Cities	191.5	48.5
37	Florida State University	191.1	41.9
38	University of Maryland, College Park	190.2	48.4
39	The Education University of Hong Kong	189.2	58.3
40	University of Jyvaskyla	187.6	72.9
41	Johns Hopkins University	186.4	58.4
42	University of British Columbia	186.1	73.2
43	University of Sydney	185.5	62.8
44	Columbia University Teachers College	183.5	44.5
45	Indiana University Bloomington	183.0	52.1
46	Australian Catholic University	182.5	74.6
47	University of California, Berkeley	181.3	56.6
48	McGill University	181.2	82.5
49	KU Leuven	180.8	78.2
50	University of Illinois at Urbana-Champaign	180.2	42.8
51-75	Boston College		46.3
51-75	Deakin University		60.3
51-75	Erasmus University Rotterdam		75.7
51-75	Georgia State University		38.9
51-75	Griffith University		61.3
51-75	Nanyang Technological University		75.5
51-75	National Taiwan Normal University		58.9
51-75	North Carolina State University - Raleigh		45.4
51-75	Open University Netherlands		81.8
51-75	Radboud University Nijmegen		60.3
51-75	Temple University		41.8
51-75	The University of Auckland		74.0
51-75	The University of Georgia		38.1
51-75	The University of Melbourne		64.4
51-75	The University of Queensland		60.9
51-75	University of Arizona		45.6
51-75	University of Delaware		48.4
51-75	University of Florida		40.5
51-75	University of Haifa		52.1
51-75	University of Nebraska - Lincoln		44.1
51-75	University of Oslo		77.7
51-75	University of South Florida		44.3
51-75	University of Twente		72.2
51-75	Vrije Universiteit Amsterdam		68.3
51-75	Western University		70.1
76-100	Boston University		40.0
76-100	Duke University		51.3
76-100	Iowa State University		36.2
76-100	King's College London		63.4
76-100	Leiden University		69.5
76-100	National Institute of Education (NIE) Singapore		70.8
76-100	Queensland University of Technology		58.4
76-100	Rutgers, The State University of New Jersey - New Brunswick		48.7
76-100	The Chinese University of Hong Kong		61.3
76-100	The University of Edinburgh		61.5
76-100	The University of New South Wales		73.1
76-100	University of California, Santa Barbara		51.1
76-100	University of Cambridge		60.7
76-100	University of Connecticut		44.5
76-100	University of Helsinki		63.6
76-100	University of Iowa		46.0
76-100	University of Kansas		38.9
76-100	University of Limerick		72.9
76-100	University of Munich		74.8
76-100	University of Oregon		40.9
76-100	University of Ottawa		69.5
76-100	University of Oulu		69.7
76-100	University of Oxford		71.0
