1	Harvard University	280.7	100.0
2	Michigan State University	263.7	77.7
3	Vanderbilt University	254.0	85.4
4	University of Michigan-Ann Arbor	252.7	84.2
5	The University of Texas at Austin	245.8	75.7
6	Stanford University	237.8	73.2
7	University of Washington	235.6	73.0
8	Utrecht University	228.7	74.6
9	University of Wisconsin - Madison	226.2	73.2
10	University of Toronto	225.3	96.1
11	University of California, Irvine	221.9	59.8
12	University of North Carolina at Chapel Hill	221.6	71.8
13	University of Virginia	220.7	67.9
14	New York University	217.5	67.6
15	University of Pennsylvania	214.4	68.7
16	University of Pittsburgh	212.2	64.4
17	Columbia University	210.1	65.7
18	Maastricht University	207.1	84.1
19	The University of Hong Kong	206.7	69.4
20	Pennsylvania State University - University Park	204.2	61.2
21	The Ohio State University - Columbus	202.4	68.8
22	Ghent University	201.8	59.6
23	University College London	200.8	76.7
24	University of Amsterdam	199.2	64.6
25	University of Groningen	198.3	65.9
26	University of Colorado at Boulder	197.2	53.2
27	Arizona State University	196.9	61.0
28	University of Southern California	196.5	55.2
29	Northwestern University	196.3	57.9
30	University of Missouri - Columbia	195.3	56.8
31	Purdue University - West Lafayette	194.2	61.6
32	University of California, Los Angeles	193.6	62.6
33	University of Illinois at Chicago	193.3	67.9
34	Vanderbilt University Peabody College	192.5	50.1
35	Monash University	192.0	70.8
36	University of Minnesota, Twin Cities	191.5	72.4
37	Florida State University	191.1	58.9
38	University of Maryland, College Park	190.2	57.0
39	The Education University of Hong Kong	189.2	60.0
40	University of Jyvaskyla	187.6	47.0
41	Johns Hopkins University	186.4	67.4
42	University of British Columbia	186.1	74.4
43	University of Sydney	185.5	68.1
44	Columbia University Teachers College	183.5	52.2
45	Indiana University Bloomington	183.0	60.2
46	Australian Catholic University	182.5	52.2
47	University of California, Berkeley	181.3	47.0
48	McGill University	181.2	64.0
49	KU Leuven	180.8	54.1
50	University of Illinois at Urbana-Champaign	180.2	59.2
51-75	Boston College		40.5
51-75	Deakin University		59.8
51-75	Erasmus University Rotterdam		54.3
51-75	Georgia State University		52.5
51-75	Griffith University		56.4
51-75	Nanyang Technological University		51.8
51-75	National Taiwan Normal University		59.8
51-75	North Carolina State University - Raleigh		46.5
51-75	Open University Netherlands		47.3
51-75	Radboud University Nijmegen		65.5
51-75	Temple University		47.5
51-75	The University of Auckland		51.8
51-75	The University of Georgia		57.4
51-75	The University of Melbourne		59.4
51-75	The University of Queensland		63.8
51-75	University of Arizona		53.0
51-75	University of Delaware		45.1
51-75	University of Florida		58.3
51-75	University of Haifa		48.6
51-75	University of Nebraska - Lincoln		45.9
51-75	University of Oslo		55.9
51-75	University of South Florida		53.0
51-75	University of Twente		40.2
51-75	Vrije Universiteit Amsterdam		58.9
51-75	Western University		61.8
76-100	Boston University		43.4
76-100	Duke University		51.3
76-100	Iowa State University		44.6
76-100	King's College London		49.3
76-100	Leiden University		49.1
76-100	National Institute of Education (NIE) Singapore		42.6
76-100	Queensland University of Technology		47.3
76-100	Rutgers, The State University of New Jersey - New Brunswick		46.2
76-100	The Chinese University of Hong Kong		47.3
76-100	The University of Edinburgh		54.1
76-100	The University of New South Wales		48.6
76-100	University of California, Santa Barbara		38.9
76-100	University of Cambridge		49.6
76-100	University of Connecticut		50.3
76-100	University of Helsinki		46.2
76-100	University of Iowa		47.8
76-100	University of Kansas		55.9
76-100	University of Limerick		42.9
76-100	University of Munich		42.0
76-100	University of Oregon		45.9
76-100	University of Ottawa		59.6
76-100	University of Oulu		36.6
76-100	University of Oxford		52.0
76-100	University of Tuebingen		48.0
76-100	Virginia Commonwealth University		49.6
101-150	Beijing Normal University		43.7
101-150	Brigham Young University		39.9
101-150	Brown University		41.1
101-150	Curtin University		44.6
101-150	Eindhoven University of Technology		24.4
101-150	Flinders University		43.4
101-150	Free University Berlin		33.4
101-150	George Mason University		42.3
101-150	Macquarie University		49.8
101-150	Mayo Clinic Alix School of Medicine		53.0
101-150	Northern Illinois University		34.5
101-150	Oregon State University		37.9
101-150	Queen's University		41.1
101-150	Tampere University		33.8
101-150	Technion-Israel Institute of Technology		30.7
101-150	Tel Aviv University		39.9
101-150	Texas A&M University		42.6
101-150	Texas Tech University		34.9
101-150	The George Washington University		42.3
101-150	The University of Alabama - Tuscaloosa		42.6
101-150	The University of New Mexico - Albuquerque		40.5
101-150	Tufts University		40.8
101-150	University at Albany (State University of New York)		35.2
101-150	University at Buffalo, the State University of New York		36.3
101-150	University of Alberta		53.7
101-150	University of Antwerp		31.9
101-150	University of Birmingham		46.5
101-150	University of California, Davis		53.0
101-150	University of California, Riverside		35.6
101-150	University of California, San Diego		37.9
101-150	University of California, San Francisco		65.5
101-150	University of Chicago		41.4
101-150	University of Colorado at Denver		34.9
101-150	University of Colorado Health Science Center		48.6
101-150	University of Houston		40.5
101-150	University of Kiel		28.6
101-150	University of Macau		32.3
101-150	University of Muenster		31.9
101-150	University of Nevada-Las Vegas		33.0
101-150	University of North Carolina at Charlotte		39.2
101-150	University of North Carolina at Greensboro		35.6
