1	Massachusetts Institute of Technology (MIT)	329.6	79.6
2	Stanford University	310.6	84.8
3	University of California, Berkeley	310.0	85.0
4	Georgia Institute of Technology	270.2	79.1
5	University of Illinois at Urbana-Champaign	247.3	74.1
6	Princeton University	246.5	98.2
7	Tsinghua University	242.0	79.6
8	Nanyang Technological University	237.3	85.2
9	North Carolina State University - Raleigh	223.9	78.6
10	University of California, Santa Barbara	222.6	77.3
11	Harvard University	217.7	81.5
12	Harbin Institute of Technology	215.8	83.4
13	Aalborg University	213.7	98.0
14	National University of Singapore	212.0	92.7
15	Carnegie Mellon University	209.7	85.8
16	ETH Zurich	208.3	87.0
17	Southeast University	207.1	80.3
18	Zhejiang University	202.5	75.0
19	Technical University of Munich	201.4	82.7
20	Rutgers, The State University of New Jersey - New Brunswick	201.0	90.7
21	Swiss Federal Institute of Technology Lausanne	200.8	74.6
22	California Institute of Technology	200.2	81.1
22	University of Waterloo	200.2	84.5
24	Virginia Polytechnic Institute and State University	200.1	86.0
25	University of Michigan-Ann Arbor	199.8	73.0
26	Shanghai Jiao Tong University	199.7	72.7
27	Huazhong University of Science and Technology	199.3	77.1
28	University of Electronic Science and Technology of China	198.8	70.6
29	Imperial College London	198.0	82.9
30	University of Maryland, College Park	195.4	83.3
31	Columbia University	194.7	87.5
32	Lancaster University	193.7	100.0
33	Texas A&M University	193.6	72.9
34	University of California, San Diego	193.5	74.5
35	University of California, Los Angeles	193.3	75.2
36	University of Southampton	192.6	78.1
36	Xidian University	192.6	71.8
38	The University of New South Wales	192.0	89.4
39	University College London	190.9	95.1
40	The University of Texas at Austin	190.4	91.4
41	Wuhan University	189.9	75.8
42	Beihang University	189.7	74.9
43	KTH Royal Institute of Technology	189.4	74.7
43	University of Toronto	189.4	76.5
45	University of Iceland	189.3	100.0
46	Sun Yat-sen University	187.7	80.1
47	Purdue University - West Lafayette	187.6	74.1
48	King Abdulaziz University	185.1	93.5
49	University of Pennsylvania	184.7	82.5
50	The Ohio State University - Columbus	184.4	76.4
51-75	Beijing University of Posts and Telecommunications		72.4
51-75	Boston University		81.1
51-75	Chalmers University of Technology		79.7
51-75	City University of Hong Kong		85.4
51-75	Dalian University of Technology		83.2
51-75	Illinois Institute of Technology		95.0
51-75	Johns Hopkins University		93.4
51-75	King's College London		100.0
51-75	Lund University		74.5
51-75	New York University		94.7
51-75	Northwestern Polytechnical University		80.1
51-75	Paris-Saclay University		73.8
51-75	Peking University		77.6
51-75	Queen Mary University of London		100.0
51-75	South China University of Technology		78.6
51-75	The Chinese University of Hong Kong		88.2
51-75	The University of Edinburgh		83.5
51-75	The University of Manchester		81.1
51-75	University of British Columbia		90.6
51-75	University of Cambridge		74.7
51-75	University of Chicago		85.6
51-75	University of Minnesota, Twin Cities		77.0
51-75	University of Southern California		83.8
51-75	University of Tennessee - Knoxville		80.9
51-75	Xi'an Jiaotong University		72.2
76-100	Arizona State University		75.6
76-100	Beijing Jiaotong University		78.2
76-100	Carleton University		93.3
76-100	Guangdong University of Technology		88.6
76-100	Hunan University		82.0
76-100	Korea University		66.4
76-100	Linkoping University		89.6
76-100	Nanjing University of Information Science & Technology		91.9
76-100	Shenzhen University		76.3
76-100	Technical University of Berlin		77.8
76-100	The Australian National University		94.3
76-100	The University of Adelaide		100.0
76-100	The University of Melbourne		76.2
76-100	Université Grenoble Alpes		62.7
76-100	University of Bologna		70.5
76-100	University of California, Davis		78.3
76-100	University of Houston		84.0
76-100	University of Oulu		81.2
76-100	University of Padua		76.1
76-100	University of Seville		79.6
76-100	University of Surrey		79.8
76-100	University of Sydney		98.3
76-100	University of Technology Sydney		94.6
76-100	University of Warwick		81.8
76-100	University of Zurich		99.1
101-150	Aalto University		77.1
101-150	Beijing Institute of Technology		76.2
101-150	Cornell University		75.8
101-150	Delft University of Technology		68.8
