1	Massachusetts Institute of Technology (MIT)	329.6	54.0
2	Stanford University	310.6	43.2
3	University of California, Berkeley	310.0	45.2
4	Georgia Institute of Technology	270.2	54.0
5	University of Illinois at Urbana-Champaign	247.3	45.3
6	Princeton University	246.5	37.8
7	Tsinghua University	242.0	100.0
8	Nanyang Technological University	237.3	81.4
9	North Carolina State University - Raleigh	223.9	33.5
10	University of California, Santa Barbara	222.6	31.5
11	Harvard University	217.7	33.1
12	Harbin Institute of Technology	215.8	83.1
13	Aalborg University	213.7	60.5
14	National University of Singapore	212.0	60.3
15	Carnegie Mellon University	209.7	35.9
16	ETH Zurich	208.3	45.0
17	Southeast University	207.1	88.2
18	Zhejiang University	202.5	82.5
19	Technical University of Munich	201.4	43.6
20	Rutgers, The State University of New Jersey - New Brunswick	201.0	27.4
21	Swiss Federal Institute of Technology Lausanne	200.8	41.7
22	California Institute of Technology	200.2	40.0
22	University of Waterloo	200.2	53.1
24	Virginia Polytechnic Institute and State University	200.1	47.1
25	University of Michigan-Ann Arbor	199.8	50.9
26	Shanghai Jiao Tong University	199.7	77.1
27	Huazhong University of Science and Technology	199.3	78.1
28	University of Electronic Science and Technology of China	198.8	90.0
29	Imperial College London	198.0	52.5
30	University of Maryland, College Park	195.4	44.5
31	Columbia University	194.7	35.5
32	Lancaster University	193.7	33.5
33	Texas A&M University	193.6	40.4
34	University of California, San Diego	193.5	42.3
35	University of California, Los Angeles	193.3	41.1
36	University of Southampton	192.6	48.2
36	Xidian University	192.6	91.6
38	The University of New South Wales	192.0	53.2
39	University College London	190.9	41.2
40	The University of Texas at Austin	190.4	43.0
41	Wuhan University	189.9	70.6
42	Beihang University	189.7	76.8
43	KTH Royal Institute of Technology	189.4	51.4
43	University of Toronto	189.4	44.8
45	University of Iceland	189.3	20.3
46	Sun Yat-sen University	187.7	54.3
47	Purdue University - West Lafayette	187.6	44.3
48	King Abdulaziz University	185.1	45.5
49	University of Pennsylvania	184.7	23.1
50	The Ohio State University - Columbus	184.4	41.0
51-75	Beijing University of Posts and Telecommunications		75.1
51-75	Boston University		25.9
51-75	Chalmers University of Technology		39.5
51-75	City University of Hong Kong		64.4
51-75	Dalian University of Technology		54.3
51-75	Illinois Institute of Technology		35.2
51-75	Johns Hopkins University		26.9
51-75	King's College London		30.4
51-75	Lund University		27.3
51-75	New York University		32.4
51-75	Northwestern Polytechnical University		63.6
51-75	Paris-Saclay University		49.8
51-75	Peking University		56.3
51-75	Queen Mary University of London		34.6
51-75	South China University of Technology		62.0
51-75	The Chinese University of Hong Kong		50.8
51-75	The University of Edinburgh		36.0
51-75	The University of Manchester		43.0
51-75	University of British Columbia		52.0
51-75	University of Cambridge		34.3
51-75	University of Chicago		29.9
51-75	University of Minnesota, Twin Cities		38.4
51-75	University of Southern California		37.0
51-75	University of Tennessee - Knoxville		33.8
51-75	Xi'an Jiaotong University		66.5
76-100	Arizona State University		40.1
76-100	Beijing Jiaotong University		59.9
76-100	Carleton University		34.3
76-100	Guangdong University of Technology		43.2
76-100	Hunan University		47.7
76-100	Korea University		42.5
76-100	Linkoping University		28.8
76-100	Nanjing University of Information Science & Technology		38.4
76-100	Shenzhen University		57.0
76-100	Technical University of Berlin		29.4
76-100	The Australian National University		36.4
76-100	The University of Adelaide		36.3
76-100	The University of Melbourne		35.5
76-100	Université Grenoble Alpes		39.1
76-100	University of Bologna		31.2
76-100	University of California, Davis		32.8
76-100	University of Houston		37.7
76-100	University of Oulu		31.3
76-100	University of Padua		35.6
76-100	University of Seville		30.6
76-100	University of Surrey		35.5
76-100	University of Sydney		50.4
76-100	University of Technology Sydney		56.5
76-100	University of Warwick		30.2
76-100	University of Zurich		20.6
101-150	Aalto University		41.9
101-150	Beijing Institute of Technology		66.7
101-150	Cornell University		27.6
101-150	Delft University of Technology		47.8
101-150	East China University of Science and Technology		23.3
101-150	Fudan University		39.8
101-150	Ghent University		36.0
101-150	KU Leuven		38.7
101-150	Lehigh University		18.9
101-150	Lulea University of Technology		19.9
101-150	McGill University		35.4
101-150	Nanjing University of Posts and Telecommunications		52.4
101-150	National University of Defense Technology		64.2
101-150	Norwegian University of Science and Technology - NTNU		33.0
101-150	Polytechnic University of Catalonia		45.4
101-150	Polytechnic University of Milan		41.8
101-150	Polytechnic University of Turin		35.8
101-150	Queen's University		27.0
101-150	Qufu Normal University		24.2
101-150	RMIT University		33.4
101-150	RWTH Aachen University		27.7
101-150	Ryerson University		33.5
101-150	Shandong University		50.0
101-150	Temple University		28.8
101-150	Texas A and M University at Qatar		27.9
101-150	The Hong Kong Polytechnic University		57.7
101-150	The University of Glasgow		26.4
101-150	The University of Hong Kong		47.9
101-150	The University of Sheffield		38.3
101-150	TU Dresden		26.3
101-150	Universidad Tecnica Federico Santa Maria		20.3
101-150	University at Buffalo, the State University of New York		27.7
101-150	University of Arizona		28.1
101-150	University of California, Riverside		26.4
101-150	University of Connecticut		22.9
101-150	University of Extremadura		21.8
101-150	University of Florida		38.5
101-150	University of Lisbon		37.9
101-150	University of Massachusetts Amherst		21.3
101-150	University of Nebraska - Lincoln		25.6
101-150	University of Nottingham		30.1
101-150	University of Oxford		33.0
101-150	University of Science and Technology Beijing		41.5
101-150	University of Science and Technology of China		55.1
101-150	University of Trento		29.9
101-150	University of Valencia		23.3
101-150	University of Washington		34.3
101-150	Vienna University of Technology		28.0
101-150	Wayne State University		22.0
101-150	Western University		30.0
151-200	Aristotle University of Thessaloniki		29.9
151-200	Brunel University		27.1
151-200	Carlos III University of Madrid		33.3
151-200	Central South University		49.6
151-200	Chongqing University		57.0
151-200	Hong Kong Baptist University		19.6
151-200	Korea Advanced Institute of Science and Technology		53.4
151-200	Kyung Hee University		35.5
151-200	Michigan State University		31.8
151-200	Missouri University of Science and Technology		27.0
151-200	Nanjing University of Science and Technology		58.0
151-200	National Taiwan University		43.0
151-200	National Yang Ming Chiao Tung University		46.3
151-200	New Jersey Institute of Technology		29.7
151-200	Northeastern University (Shenyang)		55.2
151-200	Northumbria University		27.1
151-200	Pennsylvania State University - University Park		28.8
151-200	Rensselaer Polytechnic Institute		26.6
