1	Tsinghua University	278.9	
2	Nanyang Technological University	264.9	
3	Massachusetts Institute of Technology (MIT)	255.6	
4	Stanford University	254.7	
5	Swiss Federal Institute of Technology Lausanne	247.7	
6	Huazhong University of Science and Technology	244.1	
7	South China University of Technology	242.7	
8	University of Science and Technology of China	241.5	
9	Peking University	240.1	
10	Xi'an Jiaotong University	237.1	
11	Georgia Institute of Technology	235.0	
12	University of Chicago	234.6	
13	King Abdullah University of Science and Technology	232.0	
14	Tianjin University	229.9	
15	Ulsan National Institute of Science and Technology	227.3	
16	National University of Singapore	225.2	
17	The University of Texas at Austin	224.6	
18	Northwestern University	224.3	
19	Shanghai Jiao Tong University	223.0	
20	University of Wollongong	222.3	
21	Zhejiang University	221.6	
22	University of California, Berkeley	219.9	
23	Soochow University (China)	218.8	
24	The Hong Kong University of Science and Technology	217.2	
25	Imperial College London	215.9	
26	Wuhan University of Technology	214.2	
27	Harbin Institute of Technology	210.9	
28	Karlsruhe Institute of Technology (KIT)	210.1	
29	City University of Hong Kong	210.0	
30	University of Oxford	208.6	
31	The University of New South Wales	207.0	
32	University of Cambridge	206.8	
33	Seoul National University	206.1	
34	University of Maryland, College Park	205.3	
35	Fudan University	204.6	
36	Sungkyunkwan University	202.7	
37	Monash University	201.6	
38	Beihang University	201.0	
38	Korea Advanced Institute of Science and Technology	201.0	
40	Dalian University of Technology	199.0	
41	Beijing Institute of Technology	197.2	
41	Nanjing University	197.2	
43	Nankai University	196.0	
44	University of Washington	194.7	
45	Hanyang University	194.4	
46	King Abdulaziz University	194.2	
46	University of Erlangen-Nuremberg	194.2	
48	Central South University	193.5	
49	Technical University of Denmark	192.7	
50	Pohang University of Science and Technology	191.9	
51-75	Beijing University of Chemical Technology		
51-75	California Institute of Technology		
51-75	Chongqing University		
51-75	ETH Zurich		
51-75	Hunan University		
51-75	Jilin University		
51-75	Korea University		
51-75	KTH Royal Institute of Technology		
51-75	North Carolina State University - Raleigh		
51-75	Shandong University		
51-75	Shenzhen University		
51-75	Southern University of Science and Technology		
51-75	Sun Yat-sen University		
51-75	The Chinese University of Hong Kong		
51-75	The Hong Kong Polytechnic University		
51-75	The University of Queensland		
51-75	Tongji University		
51-75	University of Electronic Science and Technology of China		
51-75	University of Michigan-Ann Arbor		
51-75	University of Nebraska - Lincoln		
51-75	University of Science and Technology Beijing		
51-75	University of Technology Sydney		
51-75	University of Waterloo		
51-75	Wuhan University		
51-75	Xiamen University		
76-100	Cornell University		
76-100	Delft University of Technology		
76-100	Eindhoven University of Technology		
76-100	Griffith University		
76-100	Harvard University		
76-100	Jiangsu University		
76-100	NanJing Tech University		
76-100	National Taiwan University		
76-100	Pennsylvania State University - University Park		
76-100	Princeton University		
76-100	Qingdao University		
76-100	Shaanxi Normal University		
76-100	Shanghai University		
76-100	Technical University of Berlin		
76-100	The Australian National University		
76-100	The University of Adelaide		
76-100	TU Dresden		
76-100	University College London		
76-100	University of California, Los Angeles		
76-100	University of California, San Diego		
76-100	University of Illinois at Urbana-Champaign		
76-100	University of Toronto		
76-100	Uppsala University		
76-100	Yonsei University		
76-100	Zhengzhou University		
101-150	Aalto University		
101-150	Beijing University of Technology		
101-150	Cardiff University		
101-150	Chalmers University of Technology		
101-150	China University of Petroleum (Beijing)		
101-150	China University of Petroleum (Huadong)		
101-150	Colorado School of Mines		
101-150	Curtin University		
101-150	Dongguk University		
101-150	Donghua University		
101-150	East China Normal University		
101-150	East China University of Science and Technology		
101-150	Guangdong University of Technology		
101-150	Islamic Azad University		
101-150	Jinan University		
101-150	KU Leuven		
101-150	Kyoto University		
101-150	Kyung Hee University		
101-150	Linkoping University		
101-150	Lund University		
101-150	Nanchang University		
101-150	Nanjing University of Science and Technology		
101-150	North China Electric Power University		
101-150	Northwestern Polytechnical University		
101-150	Ocean University of China		
101-150	Paris-Saclay University		
101-150	Polytechnic University of Milan		
101-150	Purdue University - West Lafayette		
101-150	Pusan National University		
101-150	Qingdao University of Science and Technology		
101-150	Quaid-i-Azam University		
101-150	Rice University		
101-150	RWTH Aachen University		
101-150	Sichuan University		
101-150	Sorbonne University		
101-150	Technical University of Munich		
101-150	Texas A&M University		
101-150	The University of Hong Kong		
101-150	The University of Tokyo		
101-150	Tohoku University		
101-150	University of Central Florida		
101-150	University of Groningen		
101-150	University of Houston		
101-150	University of Jinan		
101-150	University of Lisbon		
101-150	University of Minnesota, Twin Cities		
101-150	University of Naples Federico II		
101-150	University of Tennessee - Knoxville		
101-150	University of Wisconsin - Madison		
101-150	Western University		
151-200	Aalborg University		
151-200	Aarhus University		
151-200	Arizona State University		
151-200	Autonomous University of Barcelona		
151-200	Babol Noshirvani University of Technology		
151-200	China University of Mining and Technology (Xuzhou)		
151-200	Chonnam National University		
151-200	Columbia University		
151-200	Fuzhou University		
151-200	Ghent University		
151-200	Guangxi University		
151-200	Hefei University of Technology		
151-200	Kyushu University		
151-200	Lanzhou University		
151-200	Nanjing Normal University		
151-200	Nanjing University of Aeronautics and Astronautics		
151-200	Newcastle University		
151-200	Polytechnic University of Turin		
151-200	Queensland University of Technology		
151-200	Sejong University		
151-200	Southeast University		
151-200	Technical University Darmstadt		
151-200	The Ohio State University - Columbus		
151-200	The University of Manchester		
151-200	The University of Melbourne		
151-200	The University of Sheffield		
151-200	Tokyo Institute of Technology		
151-200	Ton Duc Thang University		
151-200	Université Grenoble Alpes		
151-200	University of Alberta		
151-200	University of Bath		
151-200	University of Colorado at Boulder		
151-200	University of Connecticut		
151-200	University of Freiburg		
151-200	University of Liverpool		
151-200	University of Malaya		
151-200	University of Montpellier		
151-200	University of Nottingham		
151-200	University of Padua		
151-200	University of Roma - Tor Vergata		
151-200	University of Saskatchewan		
151-200	University of Seville		
151-200	University of South Carolina - Columbia		
151-200	University of Sydney		
151-200	University of Tehran		
151-200	University of Tsukuba		
151-200	Utrecht University		
151-200	Virginia Polytechnic Institute and State University		
151-200	Wageningen University & Research		
151-200	Zhejiang University of Technology		
201-300	Academy of Scientific and Innovative Research (AcSIR)		
201-300	Aix Marseille University		
201-300	Beijing Jiaotong University		
201-300	Beijing Normal University		
201-300	Ben-Gurion University of the Negev		
201-300	Carlos III University of Madrid		
201-300	Carnegie Mellon University		
201-300	China Agricultural University		
201-300	China University of Geosciences (Beijing)		
201-300	China University of Geosciences (Wuhan)		
201-300	Complutense University of Madrid		
201-300	COMSATS University Islamabad		
201-300	Cranfield University		
201-300	Deakin University		
201-300	Ferdowsi University of Mashhad		
201-300	Harbin Engineering University		
201-300	Hubei University		
201-300	Indian Institute of Technology Bombay		
201-300	INHA University		
201-300	Iowa State University		
201-300	Isfahan University of Technology		
201-300	Jeonbuk National University		
201-300	Jiangsu University of Science and Technology		
201-300	Khalifa University		
201-300	King Fahd University of Petroleum & Minerals		
201-300	King Mongkut's University of Technology Thonburi		
201-300	King Saud University		
201-300	Kunming University of Science and Technology		
201-300	Kyungpook National University		
201-300	Laval University		
201-300	McGill University		
201-300	Michigan State University		
201-300	Nanjing Forestry University		
201-300	National Cheng Kung University		
201-300	National Polytechnic Institute of Toulouse		
201-300	National Technical University of Athens		
201-300	National Tsing Hua University		
201-300	National Yang Ming Chiao Tung University		
201-300	Ningbo University		
201-300	Northeastern University (Shenyang)		
201-300	Northwest A&F University		
201-300	Norwegian University of Science and Technology - NTNU		
201-300	Oregon State University		
201-300	Paul Sabatier University (Toulouse 3)		
201-300	Polytechnic University of Catalonia		
201-300	Polytechnic University of Madrid		
201-300	Polytechnic University of Valencia		
201-300	PSL University		
201-300	Qatar University		
201-300	Queen's University Belfast		
201-300	Rensselaer Polytechnic Institute		
201-300	RMIT University		
201-300	Sapienza University of Rome		
201-300	Shandong University of Science and Technology		
201-300	Shanghai University of Electric Power		
201-300	Sharif University of Technology		
201-300	Southwest University of Science and Technology		
201-300	Tarbiat Modares University		
201-300	Technion-Israel Institute of Technology		
201-300	The University of Calgary		
201-300	The University of Edinburgh		
201-300	The University of Newcastle, Australia		
201-300	The University of Western Australia		
201-300	Universiti Malaysia Pahang		
201-300	Universiti Teknologi Malaysia		
201-300	University College Cork		
201-300	University of Barcelona		
201-300	University of Birmingham		
201-300	University of Bochum		
201-300	University of Bordeaux		
201-300	University of British Columbia		
201-300	University of California, Davis		
201-300	University of California, Irvine		
201-300	University of Catania		
201-300	University of Duisburg-Essen		
201-300	University of Florida		
201-300	University of Kentucky		
201-300	University of Leeds		
201-300	University of Lorraine		
201-300	University of Milano-Bicocca		
201-300	University of Nantes		
201-300	University of Pittsburgh		
201-300	University of Porto		
201-300	University of Sao Paulo		
201-300	University of Southampton		
201-300	University of Stuttgart		
201-300	University of Surrey		
201-300	University of Tabriz		
201-300	University of the Basque Country		
201-300	University of Twente		
201-300	University of Warwick		
201-300	University of York		
201-300	University Rovira i Virgili		
201-300	Vanderbilt University		
201-300	Vienna University of Technology		
201-300	Washington State University		
201-300	Xiangtan University		
201-300	Yale University		
201-300	Yangzhou University		
201-300	Yeungnam University		
301-400	AGH University of Science and Technology		
301-400	Amirkabir University of Technology		
