1	Tsinghua University	278.9	73.6
2	Nanyang Technological University	264.9	93.6
3	Massachusetts Institute of Technology (MIT)	255.6	86.1
4	Stanford University	254.7	94.8
5	Swiss Federal Institute of Technology Lausanne	247.7	96.4
6	Huazhong University of Science and Technology	244.1	77.8
7	South China University of Technology	242.7	81.7
8	University of Science and Technology of China	241.5	74.3
9	Peking University	240.1	80.5
10	Xi'an Jiaotong University	237.1	71.9
11	Georgia Institute of Technology	235.0	76.5
12	University of Chicago	234.6	80.2
13	King Abdullah University of Science and Technology	232.0	85.4
14	Tianjin University	229.9	71.6
15	Ulsan National Institute of Science and Technology	227.3	85.0
16	National University of Singapore	225.2	84.3
17	The University of Texas at Austin	224.6	78.4
18	Northwestern University	224.3	100.0
19	Shanghai Jiao Tong University	223.0	72.2
20	University of Wollongong	222.3	100.0
21	Zhejiang University	221.6	71.1
22	University of California, Berkeley	219.9	76.6
23	Soochow University (China)	218.8	89.9
24	The Hong Kong University of Science and Technology	217.2	100.0
25	Imperial College London	215.9	75.3
26	Wuhan University of Technology	214.2	83.9
27	Harbin Institute of Technology	210.9	69.7
28	Karlsruhe Institute of Technology (KIT)	210.1	71.6
29	City University of Hong Kong	210.0	88.1
30	University of Oxford	208.6	87.5
31	The University of New South Wales	207.0	82.5
32	University of Cambridge	206.8	78.0
33	Seoul National University	206.1	69.1
34	University of Maryland, College Park	205.3	83.5
35	Fudan University	204.6	85.6
36	Sungkyunkwan University	202.7	85.1
37	Monash University	201.6	80.5
38	Beihang University	201.0	71.0
38	Korea Advanced Institute of Science and Technology	201.0	68.3
40	Dalian University of Technology	199.0	71.3
41	Beijing Institute of Technology	197.2	77.2
41	Nanjing University	197.2	85.4
43	Nankai University	196.0	91.4
44	University of Washington	194.7	88.9
45	Hanyang University	194.4	73.9
46	King Abdulaziz University	194.2	91.6
46	University of Erlangen-Nuremberg	194.2	74.1
48	Central South University	193.5	87.6
49	Technical University of Denmark	192.7	68.9
50	Pohang University of Science and Technology	191.9	73.3
51-75	Beijing University of Chemical Technology		75.5
51-75	California Institute of Technology		80.2
51-75	Chongqing University		71.6
51-75	ETH Zurich		77.4
51-75	Hunan University		88.5
51-75	Jilin University		71.4
51-75	Korea University		69.3
51-75	KTH Royal Institute of Technology		69.0
51-75	North Carolina State University - Raleigh		79.1
51-75	Shandong University		75.3
51-75	Shenzhen University		86.1
51-75	Southern University of Science and Technology		93.5
51-75	Sun Yat-sen University		84.0
51-75	The Chinese University of Hong Kong		100.0
51-75	The Hong Kong Polytechnic University		78.0
