1	Tsinghua University	278.9	56.2
2	Nanyang Technological University	264.9	89.3
3	Massachusetts Institute of Technology (MIT)	255.6	80.1
4	Stanford University	254.7	76.1
5	Swiss Federal Institute of Technology Lausanne	247.7	87.2
6	Huazhong University of Science and Technology	244.1	51.9
7	South China University of Technology	242.7	50.1
8	University of Science and Technology of China	241.5	49.8
9	Peking University	240.1	57.5
10	Xi'an Jiaotong University	237.1	49.3
11	Georgia Institute of Technology	235.0	74.3
12	University of Chicago	234.6	71.0
13	King Abdullah University of Science and Technology	232.0	90.7
14	Tianjin University	229.9	51.1
15	Ulsan National Institute of Science and Technology	227.3	54.0
16	National University of Singapore	225.2	81.6
17	The University of Texas at Austin	224.6	69.7
18	Northwestern University	224.3	86.0
19	Shanghai Jiao Tong University	223.0	54.5
20	University of Wollongong	222.3	92.9
21	Zhejiang University	221.6	56.2
22	University of California, Berkeley	219.9	79.9
23	Soochow University (China)	218.8	57.6
24	The Hong Kong University of Science and Technology	217.2	57.8
25	Imperial College London	215.9	81.0
26	Wuhan University of Technology	214.2	70.2
27	Harbin Institute of Technology	210.9	54.0
28	Karlsruhe Institute of Technology (KIT)	210.1	77.6
29	City University of Hong Kong	210.0	63.3
30	University of Oxford	208.6	86.7
31	The University of New South Wales	207.0	80.3
32	University of Cambridge	206.8	84.4
33	Seoul National University	206.1	61.3
34	University of Maryland, College Park	205.3	71.1
35	Fudan University	204.6	57.9
36	Sungkyunkwan University	202.7	58.5
37	Monash University	201.6	85.4
38	Beihang University	201.0	55.6
38	Korea Advanced Institute of Science and Technology	201.0	52.8
40	Dalian University of Technology	199.0	53.9
41	Beijing Institute of Technology	197.2	53.9
41	Nanjing University	197.2	59.8
43	Nankai University	196.0	48.8
44	University of Washington	194.7	82.6
45	Hanyang University	194.4	56.5
46	King Abdulaziz University	194.2	95.8
46	University of Erlangen-Nuremberg	194.2	74.5
48	Central South University	193.5	55.2
49	Technical University of Denmark	192.7	82.3
50	Pohang University of Science and Technology	191.9	59.0
51-75	Beijing University of Chemical Technology		48.0
51-75	California Institute of Technology		70.6
51-75	Chongqing University		53.7
51-75	ETH Zurich		79.6
51-75	Hunan University		56.5
51-75	Jilin University		50.2
51-75	Korea University		56.7
51-75	KTH Royal Institute of Technology		87.0
51-75	North Carolina State University - Raleigh		72.2
51-75	Shandong University		49.6
51-75	Shenzhen University		62.8
51-75	Southern University of Science and Technology		72.6
51-75	Sun Yat-sen University		49.0
51-75	The Chinese University of Hong Kong		66.4
51-75	The Hong Kong Polytechnic University		54.9
51-75	The University of Queensland		84.8
51-75	Tongji University		55.4
51-75	University of Electronic Science and Technology of China		75.1
51-75	University of Michigan-Ann Arbor		67.3
51-75	University of Nebraska - Lincoln		73.8
51-75	University of Science and Technology Beijing		58.0
51-75	University of Technology Sydney		95.0
51-75	University of Waterloo		79.2
51-75	Wuhan University		54.7
51-75	Xiamen University		57.7
76-100	Cornell University		74.9
76-100	Delft University of Technology		80.3
76-100	Eindhoven University of Technology		82.2
76-100	Griffith University		86.4
76-100	Harvard University		82.7
76-100	Jiangsu University		54.9
76-100	NanJing Tech University		61.4
76-100	National Taiwan University		66.2
76-100	Pennsylvania State University - University Park		68.9
76-100	Princeton University		82.6
76-100	Qingdao University		60.2
76-100	Shaanxi Normal University		45.2
76-100	Shanghai University		61.1
76-100	Technical University of Berlin		71.0
76-100	The Australian National University		81.7
