1	Tsinghua University	278.9	100.0
2	Nanyang Technological University	264.9	57.6
3	Massachusetts Institute of Technology (MIT)	255.6	53.5
4	Stanford University	254.7	48.0
5	Swiss Federal Institute of Technology Lausanne	247.7	47.4
6	Huazhong University of Science and Technology	244.1	77.3
7	South China University of Technology	242.7	69.8
8	University of Science and Technology of China	241.5	81.3
9	Peking University	240.1	53.5
10	Xi'an Jiaotong University	237.1	93.5
11	Georgia Institute of Technology	235.0	49.1
12	University of Chicago	234.6	50.0
13	King Abdullah University of Science and Technology	232.0	47.8
14	Tianjin University	229.9	77.7
15	Ulsan National Institute of Science and Technology	227.3	42.7
16	National University of Singapore	225.2	56.5
17	The University of Texas at Austin	224.6	53.2
18	Northwestern University	224.3	28.5
19	Shanghai Jiao Tong University	223.0	81.4
20	University of Wollongong	222.3	37.5
21	Zhejiang University	221.6	71.1
22	University of California, Berkeley	219.9	49.8
23	Soochow University (China)	218.8	42.4
24	The Hong Kong University of Science and Technology	217.2	36.9
25	Imperial College London	215.9	55.2
26	Wuhan University of Technology	214.2	43.5
27	Harbin Institute of Technology	210.9	75.6
28	Karlsruhe Institute of Technology (KIT)	210.1	61.9
29	City University of Hong Kong	210.0	46.2
30	University of Oxford	208.6	40.0
31	The University of New South Wales	207.0	51.4
32	University of Cambridge	206.8	42.7
33	Seoul National University	206.1	48.8
34	University of Maryland, College Park	205.3	39.5
35	Fudan University	204.6	40.5
36	Sungkyunkwan University	202.7	34.9
37	Monash University	201.6	39.1
38	Beihang University	201.0	54.5
38	Korea Advanced Institute of Science and Technology	201.0	49.9
40	Dalian University of Technology	199.0	60.6
41	Beijing Institute of Technology	197.2	55.9
41	Nanjing University	197.2	38.0
43	Nankai University	196.0	38.5
44	University of Washington	194.7	30.9
45	Hanyang University	194.4	47.4
46	King Abdulaziz University	194.2	39.2
46	University of Erlangen-Nuremberg	194.2	29.2
48	Central South University	193.5	48.9
49	Technical University of Denmark	192.7	56.3
50	Pohang University of Science and Technology	191.9	34.7
51-75	Beijing University of Chemical Technology		43.7
51-75	California Institute of Technology		26.6
51-75	Chongqing University		60.0
51-75	ETH Zurich		41.7
51-75	Hunan University		49.3
51-75	Jilin University		46.8
51-75	Korea University		46.1
51-75	KTH Royal Institute of Technology		49.1
51-75	North Carolina State University - Raleigh		35.3
51-75	Shandong University		53.7
51-75	Shenzhen University		35.3
51-75	Southern University of Science and Technology		27.9
51-75	Sun Yat-sen University		41.7
51-75	The Chinese University of Hong Kong		26.6
51-75	The Hong Kong Polytechnic University		52.0
51-75	The University of Queensland		41.7
51-75	Tongji University		48.9
51-75	University of Electronic Science and Technology of China		34.5
51-75	University of Michigan-Ann Arbor		42.9
51-75	University of Nebraska - Lincoln		22.2
51-75	University of Science and Technology Beijing		48.0
51-75	University of Technology Sydney		32.1
51-75	University of Waterloo		36.5
51-75	Wuhan University		45.8
51-75	Xiamen University		46.3
76-100	Cornell University		25.7
76-100	Delft University of Technology		43.2
76-100	Eindhoven University of Technology		34.6
76-100	Griffith University		21.7
76-100	Harvard University		22.1
76-100	Jiangsu University		43.1
76-100	NanJing Tech University		44.1
76-100	National Taiwan University		35.6
76-100	Pennsylvania State University - University Park		44.8
76-100	Princeton University		40.1
76-100	Qingdao University		24.7
76-100	Shaanxi Normal University		23.5
76-100	Shanghai University		34.0
76-100	Technical University of Berlin		28.5
76-100	The Australian National University		28.6
76-100	The University of Adelaide		31.7
76-100	TU Dresden		29.1
76-100	University College London		40.8
76-100	University of California, Los Angeles		26.9
76-100	University of California, San Diego		34.7
76-100	University of Illinois at Urbana-Champaign		42.7
76-100	University of Toronto		35.1
76-100	Uppsala University		35.9
76-100	Yonsei University		38.5
76-100	Zhengzhou University		33.5
101-150	Aalto University		39.1
101-150	Beijing University of Technology		41.8
101-150	Cardiff University		27.5
101-150	Chalmers University of Technology		41.0
101-150	China University of Petroleum (Beijing)		64.7
101-150	China University of Petroleum (Huadong)		57.0
101-150	Colorado School of Mines		28.7
101-150	Curtin University		35.8
101-150	Dongguk University		24.1
101-150	Donghua University		28.8
101-150	East China Normal University		25.6
101-150	East China University of Science and Technology		42.9
101-150	Guangdong University of Technology		34.1
101-150	Islamic Azad University		54.1
101-150	Jinan University		25.8
101-150	KU Leuven		35.6
101-150	Kyoto University		42.3
101-150	Kyung Hee University		31.4
101-150	Linkoping University		20.7
101-150	Lund University		41.1
101-150	Nanchang University		26.7
101-150	Nanjing University of Science and Technology		38.1
101-150	North China Electric Power University		63.0
101-150	Northwestern Polytechnical University		37.6
101-150	Ocean University of China		28.3
101-150	Paris-Saclay University		42.6
101-150	Polytechnic University of Milan		42.7
101-150	Purdue University - West Lafayette		46.6
101-150	Pusan National University		35.3
101-150	Qingdao University of Science and Technology		29.9
101-150	Quaid-i-Azam University		24.5
101-150	Rice University		21.7
101-150	RWTH Aachen University		42.7
101-150	Sichuan University		43.4
101-150	Sorbonne University		28.8
101-150	Technical University of Munich		37.9
101-150	Texas A&M University		46.2
