1	Tsinghua University	278.9	94.1
2	Nanyang Technological University	264.9	95.8
3	Massachusetts Institute of Technology (MIT)	255.6	100.0
4	Stanford University	254.7	96.7
5	Swiss Federal Institute of Technology Lausanne	247.7	86.5
6	Huazhong University of Science and Technology	244.1	78.6
7	South China University of Technology	242.7	81.2
8	University of Science and Technology of China	241.5	76.0
9	Peking University	240.1	94.6
10	Xi'an Jiaotong University	237.1	61.8
11	Georgia Institute of Technology	235.0	94.6
12	University of Chicago	234.6	90.2
13	King Abdullah University of Science and Technology	232.0	80.6
14	Tianjin University	229.9	70.4
15	Ulsan National Institute of Science and Technology	227.3	88.8
16	National University of Singapore	225.2	68.1
17	The University of Texas at Austin	224.6	79.1
18	Northwestern University	224.3	78.6
19	Shanghai Jiao Tong University	223.0	58.4
20	University of Wollongong	222.3	66.3
21	Zhejiang University	221.6	68.1
22	University of California, Berkeley	219.9	77.6
23	Soochow University (China)	218.8	74.9
24	The Hong Kong University of Science and Technology	217.2	68.7
25	Imperial College London	215.9	69.3
26	Wuhan University of Technology	214.2	72.7
27	Harbin Institute of Technology	210.9	54.8
28	Karlsruhe Institute of Technology (KIT)	210.1	61.2
29	City University of Hong Kong	210.0	63.1
30	University of Oxford	208.6	63.8
31	The University of New South Wales	207.0	57.0
32	University of Cambridge	206.8	69.3
33	Seoul National University	206.1	76.0
34	University of Maryland, College Park	205.3	68.1
35	Fudan University	204.6	66.9
36	Sungkyunkwan University	202.7	71.0
37	Monash University	201.6	65.0
38	Beihang University	201.0	64.4
38	Korea Advanced Institute of Science and Technology	201.0	72.1
40	Dalian University of Technology	199.0	56.3
41	Beijing Institute of Technology	197.2	53.3
41	Nanjing University	197.2	61.8
43	Nankai University	196.0	56.3
44	University of Washington	194.7	58.4
45	Hanyang University	194.4	61.8
46	King Abdulaziz University	194.2	44.2
46	University of Erlangen-Nuremberg	194.2	76.0
48	Central South University	193.5	46.0
49	Technical University of Denmark	192.7	51.0
50	Pohang University of Science and Technology	191.9	72.1
51-75	Beijing University of Chemical Technology		50.2
51-75	California Institute of Technology		59.8
51-75	Chongqing University		41.3
51-75	ETH Zurich		53.3
51-75	Hunan University		37.2
51-75	Jilin University		52.6
51-75	Korea University		56.3
51-75	KTH Royal Institute of Technology		44.2
51-75	North Carolina State University - Raleigh		54.8
51-75	Shandong University		46.9
51-75	Shenzhen University		46.0
51-75	Southern University of Science and Technology		53.3
51-75	Sun Yat-sen University		49.4
51-75	The Chinese University of Hong Kong		46.9
51-75	The Hong Kong Polytechnic University		44.2
51-75	The University of Queensland		46.9
51-75	Tongji University		45.1
51-75	University of Electronic Science and Technology of China		46.0
51-75	University of Michigan-Ann Arbor		54.8
51-75	University of Nebraska - Lincoln		38.3
51-75	University of Science and Technology Beijing		53.3
51-75	University of Technology Sydney		36.1
51-75	University of Waterloo		54.1
51-75	Wuhan University		53.3
51-75	Xiamen University		50.2
76-100	Cornell University		42.3
76-100	Delft University of Technology		42.3
76-100	Eindhoven University of Technology		42.3
76-100	Griffith University		32.5
76-100	Harvard University		39.3
76-100	Jiangsu University		28.5
76-100	NanJing Tech University		46.0
76-100	National Taiwan University		42.3
76-100	Pennsylvania State University - University Park		40.3
76-100	Princeton University		39.3
76-100	Qingdao University		34.9
76-100	Shaanxi Normal University		38.3
76-100	Shanghai University		41.3
76-100	Technical University of Berlin		40.3
76-100	The Australian National University		40.3
76-100	The University of Adelaide		41.3
76-100	TU Dresden		49.4
76-100	University College London		36.1
76-100	University of California, Los Angeles		40.3
76-100	University of California, San Diego		46.0
76-100	University of Illinois at Urbana-Champaign		42.3
76-100	University of Toronto		37.2
76-100	Uppsala University		51.0
76-100	Yonsei University		54.8
76-100	Zhengzhou University		37.2
101-150	Aalto University		27.1
101-150	Beijing University of Technology		27.1
101-150	Cardiff University		27.1
101-150	Chalmers University of Technology		34.9
101-150	China University of Petroleum (Beijing)		15.6
101-150	China University of Petroleum (Huadong)		15.6
101-150	Colorado School of Mines		34.9
101-150	Curtin University		25.5
101-150	Dongguk University		34.9
101-150	Donghua University		31.2
101-150	East China Normal University		23.9
101-150	East China University of Science and Technology		28.5
101-150	Guangdong University of Technology		29.9
101-150	Islamic Azad University		9.0
101-150	Jinan University		29.9
101-150	KU Leuven		31.2
101-150	Kyoto University		37.2
101-150	Kyung Hee University		44.2
101-150	Linkoping University		39.3
101-150	Lund University		29.9
101-150	Nanchang University		23.9
101-150	Nanjing University of Science and Technology		34.9
101-150	North China Electric Power University		15.6
101-150	Northwestern Polytechnical University		29.9
101-150	Ocean University of China		12.8
101-150	Paris-Saclay University		28.5
101-150	Polytechnic University of Milan		28.5
101-150	Purdue University - West Lafayette		28.5
101-150	Pusan National University		37.2
101-150	Qingdao University of Science and Technology		36.1
101-150	Quaid-i-Azam University		12.8
101-150	Rice University		39.3
101-150	RWTH Aachen University		32.5
101-150	Sichuan University		33.7
101-150	Sorbonne University		33.7
101-150	Technical University of Munich		39.3
101-150	Texas A&M University		22.1
101-150	The University of Hong Kong		36.1
101-150	The University of Tokyo		37.2
101-150	Tohoku University		36.1
101-150	University of Central Florida		28.5
101-150	University of Groningen		34.9
101-150	University of Houston		42.3
101-150	University of Jinan		28.5
101-150	University of Lisbon		23.9
101-150	University of Minnesota, Twin Cities		25.5
101-150	University of Naples Federico II		18.0
101-150	University of Tennessee - Knoxville		25.5
101-150	University of Wisconsin - Madison		34.9
101-150	Western University		37.2
151-200	Aalborg University		12.8
151-200	Aarhus University		15.6
151-200	Arizona State University		25.5
151-200	Autonomous University of Barcelona		29.9
151-200	Babol Noshirvani University of Technology		0.0
151-200	China University of Mining and Technology (Xuzhou)		12.8
151-200	Chonnam National University		28.5
151-200	Columbia University		23.9
151-200	Fuzhou University		25.5
151-200	Ghent University		15.6
151-200	Guangxi University		28.5
151-200	Hefei University of Technology		23.9
151-200	Kyushu University		23.9
151-200	Lanzhou University		28.5
151-200	Nanjing Normal University		27.1
151-200	Nanjing University of Aeronautics and Astronautics		25.5
151-200	Newcastle University		27.1
151-200	Polytechnic University of Turin		15.6
151-200	Queensland University of Technology		25.5
151-200	Sejong University		31.2
151-200	Southeast University		12.8
151-200	Technical University Darmstadt		39.3
151-200	The Ohio State University - Columbus		33.7
