1	Harvard University	344.5	86.9
2	Stanford University	332.1	89.9
3	ETH Zurich	327.0	84.4
4	University of Wisconsin - Madison	300.6	76.7
5	Michigan State University	294.5	76.4
6	University of California, Davis	293.8	71.5
7	Tsinghua University	288.5	83.0
8	Technical University of Denmark	281.8	75.1
9	Massachusetts Institute of Technology (MIT)	276.3	83.0
10	University of Alberta	274.3	71.5
11	Arizona State University	270.9	78.1
12	Princeton University	269.5	90.4
13	Nanjing University	268.9	77.7
14	Peking University	267.8	82.5
15	Technical University of Munich	263.0	76.0
16	University of Copenhagen	258.7	80.2
17	University of California, Berkeley	255.3	79.8
17	University of Maryland, College Park	255.3	84.2
19	California Institute of Technology	245.6	87.7
20	Delft University of Technology	242.1	73.9
21	The University of Western Australia	239.4	76.3
22	Wageningen University & Research	236.0	86.1
23	University of Cape Town	235.1	74.2
24	The Ohio State University - Columbus	233.9	74.0
25	Zhejiang University	233.1	75.1
26	The University of Queensland	232.8	78.6
27	University of Colorado at Boulder	229.6	80.1
28	Georgia Institute of Technology	228.7	83.2
29	Stockholm University	223.4	86.4
30	University of Toronto	223.0	72.1
31	Johns Hopkins University	221.8	71.9
32	Tongji University	220.5	72.0
33	University of Washington	219.5	84.0
34	University of Michigan-Ann Arbor	218.9	74.9
35	King's College London	216.3	81.2
36	Yale University	215.5	83.3
37	Utrecht University	213.7	87.9
38	Beijing Normal University	213.5	72.9
39	Duke University	211.5	79.9
40	Sun Yat-sen University	207.4	79.2
41	Swiss Federal Institute of Technology Lausanne	207.0	97.0
42	Harbin Institute of Technology	206.6	77.5
42	University of British Columbia	206.6	82.4
44	Aarhus University	205.9	75.9
44	Fudan University	205.9	80.1
46	The University of New South Wales	203.9	77.4
47	The University of Hong Kong	203.2	79.5
48	University of Minnesota, Twin Cities	201.4	76.4
49	Nankai University	200.8	81.8
50	University of Illinois at Urbana-Champaign	200.2	72.7
51-75	Carnegie Mellon University		74.9
51-75	Colorado State University		72.0
51-75	Columbia University		79.1
51-75	Ghent University		71.6
51-75	Huazhong University of Science and Technology		79.3
51-75	Hunan University		100.0
51-75	Imperial College London		83.4
51-75	Jinan University		76.6
51-75	King Abdulaziz University		89.6
51-75	McGill University		79.4
51-75	Nanyang Technological University		85.0
51-75	National University of Singapore		79.7
51-75	Shanghai Jiao Tong University		76.6
51-75	Swedish University of Agricultural Sciences		75.6
51-75	The Hong Kong Polytechnic University		89.6
51-75	The Hong Kong University of Science and Technology		82.6
51-75	The University of Texas at Austin		79.8
51-75	Tianjin University		75.6
51-75	University of California, Irvine		82.3
51-75	Exeter University		87.0
51-75	University of Florida		70.7
51-75	University of Leeds		82.2
51-75	University of Massachusetts Amherst		78.1
51-75	University of Saskatchewan		70.4
