1	Harvard University	344.5	71.1
2	Stanford University	332.1	58.2
3	ETH Zurich	327.0	74.7
4	University of Wisconsin - Madison	300.6	54.4
5	Michigan State University	294.5	53.4
6	University of California, Davis	293.8	59.7
7	Tsinghua University	288.5	100.0
8	Technical University of Denmark	281.8	61.7
9	Massachusetts Institute of Technology (MIT)	276.3	51.8
10	University of Alberta	274.3	52.7
11	Arizona State University	270.9	53.2
12	Princeton University	269.5	41.0
13	Nanjing University	268.9	84.1
14	Peking University	267.8	84.2
15	Technical University of Munich	263.0	43.7
16	University of Copenhagen	258.7	57.0
17	University of California, Berkeley	255.3	70.1
17	University of Maryland, College Park	255.3	57.9
19	California Institute of Technology	245.6	50.3
20	Delft University of Technology	242.1	53.2
21	The University of Western Australia	239.4	44.9
22	Wageningen University & Research	236.0	77.7
23	University of Cape Town	235.1	34.8
24	The Ohio State University - Columbus	233.9	42.7
25	Zhejiang University	233.1	76.1
26	The University of Queensland	232.8	76.2
27	University of Colorado at Boulder	229.6	64.5
28	Georgia Institute of Technology	228.7	52.7
29	Stockholm University	223.4	56.9
30	University of Toronto	223.0	58.9
31	Johns Hopkins University	221.8	35.7
32	Tongji University	220.5	71.4
33	University of Washington	219.5	60.8
34	University of Michigan-Ann Arbor	218.9	57.6
35	King's College London	216.3	32.5
36	Yale University	215.5	47.7
37	Utrecht University	213.7	61.6
38	Beijing Normal University	213.5	80.7
39	Duke University	211.5	51.0
40	Sun Yat-sen University	207.4	64.7
41	Swiss Federal Institute of Technology Lausanne	207.0	40.6
42	Harbin Institute of Technology	206.6	64.7
42	University of British Columbia	206.6	59.6
44	Aarhus University	205.9	62.4
44	Fudan University	205.9	55.7
46	The University of New South Wales	203.9	58.2
47	The University of Hong Kong	203.2	52.1
48	University of Minnesota, Twin Cities	201.4	53.0
49	Nankai University	200.8	51.6
50	University of Illinois at Urbana-Champaign	200.2	51.2
51-75	Carnegie Mellon University		38.5
51-75	Colorado State University		57.2
51-75	Columbia University		56.9
51-75	Ghent University		55.1
51-75	Huazhong University of Science and Technology		53.7
51-75	Hunan University		49.3
51-75	Imperial College London		55.6
51-75	Jinan University		51.8
51-75	King Abdulaziz University		42.4
51-75	McGill University		50.6
51-75	Nanyang Technological University		47.8
51-75	National University of Singapore		54.4
51-75	Shanghai Jiao Tong University		58.7
51-75	Swedish University of Agricultural Sciences		55.9
51-75	The Hong Kong Polytechnic University		59.2
51-75	The Hong Kong University of Science and Technology		44.5
51-75	The University of Texas at Austin		43.3
51-75	Tianjin University		59.3
51-75	University of California, Irvine		45.3
51-75	Exeter University		52.4
51-75	University of Florida		57.7
51-75	University of Leeds		57.5
51-75	University of Massachusetts Amherst		43.9
51-75	University of Saskatchewan		45.8
51-75	University of Science and Technology of China		50.9
76-100	Central South University		50.2
76-100	City University of Hong Kong		46.7
76-100	Cornell University		49.9
76-100	Dalian University of Technology		50.6
76-100	East China Normal University		45.2
76-100	Karlsruhe Institute of Technology (KIT)		52.7
76-100	Lancaster University		47.3
76-100	Nanjing University of Information Science & Technology		55.5
76-100	North Carolina State University - Raleigh		47.0
76-100	Oregon State University		51.3
76-100	Pennsylvania State University - University Park		44.4
76-100	Purdue University - West Lafayette		48.2
76-100	Sorbonne University		55.6
76-100	South China University of Technology		54.0
76-100	Tel Aviv University		23.1
76-100	Texas A&M University		51.9
76-100	Université Grenoble Alpes		44.7
76-100	University of California, Los Angeles		46.3
76-100	University of California, Riverside		41.2
76-100	University of California, Santa Barbara		42.1
76-100	University of Cambridge		52.9
76-100	University of Chicago		35.3
76-100	University of Helsinki		56.7
76-100	University of North Carolina at Chapel Hill		44.1
76-100	Vrije Universiteit Amsterdam		48.0
101-150	Aix Marseille University		40.4
101-150	Boston University		40.7
101-150	China Agricultural University		53.2
101-150	Chongqing University		49.8
101-150	Curtin University		39.3
101-150	Dalhousie University		35.6
101-150	Griffith University		48.7
101-150	Humboldt University of Berlin		40.6
101-150	King Abdullah University of Science and Technology		33.4
101-150	KU Leuven		47.3
101-150	Lund University		51.3
101-150	Masaryk University		35.5
101-150	Monash University		48.2
101-150	Nanjing Agricultural University		45.4
101-150	North China Electric Power University		44.3
101-150	Norwegian University of Science and Technology - NTNU		44.4
101-150	Paul Sabatier University (Toulouse 3)		46.5
101-150	Queensland University of Technology		44.6
101-150	Rutgers, The State University of New Jersey - New Brunswick		40.1
101-150	Shandong University		55.2
101-150	Soochow University (China)		33.0
101-150	The University of Adelaide		42.4
101-150	The University of Georgia		40.2
101-150	The University of Manchester		46.9
101-150	The University of Melbourne		56.2
101-150	Umea University		38.0
101-150	University at Albany (State University of New York)		33.7
101-150	University College London		48.5
101-150	University of Antwerp		45.0
101-150	University of Arizona		47.8
101-150	University of Basel		34.1
101-150	University of Bern		39.1
101-150	University of Birmingham		42.0
101-150	University of California, San Diego		39.8
101-150	University of Cincinnati		38.0
101-150	University of East Anglia		40.6
101-150	University of Iowa		33.0
101-150	University of Oslo		36.3
101-150	University of Oxford		57.2
101-150	University of Sao Paulo		59.0
101-150	University of Technology Sydney		44.7
101-150	University of Tuebingen		28.7
101-150	University of Versailles Saint-Quentin-en-Yvelines		49.1
101-150	University of Vienna		32.0
101-150	University of Waterloo		45.6
101-150	University of York		36.0
101-150	Virginia Polytechnic Institute and State University		42.8
101-150	Wuhan University		59.5
101-150	Xiamen University		50.5
101-150	Zhejiang University of Technology		39.9
151-200	Autonomous University of Barcelona		49.9
151-200	Beijing Institute of Technology		39.9
151-200	Carleton University		32.6
151-200	Chalmers University of Technology		39.3
151-200	China University of Geosciences (Wuhan)		42.9
151-200	Colorado School of Mines		30.6
151-200	Emory University		31.9
151-200	Guangdong University of Technology		39.3
151-200	Huazhong Agricultural University		39.5
151-200	Jiangsu University		35.9
151-200	Korea University		44.7
151-200	Leiden University		33.2
151-200	Newcastle University		36.0
151-200	Northwest A&F University		50.3
151-200	Northwestern University		26.3
