1	Harvard University	344.5	69.8
2	Stanford University	332.1	81.9
3	ETH Zurich	327.0	100.0
4	University of Wisconsin - Madison	300.6	55.1
5	Michigan State University	294.5	49.4
6	University of California, Davis	293.8	61.3
7	Tsinghua University	288.5	92.2
8	Technical University of Denmark	281.8	57.4
9	Massachusetts Institute of Technology (MIT)	276.3	54.3
10	University of Alberta	274.3	63.7
11	Arizona State University	270.9	54.3
12	Princeton University	269.5	35.2
13	Nanjing University	268.9	93.4
14	Peking University	267.8	87.2
15	Technical University of Munich	263.0	40.3
16	University of Copenhagen	258.7	42.4
17	University of California, Berkeley	255.3	90.3
17	University of Maryland, College Park	255.3	37.0
19	California Institute of Technology	245.6	41.3
20	Delft University of Technology	242.1	27.0
21	The University of Western Australia	239.4	30.7
22	Wageningen University & Research	236.0	54.3
23	University of Cape Town	235.1	9.2
24	The Ohio State University - Columbus	233.9	41.9
25	Zhejiang University	233.1	68.3
26	The University of Queensland	232.8	61.0
27	University of Colorado at Boulder	229.6	70.1
28	Georgia Institute of Technology	228.7	76.0
29	Stockholm University	223.4	62.0
30	University of Toronto	223.0	76.2
31	Johns Hopkins University	221.8	37.6
32	Tongji University	220.5	64.7
33	University of Washington	219.5	59.9
34	University of Michigan-Ann Arbor	218.9	71.9
35	King's College London	216.3	24.5
36	Yale University	215.5	68.6
37	Utrecht University	213.7	46.7
38	Beijing Normal University	213.5	47.1
39	Duke University	211.5	65.7
40	Sun Yat-sen University	207.4	50.2
41	Swiss Federal Institute of Technology Lausanne	207.0	51.9
42	Harbin Institute of Technology	206.6	53.1
42	University of British Columbia	206.6	48.0
44	Aarhus University	205.9	49.4
44	Fudan University	205.9	55.9
46	The University of New South Wales	203.9	52.3
47	The University of Hong Kong	203.2	58.1
48	University of Minnesota, Twin Cities	201.4	57.7
49	Nankai University	200.8	56.6
50	University of Illinois at Urbana-Champaign	200.2	62.0
51-75	Carnegie Mellon University		68.3
51-75	Colorado State University		56.6
51-75	Columbia University		41.9
51-75	Ghent University		48.9
51-75	Huazhong University of Science and Technology		45.8
51-75	Hunan University		29.2
51-75	Imperial College London		42.4
51-75	Jinan University		50.2
51-75	King Abdulaziz University		38.7
51-75	McGill University		42.4
51-75	Nanyang Technological University		43.4
51-75	National University of Singapore		44.8
51-75	Shanghai Jiao Tong University		40.3
51-75	Swedish University of Agricultural Sciences		45.3
51-75	The Hong Kong Polytechnic University		35.8
51-75	The Hong Kong University of Science and Technology		48.9
51-75	The University of Texas at Austin		57.0
51-75	Tianjin University		43.4
51-75	University of California, Irvine		49.8
51-75	Exeter University		37.0
51-75	University of Florida		51.5
51-75	University of Leeds		35.8
51-75	University of Massachusetts Amherst		51.5
51-75	University of Saskatchewan		57.7
51-75	University of Science and Technology of China		44.3
76-100	Central South University		28.5
76-100	City University of Hong Kong		42.4
76-100	Cornell University		44.3
76-100	Dalian University of Technology		46.7
76-100	East China Normal University		37.0
76-100	Karlsruhe Institute of Technology (KIT)		36.4
76-100	Lancaster University		40.3
76-100	Nanjing University of Information Science & Technology		42.4
76-100	North Carolina State University - Raleigh		53.9
76-100	Oregon State University		48.0
76-100	Pennsylvania State University - University Park		51.1
76-100	Purdue University - West Lafayette		51.5
76-100	Sorbonne University		32.7
76-100	South China University of Technology		36.4
76-100	Tel Aviv University		6.5
76-100	Texas A&M University		47.6
76-100	Université Grenoble Alpes		42.4
76-100	University of California, Los Angeles		38.1
76-100	University of California, Riverside		55.5
76-100	University of California, Santa Barbara		40.8
76-100	University of Cambridge		29.2
76-100	University of Chicago		44.8
76-100	University of Helsinki		41.3
76-100	University of North Carolina at Chapel Hill		51.5
76-100	Vrije Universiteit Amsterdam		32.0
101-150	Aix Marseille University		40.8
101-150	Boston University		32.7
101-150	China Agricultural University		35.8
101-150	Chongqing University		27.0
101-150	Curtin University		35.8
101-150	Dalhousie University		36.4
101-150	Griffith University		29.2
101-150	Humboldt University of Berlin		21.7
101-150	King Abdullah University of Science and Technology		34.0
101-150	KU Leuven		37.6
101-150	Lund University		23.6
101-150	Masaryk University		42.9
101-150	Monash University		32.0
101-150	Nanjing Agricultural University		40.3
101-150	North China Electric Power University		36.4
101-150	Norwegian University of Science and Technology - NTNU		42.9
101-150	Paul Sabatier University (Toulouse 3)		32.0
101-150	Queensland University of Technology		26.1
101-150	Rutgers, The State University of New Jersey - New Brunswick		48.0
101-150	Shandong University		32.7
101-150	Soochow University (China)		30.0
101-150	The University of Adelaide		27.7
101-150	The University of Georgia		40.8
101-150	The University of Manchester		35.2
101-150	The University of Melbourne		27.7
101-150	Umea University		42.4
101-150	University at Albany (State University of New York)		37.0
101-150	University College London		26.1
101-150	University of Antwerp		33.3
101-150	University of Arizona		36.4
101-150	University of Basel		29.2
101-150	University of Bern		31.4
101-150	University of Birmingham		40.3
101-150	University of California, San Diego		39.2
101-150	University of Cincinnati		37.0
101-150	University of East Anglia		24.5
101-150	University of Iowa		53.1
101-150	University of Oslo		36.4
101-150	University of Oxford		19.6
101-150	University of Sao Paulo		24.5
101-150	University of Technology Sydney		22.6
101-150	University of Tuebingen		42.9
101-150	University of Versailles Saint-Quentin-en-Yvelines		18.5
101-150	University of Vienna		37.6
101-150	University of Waterloo		42.4
101-150	University of York		31.4
101-150	Virginia Polytechnic Institute and State University		47.6
101-150	Wuhan University		30.0
101-150	Xiamen University		35.2
101-150	Zhejiang University of Technology		38.7
151-200	Autonomous University of Barcelona		18.5
151-200	Beijing Institute of Technology		19.6
151-200	Carleton University		41.3
151-200	Chalmers University of Technology		28.5
151-200	China University of Geosciences (Wuhan)		34.0
