1	Harvard University	353.6	95.6
2	University College London	304.0	88.6
3	Columbia University	298.6	90.9
4	Massachusetts Institute of Technology (MIT)	290.3	100.0
5	Rockefeller University	274.8	100.0
6	University of California, Los Angeles	243.9	85.8
7	The University of Texas M. D. Anderson Cancer Center	243.3	97.2
8	The University of Texas Southwestern Medical Center at Dallas	239.3	85.6
9	University of Zurich	238.8	85.4
10	University of Cambridge	229.9	90.8
11	University of California, San Francisco	229.2	97.5
12	Stanford University	227.8	100.0
13	Kyoto University	219.4	71.1
14	University of Pennsylvania	217.1	94.8
15	Johns Hopkins University	214.8	90.1
16	University of California, San Diego	213.8	92.7
17	Norwegian University of Science and Technology - NTNU	209.4	73.1
18	University of Oxford	209.0	89.3
19	Yale University	207.0	92.2
20	Washington University in St. Louis	205.0	98.9
21	Icahn School of Medicine at Mount Sinai	200.0	95.8
22	University of Gothenburg	199.7	85.9
23	Cornell University	198.3	94.0
24	Karolinska Institute	198.2	85.6
25	University of Toronto	197.3	83.5
26	University of Washington	196.6	89.3
27	University of Strasbourg	195.1	80.3
28	The University of Texas Health Science Center at Houston	194.3	79.5
29	California Institute of Technology	193.4	98.0
30	The University of Melbourne	193.1	86.6
31	New York University	192.3	91.3
32	Imperial College London	190.8	90.0
33	King's College London	190.3	90.7
34	University of Pittsburgh	188.9	87.1
35	University of Munich	187.8	88.9
36	University of North Carolina at Chapel Hill	186.4	91.1
37	McGill University	184.9	83.6
38	The University of Western Australia	184.4	76.5
39	Duke University	183.6	85.6
40	Free University Berlin	182.8	86.8
41	Sorbonne University	182.2	84.0
42	Humboldt University of Berlin	182.0	86.6
43	Charite - Universitats Medizin Berlin	181.3	88.5
44	University of Paris	180.6	84.3
45	University of Michigan-Ann Arbor	179.9	87.6
46	Emory University	179.6	86.1
47	University of Basel	177.3	88.6
48	University of California, Berkeley	176.3	96.9
49	Heidelberg University	175.7	85.0
50	Technical University of Munich	175.2	93.2
50	University of Amsterdam	175.2	86.7
51-75	Baylor College of Medicine		83.9
51-75	Boston University		86.2
51-75	Erasmus University Rotterdam		87.5
51-75	ETH Zurich		90.8
51-75	KU Leuven		85.1
51-75	Leiden University		85.0
51-75	Mayo Clinic Alix School of Medicine		87.4
51-75	Monash University		82.0
51-75	Northwestern University		85.9
51-75	Radboud University Nijmegen		81.9
51-75	The University of Edinburgh		88.7
51-75	The University of Manchester		90.3
51-75	The University of Queensland		83.0
51-75	University of Bonn		92.2
51-75	University of Chicago		91.5
51-75	University of Copenhagen		81.4
51-75	University of Freiburg		91.1
51-75	University of Lausanne		89.2
51-75	University of Massachusetts Medical School - Worcester		94.5
51-75	University of Minnesota, Twin Cities		82.5
51-75	University of Southern California		86.6
51-75	Utrecht University		87.1
51-75	Vanderbilt University		87.5
51-75	Weizmann Institute of Science		96.5
76-100	Aix Marseille University		75.4
76-100	Cardiff University		87.6
76-100	Case Western Reserve University		84.3
76-100	Ghent University		83.6
76-100	Medical University of Vienna		83.9
76-100	National University of Singapore		83.1
76-100	Oregon Health and Science University		86.4
76-100	Paris-Saclay University		83.8
76-100	Princeton University		97.1
76-100	Queen Mary University of London		89.7
76-100	Swiss Federal Institute of Technology Lausanne		98.1
