1	Harvard University	353.6	100.0
2	University College London	304.0	66.4
3	Columbia University	298.6	51.0
4	Massachusetts Institute of Technology (MIT)	290.3	46.3
5	Rockefeller University	274.8	25.7
6	University of California, Los Angeles	243.9	50.3
7	The University of Texas M. D. Anderson Cancer Center	243.3	36.9
8	The University of Texas Southwestern Medical Center at Dallas	239.3	33.4
9	University of Zurich	238.8	41.6
10	University of Cambridge	229.9	46.7
11	University of California, San Francisco	229.2	59.6
12	Stanford University	227.8	55.3
13	Kyoto University	219.4	29.0
14	University of Pennsylvania	217.1	57.4
15	Johns Hopkins University	214.8	66.1
16	University of California, San Diego	213.8	51.0
17	Norwegian University of Science and Technology - NTNU	209.4	18.2
18	University of Oxford	209.0	57.9
19	Yale University	207.0	51.1
20	Washington University in St. Louis	205.0	47.9
21	Icahn School of Medicine at Mount Sinai	200.0	43.5
22	University of Gothenburg	199.7	29.1
23	Cornell University	198.3	42.8
24	Karolinska Institute	198.2	52.4
25	University of Toronto	197.3	57.6
26	University of Washington	196.6	52.2
27	University of Strasbourg	195.1	22.0
28	The University of Texas Health Science Center at Houston	194.3	30.5
29	California Institute of Technology	193.4	17.7
30	The University of Melbourne	193.1	49.9
31	New York University	192.3	42.7
32	Imperial College London	190.8	48.4
33	King's College London	190.3	47.4
34	University of Pittsburgh	188.9	51.7
35	University of Munich	187.8	43.5
36	University of North Carolina at Chapel Hill	186.4	44.9
37	McGill University	184.9	48.9
38	The University of Western Australia	184.4	25.1
39	Duke University	183.6	45.0
40	Free University Berlin	182.8	47.6
41	Sorbonne University	182.2	48.3
42	Humboldt University of Berlin	182.0	46.6
43	Charite - Universitats Medizin Berlin	181.3	44.7
44	University of Paris	180.6	45.4
45	University of Michigan-Ann Arbor	179.9	46.5
46	Emory University	179.6	46.9
47	University of Basel	177.3	36.8
48	University of California, Berkeley	176.3	32.6
49	Heidelberg University	175.7	42.7
50	Technical University of Munich	175.2	33.6
50	University of Amsterdam	175.2	43.4
51-75	Baylor College of Medicine		40.4
51-75	Boston University		34.9
51-75	Erasmus University Rotterdam		37.1
51-75	ETH Zurich		29.7
51-75	KU Leuven		37.7
51-75	Leiden University		36.5
51-75	Mayo Clinic Alix School of Medicine		42.9
51-75	Monash University		40.7
51-75	Northwestern University		42.3
51-75	Radboud University Nijmegen		40.0
51-75	The University of Edinburgh		36.9
51-75	The University of Manchester		33.4
51-75	The University of Queensland		38.0
51-75	University of Bonn		31.4
51-75	University of Chicago		33.3
51-75	University of Copenhagen		44.5
51-75	University of Freiburg		31.1
51-75	University of Lausanne		32.5
51-75	University of Massachusetts Medical School - Worcester		27.1
51-75	University of Minnesota, Twin Cities		38.1
51-75	University of Southern California		35.0
51-75	Utrecht University		40.2
51-75	Vanderbilt University		41.6
51-75	Weizmann Institute of Science		19.8
76-100	Aix Marseille University		36.5
76-100	Cardiff University		29.1
76-100	Case Western Reserve University		32.9
76-100	Ghent University		30.8
76-100	Medical University of Vienna		32.8
76-100	National University of Singapore		34.1
76-100	Oregon Health and Science University		31.9
76-100	Paris-Saclay University		31.6
76-100	Princeton University		19.2
76-100	Queen Mary University of London		23.9
76-100	Swiss Federal Institute of Technology Lausanne		24.6
76-100	The University of Tokyo		36.1
76-100	Trinity College Dublin		22.8
76-100	University of Alabama at Birmingham		32.6
76-100	University of Barcelona		41.9
76-100	University of British Columbia		40.0
76-100	University of California, Irvine		31.8
76-100	University of Colorado Health Science Center		34.6
76-100	University of Geneva		32.5
76-100	University of Goettingen		28.8
76-100	University of Hamburg		33.6
76-100	University of Oslo		31.8
76-100	University of Sydney		39.4
76-100	University of Tuebingen		38.3
76-100	University of Virginia		28.9
76-100	Vrije Universiteit Amsterdam		40.2
101-150	Aarhus University		29.2
101-150	Albert Einstein College of Medicine		26.1
101-150	Autonomous University of Barcelona		31.5
101-150	Hannover Medical School		28.7
101-150	Heinrich Heine University Duesseldorf		27.8
101-150	Indiana University Bloomington		31.0
101-150	London School of Hygiene & Tropical Medicine		36.5
101-150	Lund University		29.4
101-150	Maastricht University		30.0
101-150	McMaster University		24.8
101-150	Newcastle University		26.7
101-150	Osaka University		28.8
101-150	State University of New York Health Science Center at Brooklyn		12.8
101-150	The Ohio State University - Columbus		35.8
101-150	The University of Calgary		31.5
101-150	The University of Glasgow		29.0
101-150	The University of New South Wales		34.8
101-150	Tsinghua University		22.5
101-150	TU Dresden		29.3
101-150	University of Bern		30.9
101-150	University of Birmingham		28.2
101-150	University of Bordeaux		28.7
101-150	University of Bristol		25.7
101-150	University of California, Davis		34.9
101-150	University of Cape Town		25.2
101-150	University of Cincinnati		29.8
101-150	University of Cologne		28.2
101-150	University of Erlangen-Nuremberg		29.9
101-150	University of Florida		36.2
101-150	University of Groningen		32.2
101-150	University of Helsinki		31.3
101-150	University of Iowa		30.2
101-150	University of Kiel		22.1
101-150	University of Mainz		26.9
101-150	University of Maryland, Baltimore		33.3
101-150	University of Miami		28.8
101-150	University of Milan		31.1
101-150	University of Montpellier		33.2
101-150	University of Montreal		35.3
101-150	University of Muenster		27.8
101-150	University of Regensburg		19.9
101-150	University of Rochester		28.1
101-150	University of Southampton		23.9
101-150	University of Utah		30.4
101-150	University of Wisconsin - Madison		35.8
101-150	University of Wuerzburg		27.7
101-150	Vita-Salute San Raffaele University		25.9
101-150	Weill Cornell Medical College Qatar		11.9
