1	Harvard University	353.6	100.0
2	University College London	304.0	45.3
3	Columbia University	298.6	52.8
4	Massachusetts Institute of Technology (MIT)	290.3	67.7
5	Rockefeller University	274.8	33.9
6	University of California, Los Angeles	243.9	44.6
7	The University of Texas M. D. Anderson Cancer Center	243.3	34.2
8	The University of Texas Southwestern Medical Center at Dallas	239.3	32.7
9	University of Zurich	238.8	33.3
10	University of Cambridge	229.9	40.0
11	University of California, San Francisco	229.2	57.9
12	Stanford University	227.8	58.7
13	Kyoto University	219.4	21.3
14	University of Pennsylvania	217.1	51.9
15	Johns Hopkins University	214.8	44.6
16	University of California, San Diego	213.8	56.4
17	Norwegian University of Science and Technology - NTNU	209.4	16.3
18	University of Oxford	209.0	44.4
19	Yale University	207.0	49.4
20	Washington University in St. Louis	205.0	45.5
21	Icahn School of Medicine at Mount Sinai	200.0	46.7
22	University of Gothenburg	199.7	17.6
23	Cornell University	198.3	48.0
24	Karolinska Institute	198.2	42.5
25	University of Toronto	197.3	40.5
26	University of Washington	196.6	41.5
27	University of Strasbourg	195.1	15.7
28	The University of Texas Health Science Center at Houston	194.3	20.8
29	California Institute of Technology	193.4	20.3
30	The University of Melbourne	193.1	41.0
31	New York University	192.3	44.6
32	Imperial College London	190.8	35.1
33	King's College London	190.3	35.1
34	University of Pittsburgh	188.9	37.6
35	University of Munich	187.8	39.2
36	University of North Carolina at Chapel Hill	186.4	37.4
37	McGill University	184.9	36.3
38	The University of Western Australia	184.4	14.3
39	Duke University	183.6	40.0
40	Free University Berlin	182.8	33.0
41	Sorbonne University	182.2	33.9
42	Humboldt University of Berlin	182.0	33.3
43	Charite - Universitats Medizin Berlin	181.3	32.7
44	University of Paris	180.6	35.4
45	University of Michigan-Ann Arbor	179.9	33.9
46	Emory University	179.6	33.9
47	University of Basel	177.3	34.2
48	University of California, Berkeley	176.3	32.7
49	Heidelberg University	175.7	32.4
50	Technical University of Munich	175.2	32.4
50	University of Amsterdam	175.2	29.0
51-75	Baylor College of Medicine		34.8
51-75	Boston University		31.1
51-75	Erasmus University Rotterdam		24.0
51-75	ETH Zurich		33.0
51-75	KU Leuven		24.0
51-75	Leiden University		25.6
51-75	Mayo Clinic Alix School of Medicine		29.0
51-75	Monash University		31.4
51-75	Northwestern University		29.0
51-75	Radboud University Nijmegen		27.2
51-75	The University of Edinburgh		32.0
51-75	The University of Manchester		24.4
51-75	The University of Queensland		29.4
51-75	University of Bonn		31.1
51-75	University of Chicago		33.6
51-75	University of Copenhagen		29.0
51-75	University of Freiburg		33.6
51-75	University of Lausanne		26.4
51-75	University of Massachusetts Medical School - Worcester		34.5
51-75	University of Minnesota, Twin Cities		32.7
51-75	University of Southern California		31.4
51-75	Utrecht University		25.6
51-75	Vanderbilt University		31.1
51-75	Weizmann Institute of Science		32.0
