1	Harbin Institute of Technology	282.8	71.8
2	Beihang University	258.9	64.0
3	Zhejiang University	255.4	69.3
4	Tsinghua University	251.0	63.5
5	Jilin University	239.3	78.5
6	Nanyang Technological University	233.5	79.2
7	Southeast University	233.2	72.1
8	Huazhong University of Science and Technology	232.1	69.2
9	Xi'an Jiaotong University	222.8	64.3
10	Dalian University of Technology	220.9	65.2
11	Northwestern Polytechnical University	217.4	73.7
12	Northeastern University (Shenyang)	216.3	69.3
13	Tianjin University	215.6	64.2
14	Chongqing University	214.5	72.0
15	Shanghai Jiao Tong University	213.5	60.7
16	Wuhan University	212.7	61.2
17	Beijing Institute of Technology	209.5	64.5
18	University of Electronic Science and Technology of China	209.3	67.7
19	Nanjing University of Aeronautics and Astronautics	208.6	68.3
20	Aalborg University	206.8	99.8
21	King Abdulaziz University	198.4	100.0
22	Hanyang University	196.1	76.5
22	National University of Singapore	196.1	70.5
24	Massachusetts Institute of Technology (MIT)	193.3	75.8
25	Central South University	192.7	72.9
26	South China University of Technology	190.6	75.6
27	Hunan University	190.1	76.9
28	Seoul National University	189.4	66.6
29	The Hong Kong Polytechnic University	188.6	69.3
30	University of Science and Technology of China	187.2	59.2
31	Tongji University	186.8	70.4
32	The University of New South Wales	186.5	76.9
33	City University of Hong Kong	186.0	80.7
34	University of Jinan	185.9	89.8
35	Korea University	185.7	72.8
36	University of Malaya	185.6	88.5
37	National University of Defense Technology	185.4	54.6
38	Beijing Jiaotong University	182.8	69.3
39	University of Technology Sydney	182.6	84.4
40	Harvard University	182.5	77.3
41	Korea Advanced Institute of Science and Technology	182.1	61.2
42	ETH Zurich	181.5	81.3
43	The University of Auckland	180.6	100.0
43	University of Alberta	180.6	69.5
45	Polytechnic University of Catalonia	180.5	62.8
46	INHA University	179.3	71.7
47	Southwest University	179.2	76.6
48	Polytechnic University of Madrid	179.0	55.5
49	Hefei University of Technology	178.3	67.9
50	University of Houston	178.2	76.7
51-75	Beijing University of Chemical Technology		81.4
51-75	Chonnam National University		97.4
51-75	Harbin Engineering University		56.2
51-75	Imperial College London		76.0
51-75	Isfahan University of Technology		91.0
51-75	Islamic Azad University		81.5
51-75	Jiangnan University		74.1
51-75	Jiangsu University		81.1
51-75	Kyungpook National University		70.8
51-75	Nanjing University of Science and Technology		62.7
51-75	National Taiwan University		71.2
51-75	Polytechnic University of Milan		65.4
51-75	Purdue University - West Lafayette		77.1
51-75	Shandong University		64.4
51-75	Shenzhen University		70.9
51-75	Southwest Jiaotong University		75.3
51-75	The Ohio State University - Columbus		83.7
51-75	The University of Adelaide		93.8
51-75	The University of Manchester		73.7
51-75	University of Antwerp		100.0
51-75	University of California, San Diego		85.4
51-75	University of Maryland, College Park		85.0
51-75	University of Science and Technology Beijing		70.6
51-75	University of Seville		82.9
51-75	University of Tehran		77.9
51-75	University of Wollongong		83.8
76-100	Georgia Institute of Technology		66.2
76-100	Ghent University		74.9
76-100	Johns Hopkins University		99.4
76-100	Monash University		74.3
76-100	Paris-Saclay University		70.3
76-100	Qatar University		83.6
76-100	Qingdao University of Science and Technology		88.7
76-100	Rice University		100.0
76-100	RMIT University		72.5
76-100	Shandong University of Science and Technology		81.7
76-100	Shanghai University		70.1
76-100	Shanxi University		79.3
76-100	Stanford University		71.4
76-100	Sungkyunkwan University		71.8
76-100	Swiss Federal Institute of Technology Lausanne		61.0
