1	Harbin Institute of Technology	282.8	100.0
2	Beihang University	258.9	92.6
3	Zhejiang University	255.4	87.8
4	Tsinghua University	251.0	88.4
5	Jilin University	239.3	76.6
6	Nanyang Technological University	233.5	68.6
7	Southeast University	233.2	75.3
8	Huazhong University of Science and Technology	232.1	76.6
9	Xi'an Jiaotong University	222.8	74.5
10	Dalian University of Technology	220.9	72.2
11	Northwestern Polytechnical University	217.4	66.0
12	Northeastern University (Shenyang)	216.3	69.2
13	Tianjin University	215.6	71.2
14	Chongqing University	214.5	66.1
15	Shanghai Jiao Tong University	213.5	71.1
16	Wuhan University	212.7	71.1
17	Beijing Institute of Technology	209.5	67.6
18	University of Electronic Science and Technology of China	209.3	64.4
19	Nanjing University of Aeronautics and Astronautics	208.6	65.4
20	Aalborg University	206.8	44.8
21	King Abdulaziz University	198.4	39.3
22	Hanyang University	196.1	54.1
22	National University of Singapore	196.1	54.7
24	Massachusetts Institute of Technology (MIT)	193.3	50.9
25	Central South University	192.7	55.0
26	South China University of Technology	190.6	52.0
27	Hunan University	190.1	51.0
28	Seoul National University	189.4	55.2
29	The Hong Kong Polytechnic University	188.6	54.7
30	University of Science and Technology of China	187.2	58.8
31	Tongji University	186.8	52.7
32	The University of New South Wales	186.5	46.3
33	City University of Hong Kong	186.0	46.7
34	University of Jinan	185.9	45.1
35	Korea University	185.7	50.1
36	University of Malaya	185.6	40.0
37	National University of Defense Technology	185.4	61.5
38	Beijing Jiaotong University	182.8	50.9
39	University of Technology Sydney	182.6	40.0
40	Harvard University	182.5	44.5
41	Korea Advanced Institute of Science and Technology	182.1	55.3
42	ETH Zurich	181.5	41.9
43	The University of Auckland	180.6	32.0
43	University of Alberta	180.6	47.4
45	Polytechnic University of Catalonia	180.5	51.5
46	INHA University	179.3	47.5
47	Southwest University	179.2	47.2
48	Polytechnic University of Madrid	179.0	54.9
49	Hefei University of Technology	178.3	50.6
50	University of Houston	178.2	41.5
51-75	Beijing University of Chemical Technology		41.3
51-75	Chonnam National University		32.2
51-75	Harbin Engineering University		54.4
51-75	Imperial College London		40.3
51-75	Isfahan University of Technology		38.2
51-75	Islamic Azad University		41.9
51-75	Jiangnan University		41.6
51-75	Jiangsu University		41.6
51-75	Kyungpook National University		44.8
51-75	Nanjing University of Science and Technology		52.5
51-75	National Taiwan University		43.8
51-75	Polytechnic University of Milan		47.4
51-75	Purdue University - West Lafayette		40.3
51-75	Shandong University		50.1
51-75	Shenzhen University		47.9
51-75	Southwest Jiaotong University		45.1
51-75	The Ohio State University - Columbus		35.8
51-75	The University of Adelaide		32.0
51-75	The University of Manchester		41.0
51-75	University of Antwerp		29.3
51-75	University of California, San Diego		35.5
51-75	University of Maryland, College Park		37.9
51-75	University of Science and Technology Beijing		46.2
51-75	University of Seville		39.0
51-75	University of Tehran		40.1
51-75	University of Wollongong		34.4
76-100	Georgia Institute of Technology		44.8
76-100	Ghent University		38.0
76-100	Johns Hopkins University		25.5
76-100	Monash University		37.9
76-100	Paris-Saclay University		40.7
76-100	Qatar University		32.6
76-100	Qingdao University of Science and Technology		36.4
76-100	Rice University		23.7
76-100	RMIT University		39.5
76-100	Shandong University of Science and Technology		37.0
76-100	Shanghai University		41.6
76-100	Shanxi University		38.5
76-100	Stanford University		39.3
76-100	Sungkyunkwan University		40.9
76-100	Swiss Federal Institute of Technology Lausanne		44.1
76-100	The University of Tokyo		50.4
76-100	Universiti Teknologi Malaysia		36.9
76-100	University of Bologna		35.3
76-100	University of California, Berkeley		40.7
76-100	University of L'Aquila		27.6
76-100	University of Michigan-Ann Arbor		44.9
