1	Massachusetts Institute of Technology (MIT)	355.4	95.1
2	Georgia Institute of Technology	342.1	97.1
3	University of California, Berkeley	340.9	92.3
4	Harvard University	334.4	97.1
5	Northwestern University	331.4	89.4
6	University of Cambridge	322.9	87.2
7	Stanford University	316.1	100.0
8	Tsinghua University	296.4	86.2
9	Nanyang Technological University	296.2	97.7
10	University of California, Los Angeles	293.7	95.8
11	University of Illinois at Urbana-Champaign	281.5	77.2
12	Peking University	278.7	90.7
13	University of Science and Technology of China	277.5	89.2
14	Pennsylvania State University - University Park	268.4	85.9
15	National University of Singapore	264.5	90.6
16	Soochow University (China)	260.6	92.9
17	Imperial College London	255.6	82.9
18	Zhejiang University	249.3	84.6
19	University of Michigan-Ann Arbor	243.9	85.0
20	Shanghai Jiao Tong University	242.1	80.8
21	Huazhong University of Science and Technology	238.6	88.0
22	Tianjin University	238.1	81.2
23	Nanjing University	234.9	85.7
24	University of California, San Diego	234.7	84.7
25	Fudan University	233.7	90.6
26	King Abdullah University of Science and Technology	232.7	100.0
27	University of Oxford	231.7	89.1
28	South China University of Technology	230.1	84.6
29	Cornell University	230.0	84.8
30	The University of Texas at Austin	229.8	91.3
30	University of Chicago	229.8	83.8
32	Jilin University	229.7	81.3
33	Ulsan National Institute of Science and Technology	228.2	98.0
34	Beihang University	228.0	77.9
35	Xi'an Jiaotong University	226.8	81.4
36	Princeton University	225.1	79.1
37	Seoul National University	224.5	75.8
38	Nankai University	223.1	99.1
39	Sungkyunkwan University	221.7	75.8
40	Swiss Federal Institute of Technology Lausanne	220.1	92.0
41	City University of Hong Kong	218.6	96.1
42	Korea Advanced Institute of Science and Technology	218.0	78.0
43	ETH Zurich	215.5	82.0
44	Harbin Institute of Technology	215.0	75.2
45	University of California, Riverside	213.8	83.1
46	Wuhan University	211.8	87.7
47	University of Massachusetts Amherst	211.0	84.1
48	The Hong Kong University of Science and Technology	209.9	100.0
48	University of California, Santa Barbara	209.9	82.5
50	Sun Yat-sen University	209.7	88.3
51-75	Beijing Institute of Technology		84.2
51-75	Beijing University of Chemical Technology		89.4
51-75	California Institute of Technology		85.1
51-75	Carnegie Mellon University		83.6
51-75	Central South University		81.7
51-75	Karlsruhe Institute of Technology (KIT)		74.2
51-75	Monash University		88.8
51-75	NanJing Tech University		81.2
51-75	Northwestern Polytechnical University		77.6
51-75	Paris-Saclay University		66.2
