1	Massachusetts Institute of Technology (MIT)	355.4	80.1
2	Georgia Institute of Technology	342.1	80.3
3	University of California, Berkeley	340.9	80.2
4	Harvard University	334.4	84.2
5	Northwestern University	331.4	75.1
6	University of Cambridge	322.9	88.8
7	Stanford University	316.1	78.1
8	Tsinghua University	296.4	56.0
9	Nanyang Technological University	296.2	86.9
10	University of California, Los Angeles	293.7	80.0
11	University of Illinois at Urbana-Champaign	281.5	70.0
12	Peking University	278.7	57.0
13	University of Science and Technology of China	277.5	53.3
14	Pennsylvania State University - University Park	268.4	74.4
15	National University of Singapore	264.5	84.5
16	Soochow University (China)	260.6	58.3
17	Imperial College London	255.6	84.1
18	Zhejiang University	249.3	60.0
19	University of Michigan-Ann Arbor	243.9	72.2
20	Shanghai Jiao Tong University	242.1	58.6
21	Huazhong University of Science and Technology	238.6	53.6
22	Tianjin University	238.1	51.2
23	Nanjing University	234.9	55.9
24	University of California, San Diego	234.7	71.0
25	Fudan University	233.7	57.5
26	King Abdullah University of Science and Technology	232.7	88.2
27	University of Oxford	231.7	85.0
28	South China University of Technology	230.1	49.6
29	Cornell University	230.0	68.9
30	The University of Texas at Austin	229.8	71.0
30	University of Chicago	229.8	73.4
32	Jilin University	229.7	48.2
33	Ulsan National Institute of Science and Technology	228.2	60.1
34	Beihang University	228.0	51.7
35	Xi'an Jiaotong University	226.8	58.8
36	Princeton University	225.1	75.0
37	Seoul National University	224.5	56.5
38	Nankai University	223.1	51.1
39	Sungkyunkwan University	221.7	53.9
40	Swiss Federal Institute of Technology Lausanne	220.1	86.6
41	City University of Hong Kong	218.6	62.1
42	Korea Advanced Institute of Science and Technology	218.0	56.1
43	ETH Zurich	215.5	84.0
44	Harbin Institute of Technology	215.0	51.5
45	University of California, Riverside	213.8	72.4
46	Wuhan University	211.8	52.4
47	University of Massachusetts Amherst	211.0	74.8
48	The Hong Kong University of Science and Technology	209.9	58.7
48	University of California, Santa Barbara	209.9	70.7
50	Sun Yat-sen University	209.7	52.4
51-75	Beijing Institute of Technology		51.3
51-75	Beijing University of Chemical Technology		51.2
51-75	California Institute of Technology		72.0
51-75	Carnegie Mellon University		63.7
51-75	Central South University		50.6
51-75	Karlsruhe Institute of Technology (KIT)		79.8
51-75	Monash University		88.5
51-75	NanJing Tech University		56.0
51-75	Northwestern Polytechnical University		48.9
51-75	Paris-Saclay University		78.4
51-75	Pohang University of Science and Technology		61.8
51-75	Rice University		80.7
51-75	Shenzhen University		62.4
51-75	Sorbonne University		80.9
51-75	The Hong Kong Polytechnic University		51.4
51-75	The University of Tokyo		63.5
51-75	Tokyo Institute of Technology		61.2
51-75	University of Houston		80.0
51-75	University of Science and Technology Beijing		52.7
51-75	University of Toronto		77.1
51-75	University of Washington		77.9
51-75	University of Wisconsin - Madison		68.4
51-75	University of Wollongong		91.4
51-75	Weizmann Institute of Science		85.1
