1	Massachusetts Institute of Technology (MIT)	355.4	71.5
2	Georgia Institute of Technology	342.1	70.4
3	University of California, Berkeley	340.9	63.9
4	Harvard University	334.4	55.6
5	Northwestern University	331.4	62.3
6	University of Cambridge	322.9	63.2
7	Stanford University	316.1	63.2
8	Tsinghua University	296.4	100.0
9	Nanyang Technological University	296.2	81.1
10	University of California, Los Angeles	293.7	49.9
11	University of Illinois at Urbana-Champaign	281.5	53.1
12	Peking University	278.7	81.3
13	University of Science and Technology of China	277.5	88.4
14	Pennsylvania State University - University Park	268.4	56.0
15	National University of Singapore	264.5	73.4
16	Soochow University (China)	260.6	78.4
17	Imperial College London	255.6	60.2
18	Zhejiang University	249.3	80.5
19	University of Michigan-Ann Arbor	243.9	54.6
20	Shanghai Jiao Tong University	242.1	83.4
21	Huazhong University of Science and Technology	238.6	78.2
22	Tianjin University	238.1	76.9
23	Nanjing University	234.9	69.8
24	University of California, San Diego	234.7	45.2
25	Fudan University	233.7	68.9
26	King Abdullah University of Science and Technology	232.7	50.6
27	University of Oxford	231.7	53.1
28	South China University of Technology	230.1	81.6
29	Cornell University	230.0	42.6
30	The University of Texas at Austin	229.8	49.3
30	University of Chicago	229.8	68.4
32	Jilin University	229.7	77.6
33	Ulsan National Institute of Science and Technology	228.2	53.2
34	Beihang University	228.0	67.0
35	Xi'an Jiaotong University	226.8	77.4
36	Princeton University	225.1	33.4
37	Seoul National University	224.5	69.1
38	Nankai University	223.1	56.4
39	Sungkyunkwan University	221.7	63.7
40	Swiss Federal Institute of Technology Lausanne	220.1	56.9
41	City University of Hong Kong	218.6	58.6
42	Korea Advanced Institute of Science and Technology	218.0	64.9
43	ETH Zurich	215.5	58.4
44	Harbin Institute of Technology	215.0	88.3
45	University of California, Riverside	213.8	31.9
46	Wuhan University	211.8	60.5
47	University of Massachusetts Amherst	211.0	31.5
48	The Hong Kong University of Science and Technology	209.9	49.4
48	University of California, Santa Barbara	209.9	41.9
50	Sun Yat-sen University	209.7	59.5
51-75	Beijing Institute of Technology		57.9
51-75	Beijing University of Chemical Technology		57.9
51-75	California Institute of Technology		35.6
51-75	Carnegie Mellon University		32.9
51-75	Central South University		71.4
51-75	Karlsruhe Institute of Technology (KIT)		56.7
51-75	Monash University		52.4
51-75	NanJing Tech University		60.6
51-75	Northwestern Polytechnical University		73.3
51-75	Paris-Saclay University		52.5
51-75	Pohang University of Science and Technology		57.4
51-75	Rice University		44.0
51-75	Shenzhen University		56.1
51-75	Sorbonne University		50.9
51-75	The Hong Kong Polytechnic University		53.6
51-75	The University of Tokyo		60.2
51-75	Tokyo Institute of Technology		43.9
51-75	University of Houston		32.5
51-75	University of Science and Technology Beijing		71.8
51-75	University of Toronto		45.0
51-75	University of Washington		45.7
51-75	University of Wisconsin - Madison		41.8
51-75	University of Wollongong		46.6
51-75	Weizmann Institute of Science		27.5
51-75	Wuhan University of Technology		63.2
76-100	Columbia University		38.4
76-100	Hunan University		52.4
76-100	King Abdulaziz University		42.1
76-100	Korea University		60.3
76-100	Nanjing University of Science and Technology		50.8
76-100	North Carolina State University - Raleigh		48.0
76-100	Shandong University		65.3
76-100	Sichuan University		69.0
76-100	Southeast University		58.4
76-100	Southern University of Science and Technology		44.7
76-100	The Chinese University of Hong Kong		39.2
76-100	The University of New South Wales		54.6
76-100	The University of Queensland		45.4
76-100	Tongji University		56.3
76-100	TU Dresden		51.9
76-100	University College London		48.5
76-100	University of Electronic Science and Technology of China		54.1
76-100	University of Maryland, College Park		43.7
76-100	University of Nebraska - Lincoln		35.3
76-100	University of North Carolina at Chapel Hill		30.2
76-100	University of Pennsylvania		39.6
76-100	University of Tennessee - Knoxville		47.5
76-100	Xiamen University		55.8
76-100	Yonsei University		58.8
76-100	Zhengzhou University		50.1
101-150	Aalto University		40.5
101-150	Autonomous University of Barcelona		36.3
101-150	Case Western Reserve University		32.2
101-150	Chongqing University		59.9
101-150	Dalian University of Technology		60.9
101-150	Delft University of Technology		47.5
101-150	Donghua University		57.5
101-150	Drexel University		31.2
101-150	Duke University		31.0
101-150	East China Normal University		39.3
101-150	East China University of Science and Technology		48.2
101-150	Eindhoven University of Technology		38.8
101-150	Griffith University		23.5
101-150	Hanyang University		55.6
101-150	Johns Hopkins University		35.7
101-150	KU Leuven		43.8
101-150	Kyoto University		54.4
101-150	Kyung Hee University		42.5
101-150	Kyushu University		41.0
101-150	Linkoping University		36.7
101-150	Nanjing University of Posts and Telecommunications		35.6
101-150	National Taiwan University		52.6
101-150	National Tsing Hua University		44.9
101-150	PSL University		46.4
101-150	Purdue University - West Lafayette		49.5
101-150	Queensland University of Technology		35.3
101-150	Rensselaer Polytechnic Institute		29.6
101-150	RMIT University		39.8
101-150	RWTH Aachen University		45.7
101-150	Shaanxi Normal University		36.2
101-150	Shanghai University		57.0
101-150	ShanghaiTech University		26.2
101-150	Technical University of Denmark		45.1
