1	Massachusetts Institute of Technology (MIT)	355.4	82.0
2	Georgia Institute of Technology	342.1	78.7
3	University of California, Berkeley	340.9	73.7
4	Harvard University	334.4	80.3
5	Northwestern University	331.4	64.7
6	University of Cambridge	322.9	70.3
7	Stanford University	316.1	76.0
8	Tsinghua University	296.4	99.1
9	Nanyang Technological University	296.2	100.0
10	University of California, Los Angeles	293.7	59.6
11	University of Illinois at Urbana-Champaign	281.5	46.4
12	Peking University	278.7	95.4
13	University of Science and Technology of China	277.5	89.2
14	Pennsylvania State University - University Park	268.4	50.3
15	National University of Singapore	264.5	83.6
16	Soochow University (China)	260.6	77.7
17	Imperial College London	255.6	57.0
18	Zhejiang University	249.3	72.2
19	University of Michigan-Ann Arbor	243.9	45.1
20	Shanghai Jiao Tong University	242.1	66.2
21	Huazhong University of Science and Technology	238.6	61.7
22	Tianjin University	238.1	69.8
23	Nanjing University	234.9	68.1
24	University of California, San Diego	234.7	47.2
25	Fudan University	233.7	62.6
26	King Abdullah University of Science and Technology	232.7	64.4
27	University of Oxford	231.7	45.1
28	South China University of Technology	230.1	53.9
29	Cornell University	230.0	45.6
30	The University of Texas at Austin	229.8	47.6
30	University of Chicago	229.8	62.9
32	Jilin University	229.7	61.1
33	Ulsan National Institute of Science and Technology	228.2	65.0
34	Beihang University	228.0	72.7
35	Xi'an Jiaotong University	226.8	56.3
36	Princeton University	225.1	36.3
37	Seoul National University	224.5	68.4
38	Nankai University	223.1	57.3
39	Sungkyunkwan University	221.7	71.4
40	Swiss Federal Institute of Technology Lausanne	220.1	53.9
41	City University of Hong Kong	218.6	51.4
42	Korea Advanced Institute of Science and Technology	218.0	63.8
43	ETH Zurich	215.5	58.3
44	Harbin Institute of Technology	215.0	41.2
45	University of California, Riverside	213.8	29.5
46	Wuhan University	211.8	53.2
47	University of Massachusetts Amherst	211.0	41.7
48	The Hong Kong University of Science and Technology	209.9	48.8
48	University of California, Santa Barbara	209.9	43.9
50	Sun Yat-sen University	209.7	51.4
51-75	Beijing Institute of Technology		46.8
51-75	Beijing University of Chemical Technology		46.8
51-75	California Institute of Technology		28.8
51-75	Carnegie Mellon University		31.3
51-75	Central South University		35.3
51-75	Karlsruhe Institute of Technology (KIT)		53.2
51-75	Monash University		43.9
51-75	NanJing Tech University		55.6
51-75	Northwestern Polytechnical University		37.9
51-75	Paris-Saclay University		35.3
51-75	Pohang University of Science and Technology		57.3
51-75	Rice University		46.4
51-75	Shenzhen University		51.4
51-75	Sorbonne University		36.9
51-75	The Hong Kong Polytechnic University		45.6
51-75	The University of Tokyo		57.3
51-75	Tokyo Institute of Technology		31.9
51-75	University of Houston		28.2
51-75	University of Science and Technology Beijing		43.4
51-75	University of Toronto		50.3
51-75	University of Washington		47.2
51-75	University of Wisconsin - Madison		37.9
51-75	University of Wollongong		41.2
51-75	Weizmann Institute of Science		33.6
51-75	Wuhan University of Technology		39.8
76-100	Columbia University		46.4
76-100	Hunan University		37.4
76-100	King Abdulaziz University		34.7
76-100	Korea University		41.7
76-100	Nanjing University of Science and Technology		38.4
76-100	North Carolina State University - Raleigh		46.4
76-100	Shandong University		35.8
76-100	Sichuan University		36.9
76-100	Southeast University		38.9
76-100	Southern University of Science and Technology		42.1
76-100	The Chinese University of Hong Kong		39.3
76-100	The University of New South Wales		35.8
76-100	The University of Queensland		36.3
76-100	Tongji University		40.3
76-100	TU Dresden		53.6
76-100	University College London		40.3
76-100	University of Electronic Science and Technology of China		44.3
76-100	University of Maryland, College Park		45.1
76-100	University of Nebraska - Lincoln		39.8
76-100	University of North Carolina at Chapel Hill		44.7
76-100	University of Pennsylvania		46.8
76-100	University of Tennessee - Knoxville		29.5
76-100	Xiamen University		41.7
76-100	Yonsei University		45.6
76-100	Zhengzhou University		37.4
101-150	Aalto University		29.5
101-150	Autonomous University of Barcelona		34.7
101-150	Case Western Reserve University		28.2
101-150	Chongqing University		25.3
101-150	Dalian University of Technology		30.7
101-150	Delft University of Technology		35.8
101-150	Donghua University		32.5
101-150	Drexel University		31.9
101-150	Duke University		34.7
101-150	East China Normal University		31.3
101-150	East China University of Science and Technology		33.6
101-150	Eindhoven University of Technology		37.4
101-150	Griffith University		30.7
101-150	Hanyang University		34.7
101-150	Johns Hopkins University		33.6
101-150	KU Leuven		25.3
101-150	Kyoto University		34.2
101-150	Kyung Hee University		29.5
101-150	Kyushu University		38.4
101-150	Linkoping University		40.3
101-150	Nanjing University of Posts and Telecommunications		37.9
101-150	National Taiwan University		40.7
101-150	National Tsing Hua University		34.7
101-150	PSL University		31.9
101-150	Purdue University - West Lafayette		39.3
101-150	Queensland University of Technology		31.3
101-150	Rensselaer Polytechnic Institute		20.4
101-150	RMIT University		23.0
101-150	RWTH Aachen University		34.2
101-150	Shaanxi Normal University		31.9
101-150	Shanghai University		25.3
101-150	ShanghaiTech University		34.7
101-150	Technical University of Denmark		28.2
101-150	Technical University of Munich		34.2
101-150	The Australian National University		29.5
101-150	The University of Adelaide		33.6
101-150	The University of Hong Kong		31.3
101-150	The University of Manchester		30.7
101-150	The University of Melbourne		26.8
101-150	Tohoku University		41.7
101-150	Université Grenoble Alpes		37.4
101-150	University of Bristol		23.8
101-150	University of Colorado at Boulder		37.9
101-150	University of Erlangen-Nuremberg		30.1
101-150	University of Groningen		34.7
101-150	University of Munich		29.5
101-150	University of Southern California		23.8
101-150	University of Technology Sydney		25.3
101-150	University of Waterloo		34.2
101-150	Yale University		27.5
151-200	Arizona State University		33.1
151-200	Central China Normal University		16.3
151-200	Chalmers University of Technology		28.2
151-200	Curtin University		23.0
151-200	Deakin University		15.0
151-200	Fuzhou University		21.3
151-200	Iowa State University		30.7
151-200	Jiangsu University		17.4
151-200	KTH Royal Institute of Technology		23.8
151-200	Lanzhou University		23.0
151-200	Nanjing Normal University		23.8
151-200	Nanjing University of Aeronautics and Astronautics		24.6
151-200	National Yang Ming Chiao Tung University		35.3
151-200	Northeast Normal University		26.8
