1	Harvard University	301.6	71.7
2	Stanford University	257.3	69.7
3	Johns Hopkins University	254.4	70.8
4	King's College London	235.8	86.3
5	University of Oxford	228.3	84.9
6	University College London	223.9	87.4
7	New York University	222.8	62.8
8	University of Toronto	218.5	78.0
9	Utrecht University	215.5	73.7
10	University of California, San Francisco	213.6	62.8
11	Mayo Clinic Alix School of Medicine	207.5	57.4
12	University of California, Los Angeles	206.2	66.8
13	University of Pennsylvania	204.5	62.0
14	University of Minnesota, Twin Cities	203.7	62.2
15	ETH Zurich	202.3	82.6
16	Duke University	201.6	63.1
17	Heidelberg University	199.4	71.7
18	University of Wisconsin - Madison	195.8	57.4
19	University of Zurich	195.5	79.6
20	Radboud University Nijmegen	194.9	88.5
21	Technical University of Munich	192.3	75.1
22	Massachusetts Institute of Technology (MIT)	191.8	80.1
23	Vanderbilt University	191.5	55.8
24	University of California, San Diego	190.3	66.0
25	Leiden University	187.7	82.3
26	The University of Texas Southwestern Medical Center at Dallas	186.1	63.2
27	Imperial College London	183.0	82.2
28	Case Western Reserve University	182.4	67.7
29	University of Cambridge	181.7	85.3
30	University of Lausanne	179.9	89.1
31	University of Freiburg	179.7	82.8
32	University of Tuebingen	179.0	71.5
33	Yale University	178.9	65.3
34	Medical University of Vienna	178.7	85.1
35	University of California, Berkeley	178.5	71.6
36	McGill University	176.6	84.8
37	Humboldt University of Berlin	176.4	73.6
38	Free University Berlin	176.2	73.4
39	Aarhus University	175.9	86.6
40	University of Washington	175.0	62.1
41	Cornell University	174.6	65.1
42	Northwestern University	174.2	62.4
43	Charite - Universitats Medizin Berlin	173.4	72.7
43	University of Amsterdam	173.4	75.7
45	University of Munich	173.3	77.4
46	University of Southern California	172.5	66.3
47	University of Copenhagen	171.8	82.4
48	Washington University in St. Louis	171.5	56.1
49	Swiss Federal Institute of Technology Lausanne	170.9	89.9
50	Maastricht University	170.1	87.7
51-75	Emory University		56.0
51-75	Erasmus University Rotterdam		79.4
51-75	Icahn School of Medicine at Mount Sinai		70.2
51-75	KU Leuven		90.4
51-75	RWTH Aachen University		76.0
51-75	Seoul National University		47.7
51-75	Technical University of Denmark		87.4
51-75	The University of Melbourne		81.1
51-75	The University of Queensland		81.0
51-75	The University of Texas M. D. Anderson Cancer Center		62.3
51-75	University of Basel		88.9
51-75	University of Bern		86.0
51-75	University of British Columbia		77.9
51-75	University of Chicago		62.3
51-75	University of Duisburg-Essen		73.1
51-75	University of Erlangen-Nuremberg		74.5
51-75	University of Geneva		84.3
51-75	University of Hamburg		77.9
51-75	University of Michigan-Ann Arbor		53.7
51-75	University of North Carolina at Chapel Hill		72.7
51-75	University of Nottingham		77.9
51-75	University of Pittsburgh		59.5
51-75	University of Virginia		59.0
51-75	University of Wuerzburg		72.6
51-75	Vrije Universiteit Amsterdam		80.4
76-100	Cardiff University		85.1
76-100	Columbia University		62.5
76-100	Eindhoven University of Technology		78.9
76-100	Karolinska Institute		86.3
76-100	Lund University		83.4
76-100	Oregon Health and Science University		60.7
76-100	Paris-Saclay University		70.0
76-100	Pontifical Catholic University of Chile		100.0
76-100	Sapienza University of Rome		80.2
76-100	Sorbonne University		73.0
76-100	St George's, University of London		77.0
76-100	The University of Calgary		73.0
76-100	The University of Sheffield		74.5
76-100	Tsinghua University		71.9
76-100	University of Antwerp		81.1
76-100	University of Cologne		70.8
76-100	University of Iowa		60.5
76-100	University of Maryland, Baltimore		60.8
76-100	University of Montreal		80.2
76-100	University of Padua		74.9
76-100	University of Sydney		83.3
76-100	University of Utah		50.8
76-100	Uppsala University		76.0
76-100	Western University		72.0
76-100	Yonsei University		46.5
101-150	Aalto University		86.5
101-150	Aix Marseille University		72.9
101-150	Catholic University of Louvain		79.7
101-150	Delft University of Technology		72.3
101-150	Ghent University		79.3
101-150	Goethe University Frankfurt		79.6
101-150	Heinrich Heine University Duesseldorf		76.0
101-150	Korea Advanced Institute of Science and Technology		48.8
101-150	Linkoping University		79.5
101-150	Medical University of Graz		85.9
101-150	Medical University of South Carolina		78.3
101-150	PSL University		65.9
101-150	Queen Mary University of London		84.8
101-150	Southern Medical University		59.5
101-150	Stony Brook University		67.0
101-150	Sungkyunkwan University		41.7
101-150	The Chinese University of Hong Kong		63.2
101-150	The Ohio State University - Columbus		53.5
101-150	The University of Edinburgh		84.8
101-150	The University of Manchester		79.8
101-150	The University of Texas at Dallas		62.2
101-150	University at Buffalo, the State University of New York		72.4
101-150	University of Alberta		70.5
101-150	University of Barcelona		82.3
101-150	University of Bergen		89.7
101-150	University of Birmingham		79.7
101-150	University of Bologna		75.0
101-150	University of Bonn		63.7
101-150	University of Bordeaux		80.4
101-150	University of California, Irvine		70.3
101-150	University of Colorado at Denver		69.1
101-150	University of Goettingen		65.6
101-150	University of Groningen		80.3
101-150	University of Illinois at Chicago		55.8
101-150	University of Leeds		76.4
101-150	University of Liege		93.5
101-150	University of Miami		58.5
101-150	University of Oslo		79.8
101-150	University of Ottawa		76.4
101-150	University of Paris		64.3
101-150	University of Pavia		84.7
101-150	University of Rochester		70.4
101-150	University of Rostock		73.2
101-150	University of Sherbrooke		80.5
101-150	University of Turin		67.7
101-150	University of Turku		82.7
101-150	University of Warwick		87.5
101-150	University Paris Est Creteil		64.9
101-150	Wayne State University		67.7
101-150	Zhejiang University		59.9
151-200	Autonomous University of Barcelona		78.2
151-200	Baylor College of Medicine		53.0
151-200	Boston University		70.5
151-200	Brown University		58.8
151-200	Capital Medical University		61.5
151-200	Claude Bernard University Lyon 1		75.0
151-200	Hannover Medical School		62.7
151-200	Huazhong University of Science and Technology		63.4
151-200	Indiana University Bloomington		55.3
151-200	Korea University		67.5
151-200	Medical College of Wisconsin		50.5
151-200	Medical University of Innsbruck		88.4
151-200	Monash University		81.2
151-200	National University of Singapore		87.4
151-200	Newcastle University		78.6
151-200	Norwegian University of Science and Technology - NTNU		70.0
151-200	Peking University		53.7
151-200	Pompeu Fabra University		93.0
151-200	Shanghai Jiao Tong University		62.0
151-200	Tel Aviv University		66.9
151-200	The Hebrew University of Jerusalem		81.2
151-200	The University of Glasgow		73.8
151-200	The University of Hong Kong		74.1
151-200	The University of New Mexico - Albuquerque		60.2
151-200	The University of New South Wales		75.8
151-200	TU Dresden		75.7
151-200	Umea University		80.1
151-200	Université Grenoble Alpes		71.9
151-200	Université libre de Bruxelles (ULB)		83.4
151-200	University of Alabama at Birmingham		52.4
151-200	University of Arizona		55.0
151-200	University of California, Davis		62.5
151-200	University of Cincinnati		53.5
151-200	University of Colorado Health Science Center		46.7
151-200	University of Eastern Finland		81.0
151-200	University of Electronic Science and Technology of China		77.8
151-200	University of Florida		61.8
151-200	University of Gothenburg		74.1
151-200	University of Illinois at Urbana-Champaign		57.1
151-200	University of Kiel		76.0
151-200	University of Leipzig		73.4
151-200	University of Magdeburg		70.7
151-200	University of Milan		68.6
151-200	University of Muenster		68.6
151-200	University of Rennes 1		71.2
151-200	University of South Florida		64.1
151-200	University of Trieste		74.9
151-200	University of Ulm		68.0
151-200	University of Ulsan		46.3
151-200	University of Verona		75.5
151-200	Vrije Universiteit Brussel (VUB)		86.8
201-300	Albert Einstein College of Medicine		51.8
201-300	Aristotle University of Thessaloniki		77.9
201-300	Beijing Normal University		76.2
201-300	Brescia University		72.2
201-300	Catholic University of the Sacred Heart		71.3
201-300	Chang Gung University		59.5
201-300	Charles University in Prague		73.7
201-300	Dartmouth College		58.6
201-300	Fudan University		48.0
201-300	Gachon University		42.7
201-300	Georgia Institute of Technology		54.4
201-300	Guangzhou Medical University		50.5
201-300	Hokkaido University		51.5
201-300	INSA Lyon		81.6
201-300	Kobe University		57.1
201-300	KTH Royal Institute of Technology		79.0
201-300	Kyoto University		44.3
201-300	Kyung Hee University		43.8
201-300	Laval University		72.5
201-300	Mansoura University		72.1
201-300	McMaster University		74.7
201-300	Michigan State University		64.9
201-300	Nanjing University		64.3
201-300	Nanyang Technological University		85.4
201-300	National and Kapodistrian University of Athens		72.4
201-300	National Taiwan University		59.2
201-300	National Yang Ming Chiao Tung University		62.7
201-300	North Carolina State University - Raleigh		64.8
201-300	Paracelsus Private Medical University		88.7
201-300	Paul Sabatier University (Toulouse 3)		73.6
201-300	Peking Union Medical College		54.5
201-300	Polytechnic University of Milan		88.1
201-300	Purdue University - West Lafayette		59.6
201-300	Queensland University of Technology		71.8
201-300	Rush University		54.3
201-300	Rutgers, The State University of New Jersey - New Brunswick		54.1
201-300	Semmelweis University		84.4
201-300	Shenzhen University		65.6
201-300	Sichuan University		54.0
201-300	Southeast University		62.6
201-300	Stockholm University		95.5
201-300	Sun Yat-sen University		53.9
201-300	Technion-Israel Institute of Technology		73.0
201-300	The George Washington University		54.5
201-300	The University of Adelaide		74.2
201-300	The University of Auckland		90.8
201-300	The University of Dundee		79.8
201-300	The University of Texas at Austin		60.7
201-300	The University of Texas Health Science Center at Houston		55.8
201-300	The University of Texas Health Science Center at San Antonio		63.8
201-300	The University of Texas Medical Branch at Galveston		52.2
201-300	The University of Tokyo		51.4
201-300	The University of Western Australia		79.0
201-300	Thomas Jefferson University		59.9
201-300	Tianjin Medical University		54.9
201-300	Trinity College Dublin		84.3
201-300	Uniformed Services University of the Health Sciences - USA		43.5
201-300	Università Della Svizzera Italiana		93.9
201-300	University of Bochum		70.9
201-300	University of Bristol		80.3
201-300	University of Coimbra		77.1
201-300	University of Florence		70.6
201-300	University of Genoa		77.0
201-300	University of Helsinki		80.4
201-300	University of Jena		66.4
201-300	University of Kentucky		56.1
201-300	University of Leicester		74.5
201-300	University of Lisbon		88.7
201-300	University of Liverpool		85.2
201-300	University of Lorraine		64.5
201-300	University of Louisville		63.4
201-300	University of Luebeck		80.6
201-300	University of Mainz		68.7
201-300	University of Marburg		69.4
201-300	University of Massachusetts Medical School - Worcester		63.1
201-300	University of Milano-Bicocca		73.5
201-300	University of Montpellier		69.5
201-300	University of Naples Federico II		65.2
201-300	University of Navarra		71.9
201-300	University of Oulu		83.3
201-300	University of Parma		71.2
201-300	University of Pisa		68.2
201-300	University of Porto		83.9
201-300	University of Roma - Tor Vergata		73.6
201-300	University of Sao Paulo		76.0
201-300	University of Saskatchewan		70.9
201-300	University of Siena		71.7
201-300	University of Southern Denmark		83.7
201-300	University of Strasbourg		61.0
201-300	University of Twente		69.8
201-300	University of Vermont		63.0
201-300	University of Wollongong		83.6
201-300	Virginia Commonwealth University		56.7
201-300	Vita-Salute San Raffaele University		71.0
201-300	Wake Forest University		59.5
201-300	Xiamen University		55.2
201-300	Xidian University		59.4
