1	Harvard University	301.6	100.0
2	Stanford University	257.3	62.0
3	Johns Hopkins University	254.4	68.7
4	King's College London	235.8	55.4
5	University of Oxford	228.3	52.4
6	University College London	223.9	64.8
7	New York University	222.8	50.5
8	University of Toronto	218.5	65.9
9	Utrecht University	215.5	54.0
10	University of California, San Francisco	213.6	51.7
11	Mayo Clinic Alix School of Medicine	207.5	57.6
12	University of California, Los Angeles	206.2	54.3
13	University of Pennsylvania	204.5	56.7
14	University of Minnesota, Twin Cities	203.7	38.9
15	ETH Zurich	202.3	36.6
16	Duke University	201.6	50.5
17	Heidelberg University	199.4	52.5
18	University of Wisconsin - Madison	195.8	46.7
19	University of Zurich	195.5	48.0
20	Radboud University Nijmegen	194.9	47.8
21	Technical University of Munich	192.3	48.8
22	Massachusetts Institute of Technology (MIT)	191.8	33.7
23	Vanderbilt University	191.5	41.4
24	University of California, San Diego	190.3	42.9
25	Leiden University	187.7	46.7
26	The University of Texas Southwestern Medical Center at Dallas	186.1	40.4
27	Imperial College London	183.0	43.4
28	Case Western Reserve University	182.4	32.5
29	University of Cambridge	181.7	37.7
30	University of Lausanne	179.9	36.6
31	University of Freiburg	179.7	35.3
32	University of Tuebingen	179.0	44.8
33	Yale University	178.9	45.9
34	Medical University of Vienna	178.7	45.6
35	University of California, Berkeley	178.5	28.6
36	McGill University	176.6	41.3
37	Humboldt University of Berlin	176.4	47.9
38	Free University Berlin	176.2	47.4
39	Aarhus University	175.9	39.5
40	University of Washington	175.0	46.1
41	Cornell University	174.6	44.9
42	Northwestern University	174.2	40.3
43	Charite - Universitats Medizin Berlin	173.4	45.5
43	University of Amsterdam	173.4	46.9
45	University of Munich	173.3	49.0
46	University of Southern California	172.5	38.8
47	University of Copenhagen	171.8	43.8
48	Washington University in St. Louis	171.5	47.2
49	Swiss Federal Institute of Technology Lausanne	170.9	27.6
50	Maastricht University	170.1	42.4
51-75	Emory University		49.5
51-75	Erasmus University Rotterdam		46.2
51-75	Icahn School of Medicine at Mount Sinai		39.3
51-75	KU Leuven		43.3
51-75	RWTH Aachen University		33.9
51-75	Seoul National University		49.4
51-75	Technical University of Denmark		20.5
51-75	The University of Melbourne		32.5
51-75	The University of Queensland		33.0
51-75	The University of Texas M. D. Anderson Cancer Center		54.4
51-75	University of Basel		32.2
51-75	University of Bern		34.3
51-75	University of British Columbia		38.8
51-75	University of Chicago		33.0
51-75	University of Duisburg-Essen		34.6
51-75	University of Erlangen-Nuremberg		36.2
51-75	University of Geneva		35.2
51-75	University of Hamburg		36.9
51-75	University of Michigan-Ann Arbor		49.3
51-75	University of North Carolina at Chapel Hill		39.6
51-75	University of Nottingham		28.3
51-75	University of Pittsburgh		42.8
51-75	University of Virginia		30.8
51-75	University of Wuerzburg		29.5
51-75	Vrije Universiteit Amsterdam		44.5
76-100	Cardiff University		24.9
76-100	Columbia University		41.3
76-100	Eindhoven University of Technology		20.7
76-100	Karolinska Institute		35.8
76-100	Lund University		31.2
76-100	Oregon Health and Science University		29.7
76-100	Paris-Saclay University		32.1
76-100	Pontifical Catholic University of Chile		17.9
76-100	Sapienza University of Rome		31.7
76-100	Sorbonne University		38.2
76-100	St George's, University of London		20.4
76-100	The University of Calgary		30.9
76-100	The University of Sheffield		22.6
76-100	Tsinghua University		26.5
76-100	University of Antwerp		21.3
76-100	University of Cologne		31.6
76-100	University of Iowa		27.8
76-100	University of Maryland, Baltimore		34.1
76-100	University of Montreal		36.5
76-100	University of Padua		29.0
76-100	University of Sydney		38.4
76-100	University of Utah		33.0
76-100	Uppsala University		27.7
76-100	Western University		34.4
76-100	Yonsei University		41.8
101-150	Aalto University		20.8
101-150	Aix Marseille University		29.7
101-150	Catholic University of Louvain		25.5
101-150	Delft University of Technology		22.8
101-150	Ghent University		30.0
101-150	Goethe University Frankfurt		29.5
101-150	Heinrich Heine University Duesseldorf		31.2
101-150	Korea Advanced Institute of Science and Technology		17.9
101-150	Linkoping University		21.7
101-150	Medical University of Graz		21.0
101-150	Medical University of South Carolina		28.7
101-150	PSL University		21.0
101-150	Queen Mary University of London		22.8
101-150	Southern Medical University		26.6
101-150	Stony Brook University		22.4
101-150	Sungkyunkwan University		36.1
101-150	The Chinese University of Hong Kong		23.9
101-150	The Ohio State University - Columbus		27.8
101-150	The University of Edinburgh		25.9
101-150	The University of Manchester		28.6
101-150	The University of Texas at Dallas		19.0
101-150	University at Buffalo, the State University of New York		20.5
101-150	University of Alberta		26.9
101-150	University of Barcelona		34.6
101-150	University of Bergen		22.8
101-150	University of Birmingham		25.5
101-150	University of Bologna		26.3
101-150	University of Bonn		28.7
101-150	University of Bordeaux		24.8
101-150	University of California, Irvine		29.3
101-150	University of Colorado at Denver		15.4
101-150	University of Goettingen		23.6
101-150	University of Groningen		41.2
101-150	University of Illinois at Chicago		25.7
101-150	University of Leeds		25.4
101-150	University of Liege		21.7
101-150	University of Miami		24.5
101-150	University of Oslo		33.0
101-150	University of Ottawa		31.7
101-150	University of Paris		35.5
101-150	University of Pavia		16.7
101-150	University of Rochester		24.8
