1	Nanyang Technological University	301.1	
2	Tsinghua University	300.5	
3	Peking University	289.1	
4	University of Science and Technology of China	285.2	
5	Soochow University (China)	280.2	
6	Georgia Institute of Technology	272.1	
7	National University of Singapore	271.8	
8	Stanford University	266.4	
9	Massachusetts Institute of Technology (MIT)	263.3	
10	Harvard University	255.6	
11	Zhejiang University	253.1	
12	Fudan University	251.1	
13	Huazhong University of Science and Technology	248.2	
13	University of California, Berkeley	248.2	
15	Nanjing University	243.7	
16	Tianjin University	239.4	
17	Northwestern University	238.1	
18	University of California, Los Angeles	236.7	
19	University of Cambridge	233.8	
20	Shanghai Jiao Tong University	232.8	
21	Jilin University	231.5	
21	Korea Advanced Institute of Science and Technology	231.5	
23	King Abdullah University of Science and Technology	229.6	
24	University of Chicago	228.3	
25	Nankai University	227.4	
26	Seoul National University	226.5	
27	South China University of Technology	225.7	
28	ETH Zurich	223.9	
28	Ulsan National Institute of Science and Technology	223.9	
30	Wuhan University	223.7	
31	Beihang University	223.4	
32	Rice University	222.9	
33	Sungkyunkwan University	222.8	
34	City University of Hong Kong	220.4	
35	The University of Texas at Austin	218.4	
36	Xi'an Jiaotong University	217.7	
37	Swiss Federal Institute of Technology Lausanne	215.0	
38	Sun Yat-sen University	213.8	
39	Shenzhen University	213.5	
40	Beijing University of Chemical Technology	211.1	
41	NanJing Tech University	209.7	
42	The Hong Kong University of Science and Technology	209.2	
43	Wuhan University of Technology	209.1	
44	University of Washington	207.4	
45	Pohang University of Science and Technology	206.5	
46	Harbin Institute of Technology	206.0	
47	University of Oxford	205.9	
48	University of Illinois at Urbana-Champaign	205.7	
49	Korea University	205.3	
50	Imperial College London	205.1	
51-75	Beijing Institute of Technology		
51-75	Columbia University		
51-75	Hunan University		
51-75	Monash University		
51-75	North Carolina State University - Raleigh		
51-75	Pennsylvania State University - University Park		
51-75	Shandong University		
51-75	Sichuan University		
51-75	Southern University of Science and Technology		
51-75	The Chinese University of Hong Kong		
51-75	The Hong Kong Polytechnic University		
51-75	The University of Queensland		
51-75	Tongji University		
51-75	TU Dresden		
51-75	University of California, San Diego		
51-75	University of Electronic Science and Technology of China		
51-75	University of Maryland, College Park		
51-75	University of Michigan-Ann Arbor		
51-75	University of Pennsylvania		
51-75	University of Science and Technology Beijing		
51-75	University of Toronto		
51-75	University of Wollongong		
51-75	Xiamen University		
51-75	Yonsei University		
51-75	Zhengzhou University		
76-100	Central South University		
76-100	Cornell University		
76-100	Dalian University of Technology		
76-100	Donghua University		
76-100	Drexel University		
76-100	Hanyang University		
76-100	Karlsruhe Institute of Technology (KIT)		
76-100	King Abdulaziz University		
76-100	Nanjing University of Science and Technology		
76-100	National Taiwan University		
76-100	Northwestern Polytechnical University		
76-100	Purdue University - West Lafayette		
76-100	Southeast University		
76-100	The Australian National University		
76-100	The University of Adelaide		
76-100	The University of Manchester		
76-100	The University of New South Wales		
76-100	The University of Tokyo		
76-100	Université Grenoble Alpes		
76-100	University College London		
76-100	University of Massachusetts Amherst		
76-100	University of Munich		
76-100	University of Nebraska - Lincoln		
76-100	University of North Carolina at Chapel Hill		
76-100	University of Wisconsin - Madison		
101-150	Autonomous University of Barcelona		
101-150	California Institute of Technology		
101-150	Case Western Reserve University		
101-150	Central China Normal University		
101-150	Chongqing University		
101-150	Curtin University		
101-150	Delft University of Technology		
101-150	Duke University		
101-150	East China Normal University		
101-150	East China University of Science and Technology		
101-150	Eindhoven University of Technology		
101-150	Fuzhou University		
101-150	Griffith University		
101-150	Johns Hopkins University		
101-150	KTH Royal Institute of Technology		
101-150	Kyung Hee University		
101-150	Lanzhou University		
101-150	Linkoping University		
101-150	Nanjing Normal University		
101-150	Nanjing University of Aeronautics and Astronautics		
101-150	Nanjing University of Posts and Telecommunications		
101-150	National Tsing Hua University		
101-150	National Yang Ming Chiao Tung University		
101-150	Paris-Saclay University		
101-150	Qingdao University		
101-150	Queensland University of Technology		
101-150	RWTH Aachen University		
101-150	Shaanxi Normal University		
101-150	Shanghai University		
101-150	Sorbonne University		
101-150	Technical University of Denmark		
101-150	Technical University of Munich		
101-150	The Hebrew University of Jerusalem		
101-150	The University of Hong Kong		
101-150	The University of Melbourne		
101-150	The University of Texas at Dallas		
101-150	University at Buffalo, the State University of New York		
101-150	University of California, Riverside		
101-150	University of California, Santa Barbara		
101-150	University of Colorado at Boulder		
101-150	University of Groningen		
101-150	University of Jinan		
101-150	University of Minnesota, Twin Cities		
101-150	University of Southern California		
101-150	University of Strasbourg		
101-150	University of Technology Sydney		
101-150	University of Tennessee - Knoxville		
101-150	University of Waterloo		
101-150	Vanderbilt University		
101-150	Weizmann Institute of Science		
101-150	Yale University		
151-200	Aalto University		
151-200	Aarhus University		
151-200	Arizona State University		
151-200	Autonomous University of Madrid		
151-200	Beijing Normal University		
151-200	Beijing University of Technology		
151-200	Brown University		
151-200	Carnegie Mellon University		
151-200	Chalmers University of Technology		
151-200	Emory University		
151-200	Ghent University		
151-200	Guangxi University		
151-200	Gwangju Institute of Science and Technology		
151-200	Hubei University		
151-200	Jinan University		
151-200	KU Leuven		
151-200	Kyoto University		
151-200	Kyushu University		
151-200	Lund University		
151-200	Northeastern University (Boston)		
151-200	Polytechnic University of Catalonia		
151-200	Princeton University		
151-200	PSL University		
151-200	Qingdao University of Science and Technology		
151-200	Queen Mary University of London		
