1	Nanyang Technological University	301.1	95.1
2	Tsinghua University	300.5	88.4
3	Peking University	289.1	86.7
4	University of Science and Technology of China	285.2	88.7
5	Soochow University (China)	280.2	92.6
6	Georgia Institute of Technology	272.1	90.4
7	National University of Singapore	271.8	85.2
8	Stanford University	266.4	93.4
9	Massachusetts Institute of Technology (MIT)	263.3	81.2
10	Harvard University	255.6	85.4
11	Zhejiang University	253.1	83.3
12	Fudan University	251.1	84.9
13	Huazhong University of Science and Technology	248.2	86.4
13	University of California, Berkeley	248.2	82.4
15	Nanjing University	243.7	81.4
16	Tianjin University	239.4	87.9
17	Northwestern University	238.1	78.9
18	University of California, Los Angeles	236.7	89.2
19	University of Cambridge	233.8	80.1
20	Shanghai Jiao Tong University	232.8	77.6
21	Jilin University	231.5	81.1
21	Korea Advanced Institute of Science and Technology	231.5	71.4
23	King Abdullah University of Science and Technology	229.6	93.3
24	University of Chicago	228.3	75.1
25	Nankai University	227.4	95.6
26	Seoul National University	226.5	70.0
27	South China University of Technology	225.7	90.1
28	ETH Zurich	223.9	80.7
28	Ulsan National Institute of Science and Technology	223.9	84.6
30	Wuhan University	223.7	84.8
31	Beihang University	223.4	82.6
32	Rice University	222.9	88.4
33	Sungkyunkwan University	222.8	68.0
34	City University of Hong Kong	220.4	92.7
35	The University of Texas at Austin	218.4	90.3
36	Xi'an Jiaotong University	217.7	80.7
37	Swiss Federal Institute of Technology Lausanne	215.0	77.8
38	Sun Yat-sen University	213.8	85.1
39	Shenzhen University	213.5	87.7
40	Beijing University of Chemical Technology	211.1	91.1
41	NanJing Tech University	209.7	88.0
42	The Hong Kong University of Science and Technology	209.2	93.6
43	Wuhan University of Technology	209.1	98.5
44	University of Washington	207.4	93.9
45	Pohang University of Science and Technology	206.5	73.2
46	Harbin Institute of Technology	206.0	75.7
47	University of Oxford	205.9	79.0
48	University of Illinois at Urbana-Champaign	205.7	70.8
49	Korea University	205.3	69.9
50	Imperial College London	205.1	75.7
51-75	Beijing Institute of Technology		85.0
51-75	Columbia University		87.1
51-75	Hunan University		88.6
51-75	Monash University		81.8
51-75	North Carolina State University - Raleigh		85.1
51-75	Pennsylvania State University - University Park		79.6
51-75	Shandong University		82.2
51-75	Sichuan University		82.0
51-75	Southern University of Science and Technology		83.7
51-75	The Chinese University of Hong Kong		90.9
51-75	The Hong Kong Polytechnic University		88.3
51-75	The University of Queensland		85.7
51-75	Tongji University		84.7
51-75	TU Dresden		75.0
51-75	University of California, San Diego		79.1
51-75	University of Electronic Science and Technology of China		77.5
51-75	University of Maryland, College Park		85.8
51-75	University of Michigan-Ann Arbor		73.5
51-75	University of Pennsylvania		79.3
51-75	University of Science and Technology Beijing		83.2
51-75	University of Toronto		83.4
51-75	University of Wollongong		95.6
51-75	Xiamen University		80.2
51-75	Yonsei University		66.4
51-75	Zhengzhou University		93.1
76-100	Central South University		85.9
76-100	Cornell University		75.2
76-100	Dalian University of Technology		75.4
76-100	Donghua University		85.4
76-100	Drexel University		100.0
76-100	Hanyang University		65.9
76-100	Karlsruhe Institute of Technology (KIT)		65.5
76-100	King Abdulaziz University		87.8
76-100	Nanjing University of Science and Technology		87.5
76-100	National Taiwan University		70.2
76-100	Northwestern Polytechnical University		78.6
76-100	Purdue University - West Lafayette		70.1
76-100	Southeast University		72.0
76-100	The Australian National University		81.0
76-100	The University of Adelaide		100.0
76-100	The University of Manchester		76.2
76-100	The University of New South Wales		78.9
76-100	The University of Tokyo		63.6
76-100	Université Grenoble Alpes		61.6
76-100	University College London		72.5
76-100	University of Massachusetts Amherst		82.1
76-100	University of Munich		79.5
76-100	University of Nebraska - Lincoln		85.5
76-100	University of North Carolina at Chapel Hill		90.1
76-100	University of Wisconsin - Madison		78.6
101-150	Autonomous University of Barcelona		66.3
101-150	California Institute of Technology		80.0
101-150	Case Western Reserve University		91.0
101-150	Central China Normal University		100.0
101-150	Chongqing University		73.8
101-150	Curtin University		93.1
101-150	Delft University of Technology		67.7
101-150	Duke University		83.8
101-150	East China Normal University		79.3
101-150	East China University of Science and Technology		79.5
101-150	Eindhoven University of Technology		69.9
101-150	Fuzhou University		84.4
101-150	Griffith University		93.6
101-150	Johns Hopkins University		76.9
101-150	KTH Royal Institute of Technology		69.8
101-150	Kyung Hee University		70.6
101-150	Lanzhou University		78.2
101-150	Linkoping University		84.3
101-150	Nanjing Normal University		92.4
101-150	Nanjing University of Aeronautics and Astronautics		92.4
101-150	Nanjing University of Posts and Telecommunications		83.1
101-150	National Tsing Hua University		68.9
101-150	National Yang Ming Chiao Tung University		62.3
101-150	Paris-Saclay University		61.6
101-150	Qingdao University		82.6
101-150	Queensland University of Technology		86.1
101-150	RWTH Aachen University		70.4
101-150	Shaanxi Normal University		89.7
101-150	Shanghai University		74.7
101-150	Sorbonne University		61.4
101-150	Technical University of Denmark		67.7
101-150	Technical University of Munich		65.6
101-150	The Hebrew University of Jerusalem		73.3
101-150	The University of Hong Kong		83.8
101-150	The University of Melbourne		76.8
101-150	The University of Texas at Dallas		77.6
101-150	University at Buffalo, the State University of New York		77.3
101-150	University of California, Riverside		78.5
101-150	University of California, Santa Barbara		77.0
101-150	University of Colorado at Boulder		76.6
101-150	University of Groningen		75.4
101-150	University of Jinan		85.4
101-150	University of Minnesota, Twin Cities		69.8
101-150	University of Southern California		74.7
101-150	University of Strasbourg		65.6
101-150	University of Technology Sydney		90.9
101-150	University of Tennessee - Knoxville		79.0
101-150	University of Waterloo		79.7
101-150	Vanderbilt University		79.4
101-150	Weizmann Institute of Science		77.2
101-150	Yale University		81.1
151-200	Aalto University		67.0
151-200	Aarhus University		67.9
151-200	Arizona State University		67.0
151-200	Autonomous University of Madrid		64.5
151-200	Beijing Normal University		82.4
151-200	Beijing University of Technology		74.7
151-200	Brown University		80.1
151-200	Carnegie Mellon University		75.5
151-200	Chalmers University of Technology		66.1
151-200	Emory University		78.3
151-200	Ghent University		74.5
151-200	Guangxi University		84.2
151-200	Gwangju Institute of Science and Technology		67.7
151-200	Hubei University		79.7
151-200	Jinan University		76.5
151-200	KU Leuven		60.5
151-200	Kyoto University		65.5
151-200	Kyushu University		65.4
151-200	Lund University		61.8
151-200	Northeastern University (Boston)		72.7
151-200	Polytechnic University of Catalonia		73.1
151-200	Princeton University		72.9
151-200	PSL University		66.4
151-200	Qingdao University of Science and Technology		83.4
151-200	Queen Mary University of London		74.6
151-200	Radboud University Nijmegen		74.1
151-200	Rensselaer Polytechnic Institute		77.9
151-200	RMIT University		75.2
151-200	Rutgers, The State University of New Jersey - New Brunswick		71.8
