1	Nanyang Technological University	301.1	89.3
2	Tsinghua University	300.5	60.8
3	Peking University	289.1	58.2
4	University of Science and Technology of China	285.2	57.8
5	Soochow University (China)	280.2	62.0
6	Georgia Institute of Technology	272.1	84.5
7	National University of Singapore	271.8	85.9
8	Stanford University	266.4	79.1
9	Massachusetts Institute of Technology (MIT)	263.3	81.3
10	Harvard University	255.6	86.6
11	Zhejiang University	253.1	66.4
12	Fudan University	251.1	58.1
13	Huazhong University of Science and Technology	248.2	59.5
13	University of California, Berkeley	248.2	79.9
15	Nanjing University	243.7	59.1
16	Tianjin University	239.4	58.1
17	Northwestern University	238.1	74.7
18	University of California, Los Angeles	236.7	82.1
19	University of Cambridge	233.8	92.3
20	Shanghai Jiao Tong University	232.8	59.9
21	Jilin University	231.5	54.9
21	Korea Advanced Institute of Science and Technology	231.5	56.1
23	King Abdullah University of Science and Technology	229.6	87.8
24	University of Chicago	228.3	75.2
25	Nankai University	227.4	54.2
26	Seoul National University	226.5	55.1
27	South China University of Technology	225.7	59.8
28	ETH Zurich	223.9	83.9
28	Ulsan National Institute of Science and Technology	223.9	63.4
30	Wuhan University	223.7	53.1
31	Beihang University	223.4	62.4
32	Rice University	222.9	81.1
33	Sungkyunkwan University	222.8	54.3
34	City University of Hong Kong	220.4	61.8
35	The University of Texas at Austin	218.4	72.9
36	Xi'an Jiaotong University	217.7	66.9
37	Swiss Federal Institute of Technology Lausanne	215.0	87.8
38	Sun Yat-sen University	213.8	55.0
39	Shenzhen University	213.5	67.9
40	Beijing University of Chemical Technology	211.1	57.7
41	NanJing Tech University	209.7	65.6
42	The Hong Kong University of Science and Technology	209.2	60.8
43	Wuhan University of Technology	209.1	74.0
44	University of Washington	207.4	77.8
45	Pohang University of Science and Technology	206.5	58.9
46	Harbin Institute of Technology	206.0	60.5
47	University of Oxford	205.9	86.4
48	University of Illinois at Urbana-Champaign	205.7	74.4
49	Korea University	205.3	55.0
50	Imperial College London	205.1	89.5
51-75	Beijing Institute of Technology		58.6
51-75	Columbia University		86.4
51-75	Hunan University		56.2
51-75	Monash University		86.9
51-75	North Carolina State University - Raleigh		71.1
51-75	Pennsylvania State University - University Park		70.9
51-75	Shandong University		56.7
51-75	Sichuan University		56.0
51-75	Southern University of Science and Technology		71.0
51-75	The Chinese University of Hong Kong		63.9
51-75	The Hong Kong Polytechnic University		55.7
51-75	The University of Queensland		84.2
51-75	Tongji University		58.7
51-75	TU Dresden		80.8
51-75	University of California, San Diego		73.1
51-75	University of Electronic Science and Technology of China		69.7
51-75	University of Maryland, College Park		63.5
51-75	University of Michigan-Ann Arbor		74.9
51-75	University of Pennsylvania		70.5
51-75	University of Science and Technology Beijing		61.0
51-75	University of Toronto		77.5
51-75	University of Wollongong		95.9
51-75	Xiamen University		65.6
51-75	Yonsei University		54.1
51-75	Zhengzhou University		58.6
76-100	Central South University		61.7
76-100	Cornell University		71.4
76-100	Dalian University of Technology		62.0
76-100	Donghua University		65.6
76-100	Drexel University		75.1
76-100	Hanyang University		59.2
76-100	Karlsruhe Institute of Technology (KIT)		78.8
76-100	King Abdulaziz University		100.0
76-100	Nanjing University of Science and Technology		65.3
76-100	National Taiwan University		62.4
76-100	Northwestern Polytechnical University		62.9
76-100	Purdue University - West Lafayette		68.8
76-100	Southeast University		51.0
76-100	The Australian National University		91.9
76-100	The University of Adelaide		85.6
76-100	The University of Manchester		86.9
76-100	The University of New South Wales		89.2
76-100	The University of Tokyo		63.6
76-100	Université Grenoble Alpes		81.6
76-100	University College London		88.5
76-100	University of Massachusetts Amherst		78.0
76-100	University of Munich		83.6
76-100	University of Nebraska - Lincoln		81.7
76-100	University of North Carolina at Chapel Hill		71.6
76-100	University of Wisconsin - Madison		70.7
101-150	Autonomous University of Barcelona		85.9
101-150	California Institute of Technology		73.3
101-150	Case Western Reserve University		73.2
101-150	Central China Normal University		70.7
101-150	Chongqing University		55.5
101-150	Curtin University		93.6
101-150	Delft University of Technology		88.7
101-150	Duke University		72.8
101-150	East China Normal University		55.6
101-150	East China University of Science and Technology		58.3
101-150	Eindhoven University of Technology		83.3
101-150	Fuzhou University		51.0
101-150	Griffith University		92.3
101-150	Johns Hopkins University		74.1
101-150	KTH Royal Institute of Technology		90.3
101-150	Kyung Hee University		56.8
101-150	Lanzhou University		55.8
101-150	Linkoping University		89.9
101-150	Nanjing Normal University		55.5
101-150	Nanjing University of Aeronautics and Astronautics		61.9
101-150	Nanjing University of Posts and Telecommunications		53.6
101-150	National Tsing Hua University		58.4
101-150	National Yang Ming Chiao Tung University		66.7
101-150	Paris-Saclay University		81.3
101-150	Qingdao University		67.7
101-150	Queensland University of Technology		91.5
101-150	RWTH Aachen University		76.6
101-150	Shaanxi Normal University		50.9
101-150	Shanghai University		63.8
101-150	Sorbonne University		80.2
101-150	Technical University of Denmark		87.4
101-150	Technical University of Munich		87.5
101-150	The Hebrew University of Jerusalem		77.2
101-150	The University of Hong Kong		62.6
101-150	The University of Melbourne		84.3
101-150	The University of Texas at Dallas		76.1
101-150	University at Buffalo, the State University of New York		80.5
101-150	University of California, Riverside		73.8
101-150	University of California, Santa Barbara		74.9
101-150	University of Colorado at Boulder		69.0
101-150	University of Groningen		90.9
101-150	University of Jinan		41.5
101-150	University of Minnesota, Twin Cities		64.3
101-150	University of Southern California		74.9
101-150	University of Strasbourg		87.8
101-150	University of Technology Sydney		90.4
101-150	University of Tennessee - Knoxville		76.5
101-150	University of Waterloo		77.9
101-150	Vanderbilt University		69.4
101-150	Weizmann Institute of Science		82.3
101-150	Yale University		75.8
151-200	Aalto University		89.8
151-200	Aarhus University		93.4
151-200	Arizona State University		71.5
151-200	Autonomous University of Madrid		85.9
151-200	Beijing Normal University		57.2
151-200	Beijing University of Technology		63.9
151-200	Brown University		79.1
151-200	Carnegie Mellon University		65.8
151-200	Chalmers University of Technology		89.2
151-200	Emory University		66.1
151-200	Ghent University		89.9
151-200	Guangxi University		67.5
151-200	Gwangju Institute of Science and Technology		59.3
151-200	Hubei University		54.7
151-200	Jinan University		52.1
151-200	KU Leuven		88.3
151-200	Kyoto University		61.1
151-200	Kyushu University		68.2
151-200	Lund University		88.4
151-200	Northeastern University (Boston)		79.6
151-200	Polytechnic University of Catalonia		86.2
151-200	Princeton University		72.2
151-200	PSL University		77.4
151-200	Qingdao University of Science and Technology		49.9
151-200	Queen Mary University of London		96.0
151-200	Radboud University Nijmegen		89.2
151-200	Rensselaer Polytechnic Institute		78.3
