1	Nanyang Technological University	301.1	91.1
2	Tsinghua University	300.5	100.0
3	Peking University	289.1	93.7
4	University of Science and Technology of China	285.2	92.8
5	Soochow University (China)	280.2	86.8
6	Georgia Institute of Technology	272.1	78.9
7	National University of Singapore	271.8	81.6
8	Stanford University	266.4	72.7
9	Massachusetts Institute of Technology (MIT)	263.3	77.2
10	Harvard University	255.6	69.6
11	Zhejiang University	253.1	79.8
12	Fudan University	251.1	77.6
13	Huazhong University of Science and Technology	248.2	76.8
13	University of California, Berkeley	248.2	68.3
15	Nanjing University	243.7	78.4
16	Tianjin University	239.4	71.3
17	Northwestern University	238.1	65.8
18	University of California, Los Angeles	236.7	58.9
19	University of Cambridge	233.8	64.3
20	Shanghai Jiao Tong University	232.8	74.9
21	Jilin University	231.5	75.6
21	Korea Advanced Institute of Science and Technology	231.5	73.3
23	King Abdullah University of Science and Technology	229.6	57.4
24	University of Chicago	228.3	67.1
25	Nankai University	227.4	62.8
26	Seoul National University	226.5	72.5
27	South China University of Technology	225.7	65.7
28	ETH Zurich	223.9	59.4
28	Ulsan National Institute of Science and Technology	223.9	59.6
30	Wuhan University	223.7	65.6
31	Beihang University	223.4	60.2
32	Rice University	222.9	53.6
33	Sungkyunkwan University	222.8	70.8
34	City University of Hong Kong	220.4	57.6
35	The University of Texas at Austin	218.4	53.3
36	Xi'an Jiaotong University	217.7	64.3
37	Swiss Federal Institute of Technology Lausanne	215.0	57.3
38	Sun Yat-sen University	213.8	62.4
39	Shenzhen University	213.5	57.4
40	Beijing University of Chemical Technology	211.1	58.0
41	NanJing Tech University	209.7	56.1
42	The Hong Kong University of Science and Technology	209.2	50.5
43	Wuhan University of Technology	209.1	51.3
44	University of Washington	207.4	48.4
45	Pohang University of Science and Technology	206.5	60.0
46	Harbin Institute of Technology	206.0	64.2
47	University of Oxford	205.9	52.4
48	University of Illinois at Urbana-Champaign	205.7	56.8
49	Korea University	205.3	66.5
50	Imperial College London	205.1	54.3
51-75	Beijing Institute of Technology		54.5
51-75	Columbia University		43.1
51-75	Hunan University		50.2
51-75	Monash University		48.9
51-75	North Carolina State University - Raleigh		43.9
51-75	Pennsylvania State University - University Park		51.5
51-75	Shandong University		56.9
51-75	Sichuan University		59.8
51-75	Southern University of Science and Technology		47.6
51-75	The Chinese University of Hong Kong		43.8
51-75	The Hong Kong Polytechnic University		48.3
51-75	The University of Queensland		44.1
51-75	Tongji University		48.3
51-75	TU Dresden		49.0
51-75	University of California, San Diego		51.6
51-75	University of Electronic Science and Technology of China		51.6
51-75	University of Maryland, College Park		47.1
51-75	University of Michigan-Ann Arbor		51.2
51-75	University of Pennsylvania		45.7
51-75	University of Science and Technology Beijing		53.3
51-75	University of Toronto		45.7
51-75	University of Wollongong		45.8
51-75	Xiamen University		60.0
51-75	Yonsei University		62.7
51-75	Zhengzhou University		47.9
76-100	Central South University		50.0
76-100	Cornell University		43.9
76-100	Dalian University of Technology		49.4
76-100	Donghua University		47.7
76-100	Drexel University		30.8
76-100	Hanyang University		52.5
76-100	Karlsruhe Institute of Technology (KIT)		48.3
76-100	King Abdulaziz University		38.1
76-100	Nanjing University of Science and Technology		42.2
76-100	National Taiwan University		53.2
76-100	Northwestern Polytechnical University		44.1
76-100	Purdue University - West Lafayette		48.9
76-100	Southeast University		56.8
76-100	The Australian National University		38.1
76-100	The University of Adelaide		29.7
76-100	The University of Manchester		40.1
76-100	The University of New South Wales		45.3
76-100	The University of Tokyo		51.2
76-100	Université Grenoble Alpes		47.5
76-100	University College London		46.4
76-100	University of Massachusetts Amherst		38.6
76-100	University of Munich		37.2
76-100	University of Nebraska - Lincoln		37.8
76-100	University of North Carolina at Chapel Hill		37.8
76-100	University of Wisconsin - Madison		42.2
101-150	Autonomous University of Barcelona		43.1
101-150	California Institute of Technology		33.6
101-150	Case Western Reserve University		33.8
101-150	Central China Normal University		24.6
101-150	Chongqing University		43.0
101-150	Curtin University		24.0
101-150	Delft University of Technology		39.5
101-150	Duke University		37.0
101-150	East China Normal University		40.5
101-150	East China University of Science and Technology		44.2
101-150	Eindhoven University of Technology		37.1
101-150	Fuzhou University		40.6
101-150	Griffith University		26.7
101-150	Johns Hopkins University		37.2
101-150	KTH Royal Institute of Technology		41.0
101-150	Kyung Hee University		41.9
101-150	Lanzhou University		40.3
101-150	Linkoping University		35.4
101-150	Nanjing Normal University		29.2
101-150	Nanjing University of Aeronautics and Astronautics		34.5
101-150	Nanjing University of Posts and Telecommunications		40.0
101-150	National Tsing Hua University		48.8
101-150	National Yang Ming Chiao Tung University		44.6
101-150	Paris-Saclay University		46.3
101-150	Qingdao University		35.8
101-150	Queensland University of Technology		34.4
101-150	RWTH Aachen University		36.4
101-150	Shaanxi Normal University		36.1
101-150	Shanghai University		47.7
101-150	Sorbonne University		44.0
101-150	Technical University of Denmark		40.3
101-150	Technical University of Munich		39.4
101-150	The Hebrew University of Jerusalem		34.3
101-150	The University of Hong Kong		38.8
101-150	The University of Melbourne		37.8
101-150	The University of Texas at Dallas		34.1
101-150	University at Buffalo, the State University of New York		33.1
101-150	University of California, Riverside		38.0
101-150	University of California, Santa Barbara		37.7
101-150	University of Colorado at Boulder		38.5
101-150	University of Groningen		31.1
101-150	University of Jinan		41.7
101-150	University of Minnesota, Twin Cities		39.8
101-150	University of Southern California		37.2
101-150	University of Strasbourg		38.3
101-150	University of Technology Sydney		26.6
101-150	University of Tennessee - Knoxville		36.4
101-150	University of Waterloo		37.6
101-150	Vanderbilt University		31.6
101-150	Weizmann Institute of Science		29.7
101-150	Yale University		34.0
151-200	Aalto University		34.8
151-200	Aarhus University		31.2
151-200	Arizona State University		34.4
151-200	Autonomous University of Madrid		33.7
151-200	Beijing Normal University		33.5
151-200	Beijing University of Technology		33.1
151-200	Brown University		27.6
151-200	Carnegie Mellon University		32.4
151-200	Chalmers University of Technology		32.9
151-200	Emory University		29.0
151-200	Ghent University		28.6
151-200	Guangxi University		26.3
151-200	Gwangju Institute of Science and Technology		35.5
151-200	Hubei University		32.4
151-200	Jinan University		36.6
151-200	KU Leuven		36.4
151-200	Kyoto University		40.4
151-200	Kyushu University		32.7
151-200	Lund University		36.1
151-200	Northeastern University (Boston)		31.2
151-200	Polytechnic University of Catalonia		32.6
151-200	Princeton University		29.3
151-200	PSL University		37.4
151-200	Qingdao University of Science and Technology		37.4
151-200	Queen Mary University of London		27.3
151-200	Radboud University Nijmegen		25.3
151-200	Rensselaer Polytechnic Institute		28.2
151-200	RMIT University		33.7
151-200	Rutgers, The State University of New Jersey - New Brunswick		29.5
151-200	ShanghaiTech University		27.6
151-200	Singapore University of Technology & Design		26.8
151-200	Technion-Israel Institute of Technology		33.4
151-200	Tel Aviv University		30.1
151-200	Texas A&M University		37.2
151-200	Tianjin University of Technology		28.6
151-200	Tohoku University		37.6
151-200	Trinity College Dublin		31.0
151-200	University of Bath		24.0
151-200	University of Birmingham		29.6
151-200	University of California, Irvine		34.1
151-200	University of California, Santa Cruz		24.8
151-200	University of Erlangen-Nuremberg		37.6
151-200	University of Houston		30.8
151-200	University of Illinois at Chicago		31.6
151-200	University of Pittsburgh		33.5
151-200	University of the Basque Country		35.4
151-200	Uppsala University		35.3
151-200	Utrecht University		26.9
151-200	Yangzhou University		26.8
201-300	Aix Marseille University		30.8
201-300	Bar-Ilan University		27.4
201-300	Beijing Jiaotong University		24.9
201-300	Ben-Gurion University of the Negev		26.9
201-300	Boston University		26.9
201-300	Capital Normal University		24.5
201-300	China Pharmaceutical University		27.4
201-300	China University of Petroleum (Huadong)		27.9
201-300	Daegu Gyeongbuk Institute of Science & Technology		30.0
201-300	Deakin University		27.7
201-300	Dongguk University		31.0
201-300	Ewha Womans University		29.6
201-300	Florida State University		26.8
201-300	Free University Berlin		30.4
201-300	Harbin Engineering University		24.3
201-300	Hebei University		23.9
201-300	Hefei University of Technology		33.6
201-300	Heidelberg University		28.2
201-300	Henan Normal University		21.6
201-300	Henan University		28.8
201-300	Hokkaido University		31.1
201-300	Hong Kong Baptist University		22.6
201-300	Humboldt University of Berlin		28.9
201-300	Indian Institute of Science		34.5
201-300	Iowa State University		30.8
201-300	ITMO University		28.4
201-300	Jiangnan University		32.5
201-300	Jiangsu University		33.3
201-300	Konkuk University		29.1
201-300	McGill University		33.0
201-300	Nanchang University		30.1
201-300	North China Electric Power University		25.0
201-300	Northeast Normal University		29.1
201-300	Northwest University		25.4
201-300	Oregon State University		22.2
201-300	Osaka University		37.2
201-300	Polytechnic University of Milan		29.7
201-300	Pusan National University		37.2
201-300	Sapienza University of Rome		26.5
201-300	Shandong Normal University		23.2
201-300	Shandong University of Science and Technology		20.7
201-300	Shanxi University		28.5
201-300	South China Normal University		36.2
201-300	Southwest Jiaotong University		27.6
201-300	Southwest University		41.5
201-300	Stony Brook University		27.6
201-300	Technical University of Berlin		25.3
201-300	The Ohio State University - Columbus		30.0
201-300	The University of Akron		26.8
201-300	The University of New Mexico - Albuquerque		24.5
201-300	The University of Sheffield		25.5
201-300	Tufts University		24.6
201-300	Universitat Jaume I		18.8
201-300	University of Alberta		33.3
201-300	University of Antwerp		26.1
201-300	University of Barcelona		31.6
201-300	University of Basel		26.8
201-300	University of Bayreuth		23.5
201-300	University of Bordeaux		31.6
201-300	University of California, Davis		31.8
201-300	University of Central Florida		25.6
201-300	University of Chemistry and Technology Prague		22.9
201-300	University of Connecticut		27.6
201-300	University of Copenhagen		28.4
201-300	University of Delaware		25.0
201-300	University of Duisburg-Essen		25.9
201-300	University of Florida		29.4
201-300	University of Freiburg		29.0
201-300	University of Genoa		23.8
201-300	University of Hamburg		26.4
201-300	University of Jena		25.7
201-300	University of Leeds		26.4
201-300	University of Macau		28.0
201-300	University of Mainz		24.9
201-300	University of Muenster		26.6
201-300	University of Notre Dame		29.8
201-300	University of Nottingham		25.3
201-300	University of Paris		30.0
201-300	University of Rochester		23.3
201-300	University of Roma - Tor Vergata		26.3
201-300	University of South Australia		25.7
201-300	University of South Carolina - Columbia		22.0
201-300	University of Southampton		26.8
201-300	University of St Andrews		22.2
201-300	University of Stuttgart		26.8
201-300	University of Sydney		28.3
201-300	University of Twente		34.3
201-300	University of Utah		27.7
201-300	University of Valencia		25.2
201-300	University of Virginia		25.4
201-300	University of Warwick		28.1
201-300	University of Wuerzburg		25.1
201-300	Virginia Polytechnic Institute and State University		28.2
201-300	Washington State University		26.7
201-300	Washington University in St. Louis		26.4
201-300	Western University		25.6
201-300	Wuhan Institute of Technology		20.4
201-300	Xiangtan University		25.2
201-300	Yanshan University		26.0
201-300	Zhejiang University of Technology		28.5
301-400	Ajou University		27.5
301-400	Anhui University		24.8
301-400	Army Medical University		20.8
301-400	Bilkent University		22.5
301-400	Capital Medical University		19.0
301-400	Cardiff University		20.6
301-400	Chemnitz University of Technology		23.9
301-400	China University of Geosciences (Beijing)		19.4
301-400	China University of Petroleum (Beijing)		23.2
301-400	Chongqing Medical University		24.5
301-400	Chonnam National University		28.1
301-400	Chung-Ang University		32.8
301-400	Claude Bernard University Lyon 1		27.6
301-400	Clemson University		24.1
301-400	Complutense University of Madrid		24.3
301-400	Durham University		20.4
301-400	Graz University of Technology		21.5
301-400	Guangdong University of Technology		28.9
301-400	Heilongjiang University		23.1
301-400	Hunan Normal University		22.6
301-400	Ilmenau University of Technology		19.5
301-400	INHA University		29.7
301-400	Jeonbuk National University		32.5
301-400	Johannes Kepler University Linz		20.1
301-400	King Saud University		25.5
301-400	King's College London		23.0
301-400	Kyungpook National University		28.4
301-400	Leiden University		22.3
301-400	McMaster University		24.1
301-400	Michigan State University		25.8
301-400	Moscow State University		26.0
301-400	Nanjing Medical University		25.8
301-400	National Cheng Kung University		30.8
301-400	National Taiwan University of Science and Technology		24.7
301-400	Ningbo University		26.4
301-400	Northeastern University (Shenyang)		28.0
301-400	Norwegian University of Science and Technology - NTNU		18.8
301-400	Paul Sabatier University (Toulouse 3)		25.7
301-400	Peking Union Medical College		25.5
301-400	Polytechnic University of Turin		20.9
301-400	Shanghai Normal University		23.0
301-400	Sogang University		26.0
301-400	Southwest University of Science and Technology		18.3
301-400	Stockholm University		19.2
301-400	Swansea University		23.5
301-400	Swinburne University of Technology		22.6
301-400	Tampere University		19.6
301-400	Technical University Darmstadt		26.4
301-400	Temple University		22.0
301-400	The National University of Science and Technology MISiS		19.5
301-400	The Second Military Medical University		18.8
301-400	The University of Edinburgh		22.1
301-400	The University of Georgia		22.1
301-400	The University of Glasgow		23.4
301-400	The University of Western Australia		17.9
301-400	Tianjin Medical University		21.8
301-400	Tokyo Institute of Technology		31.5
301-400	University College Dublin		20.6
301-400	University of Arkansas at Fayetteville		20.1
301-400	University of Aveiro		21.8
301-400	University of Bochum		22.3
301-400	University of Bologna		22.0
