1	Nanyang Technological University	301.1	97.0
2	Tsinghua University	300.5	100.0
3	Peking University	289.1	97.0
4	University of Science and Technology of China	285.2	92.2
5	Soochow University (China)	280.2	88.4
6	Georgia Institute of Technology	272.1	85.9
7	National University of Singapore	271.8	87.9
8	Stanford University	266.4	84.5
9	Massachusetts Institute of Technology (MIT)	263.3	88.6
10	Harvard University	255.6	83.4
11	Zhejiang University	253.1	76.8
12	Fudan University	251.1	77.0
13	Huazhong University of Science and Technology	248.2	73.0
13	University of California, Berkeley	248.2	81.5
15	Nanjing University	243.7	72.1
16	Tianjin University	239.4	68.7
17	Northwestern University	238.1	78.5
18	University of California, Los Angeles	236.7	72.2
19	University of Cambridge	233.8	70.9
20	Shanghai Jiao Tong University	232.8	68.3
21	Jilin University	231.5	63.8
21	Korea Advanced Institute of Science and Technology	231.5	75.6
23	King Abdullah University of Science and Technology	229.6	61.3
24	University of Chicago	228.3	71.0
25	Nankai University	227.4	58.1
26	Seoul National University	226.5	73.0
27	South China University of Technology	225.7	57.9
28	ETH Zurich	223.9	67.1
28	Ulsan National Institute of Science and Technology	223.9	67.1
30	Wuhan University	223.7	62.6
31	Beihang University	223.4	68.1
32	Rice University	222.9	64.7
33	Sungkyunkwan University	222.8	73.2
34	City University of Hong Kong	220.4	57.7
35	The University of Texas at Austin	218.4	60.2
36	Xi'an Jiaotong University	217.7	59.4
37	Swiss Federal Institute of Technology Lausanne	215.0	62.4
38	Sun Yat-sen University	213.8	55.3
39	Shenzhen University	213.5	54.8
40	Beijing University of Chemical Technology	211.1	50.4
41	NanJing Tech University	209.7	52.4
42	The Hong Kong University of Science and Technology	209.2	52.9
43	Wuhan University of Technology	209.1	44.5
44	University of Washington	207.4	49.5
45	Pohang University of Science and Technology	206.5	61.5
46	Harbin Institute of Technology	206.0	54.1
47	University of Oxford	205.9	57.2
48	University of Illinois at Urbana-Champaign	205.7	63.2
49	Korea University	205.3	57.9
50	Imperial College London	205.1	57.2
51-75	Beijing Institute of Technology		48.8
51-75	Columbia University		53.7
51-75	Hunan University		44.8
51-75	Monash University		50.6
51-75	North Carolina State University - Raleigh		48.4
51-75	Pennsylvania State University - University Park		58.5
51-75	Shandong University		44.0
51-75	Sichuan University		45.8
51-75	Southern University of Science and Technology		47.2
51-75	The Chinese University of Hong Kong		42.1
51-75	The Hong Kong Polytechnic University		46.9
51-75	The University of Queensland		41.2
51-75	Tongji University		43.8
51-75	TU Dresden		54.9
51-75	University of California, San Diego		57.8
51-75	University of Electronic Science and Technology of China		47.0
51-75	University of Maryland, College Park		53.0
51-75	University of Michigan-Ann Arbor		50.5
51-75	University of Pennsylvania		55.1
51-75	University of Science and Technology Beijing		47.4
51-75	University of Toronto		47.9
51-75	University of Wollongong		43.4
51-75	Xiamen University		50.3
51-75	Yonsei University		57.5
51-75	Zhengzhou University		41.7
76-100	Central South University		39.1
76-100	Cornell University		50.8
76-100	Dalian University of Technology		38.7
76-100	Donghua University		38.3
76-100	Drexel University		32.3
76-100	Hanyang University		46.2
76-100	Karlsruhe Institute of Technology (KIT)		50.2
76-100	King Abdulaziz University		34.3
76-100	Nanjing University of Science and Technology		40.0
76-100	National Taiwan University		46.2
76-100	Northwestern Polytechnical University		39.1
76-100	Purdue University - West Lafayette		51.1
76-100	Southeast University		47.2
76-100	The Australian National University		42.7
76-100	The University of Adelaide		29.8
76-100	The University of Manchester		43.7
76-100	The University of New South Wales		42.4
76-100	The University of Tokyo		55.1
76-100	Université Grenoble Alpes		48.6
76-100	University College London		46.0
76-100	University of Massachusetts Amherst		42.7
76-100	University of Munich		47.2
76-100	University of Nebraska - Lincoln		39.9
76-100	University of North Carolina at Chapel Hill		41.5
76-100	University of Wisconsin - Madison		46.1
101-150	Autonomous University of Barcelona		43.0
101-150	California Institute of Technology		38.2
101-150	Case Western Reserve University		30.0
101-150	Central China Normal University		20.0
101-150	Chongqing University		33.4
101-150	Curtin University		21.8
101-150	Delft University of Technology		47.7
101-150	Duke University		38.0
101-150	East China Normal University		37.1
101-150	East China University of Science and Technology		35.4
101-150	Eindhoven University of Technology		44.9
101-150	Fuzhou University		27.4
101-150	Griffith University		24.4
101-150	Johns Hopkins University		39.1
101-150	KTH Royal Institute of Technology		33.8
101-150	Kyung Hee University		36.1
101-150	Lanzhou University		31.4
101-150	Linkoping University		36.1
101-150	Nanjing Normal University		25.4
101-150	Nanjing University of Aeronautics and Astronautics		32.5
101-150	Nanjing University of Posts and Telecommunications		37.4
101-150	National Tsing Hua University		43.4
101-150	National Yang Ming Chiao Tung University		37.4
101-150	Paris-Saclay University		47.3
101-150	Qingdao University		26.3
101-150	Queensland University of Technology		34.5
101-150	RWTH Aachen University		39.1
101-150	Shaanxi Normal University		30.0
101-150	Shanghai University		37.1
101-150	Sorbonne University		44.6
101-150	Technical University of Denmark		37.2
101-150	Technical University of Munich		42.4
101-150	The Hebrew University of Jerusalem		39.9
101-150	The University of Hong Kong		37.7
101-150	The University of Melbourne		37.2
101-150	The University of Texas at Dallas		34.7
101-150	University at Buffalo, the State University of New York		32.1
101-150	University of California, Riverside		38.5
101-150	University of California, Santa Barbara		42.7
101-150	University of Colorado at Boulder		41.2
101-150	University of Groningen		35.9
101-150	University of Jinan		22.3
101-150	University of Minnesota, Twin Cities		41.5
101-150	University of Southern California		39.1
101-150	University of Strasbourg		43.1
101-150	University of Technology Sydney		23.6
101-150	University of Tennessee - Knoxville		34.2
101-150	University of Waterloo		36.9
101-150	Vanderbilt University		35.2
101-150	Weizmann Institute of Science		37.1
101-150	Yale University		35.0
151-200	Aalto University		37.4
151-200	Aarhus University		29.6
151-200	Arizona State University		35.9
151-200	Autonomous University of Madrid		33.8
151-200	Beijing Normal University		28.7
151-200	Beijing University of Technology		30.2
151-200	Brown University		28.1
151-200	Carnegie Mellon University		32.1
151-200	Chalmers University of Technology		35.4
151-200	Emory University		32.3
151-200	Ghent University		27.2
151-200	Guangxi University		23.6
151-200	Gwangju Institute of Science and Technology		33.3
151-200	Hubei University		25.9
151-200	Jinan University		29.6
