1	University of Pennsylvania	296.9	78.0
2	Griffith University	278.3	80.0
3	Johns Hopkins University	265.6	70.2
4	Karolinska Institute	264.1	79.8
5	The University of Queensland	260.3	79.4
6	Monash University	252.0	77.4
7	University of North Carolina at Chapel Hill	251.1	73.6
8	University of California, San Francisco	246.7	76.3
9	University of Southampton	245.4	96.2
10	University of Sydney	243.3	74.0
11	University of Technology Sydney	242.4	75.1
12	Ghent University	239.7	79.0
13	Queensland University of Technology	235.2	78.4
14	King's College London	234.5	84.7
15	The University of Manchester	232.6	80.3
16	KU Leuven	231.8	93.1
17	University of Toronto	227.5	69.8
18	Australian Catholic University	226.4	74.0
19	University of Wisconsin - Madison	225.7	72.8
20	Emory University	224.0	70.1
21	Radboud University Nijmegen	223.5	77.5
22	Maastricht University	222.3	81.2
23	Yale University	221.4	72.6
24	University of Washington	219.2	71.6
25	University of Leeds	219.0	77.2
26	The University of Newcastle, Australia	218.2	82.7
27	Uppsala University	218.0	77.8
28	Duke University	217.5	64.7
29	New York University	217.2	71.0
30	Deakin University	213.9	74.6
30	Flinders University	213.9	78.9
32	Lund University	213.0	77.9
33	National Taiwan University	212.9	74.8
34	National University of Singapore	211.6	75.5
35	University of Turku	211.4	87.0
36	Vrije Universiteit Amsterdam	210.7	74.6
37	University of Roma - Tor Vergata	209.5	92.7
38	The Chinese University of Hong Kong	209.3	78.4
38	University of Michigan-Ann Arbor	209.3	70.9
40	University College London	208.5	84.3
41	University of Alberta	207.2	70.3
42	University of Basel	206.8	81.1
43	Oregon Health and Science University	206.7	75.1
44	Chang Gung University	206.3	72.5
45	University of Copenhagen	206.2	73.0
46	Columbia University	204.2	69.2
46	University of Oslo	204.2	76.1
48	The Hong Kong Polytechnic University	203.6	72.9
49	The University of Melbourne	203.4	76.8
50	University of Amsterdam	200.9	80.5
51-75	Case Western Reserve University		68.9
51-75	Curtin University		74.9
51-75	Free University Berlin		81.1
51-75	Harvard University		69.7
51-75	La Trobe University		73.1
51-75	Linkoping University		77.6
51-75	National Yang Ming Chiao Tung University		68.1
51-75	Sapienza University of Rome		98.4
51-75	Taipei Medical University		68.7
51-75	The Ohio State University - Columbus		70.4
51-75	The University of Adelaide		80.4
51-75	The University of Auckland		81.3
51-75	University College Cork		85.9
51-75	University of British Columbia		76.4
51-75	University of Gothenburg		74.3
51-75	University of Groningen		78.2
51-75	University of Iceland		96.7
51-75	University of Illinois at Chicago		67.5
51-75	University of Kansas		66.9
51-75	University of Nottingham		75.8
51-75	University of Oxford		92.2
51-75	University of Southern Denmark		73.4
51-75	University of Surrey		67.5
51-75	Western Sydney University		70.7
51-75	Western University		88.3
76-100	Aarhus University		70.7
76-100	Charite - Universitats Medizin Berlin		81.5
76-100	City, University of London		77.8
76-100	Cyprus University of Technology		89.2
76-100	Edith Cowan University		73.9
76-100	Humboldt University of Berlin		80.7
76-100	Linnaeus University		75.2
76-100	McGill University		72.8
76-100	National Taipei University of Nursing and Health Science		72.0
76-100	Oslo Metropolitan University		77.5
76-100	Queen's University Belfast		75.0
76-100	Shandong University		84.7
76-100	Sun Yat-sen University		85.4
76-100	The University of Hong Kong		72.7
76-100	The University of New South Wales		75.5
76-100	University of Alabama at Birmingham		66.1
76-100	University of Barcelona		71.6
76-100	University of Bern		78.8
76-100	University of California, Los Angeles		65.8
76-100	University of Haifa		81.9
76-100	University of Maryland, Baltimore		70.2
76-100	University of Minnesota, Twin Cities		69.0
76-100	University of South Florida		65.1
