1	University of Pennsylvania	296.9	44.9
2	Griffith University	278.3	65.4
3	Johns Hopkins University	265.6	55.5
4	Karolinska Institute	264.1	68.5
5	The University of Queensland	260.3	64.1
6	Monash University	252.0	63.0
7	University of North Carolina at Chapel Hill	251.1	47.3
8	University of California, San Francisco	246.7	61.0
9	University of Southampton	245.4	90.3
10	University of Sydney	243.3	60.7
11	University of Technology Sydney	242.4	72.5
12	Ghent University	239.7	80.0
13	Queensland University of Technology	235.2	68.2
14	King's College London	234.5	72.8
15	The University of Manchester	232.6	64.4
16	KU Leuven	231.8	90.7
17	University of Toronto	227.5	71.6
18	Australian Catholic University	226.4	67.1
19	University of Wisconsin - Madison	225.7	50.1
20	Emory University	224.0	42.2
21	Radboud University Nijmegen	223.5	81.2
22	Maastricht University	222.3	85.8
23	Yale University	221.4	56.4
24	University of Washington	219.2	54.4
25	University of Leeds	219.0	67.3
26	The University of Newcastle, Australia	218.2	72.1
27	Uppsala University	218.0	70.3
28	Duke University	217.5	46.0
29	New York University	217.2	48.2
30	Deakin University	213.9	60.7
30	Flinders University	213.9	64.2
32	Lund University	213.0	59.9
33	National Taiwan University	212.9	50.5
34	National University of Singapore	211.6	83.2
35	University of Turku	211.4	77.6
36	Vrije Universiteit Amsterdam	210.7	70.5
37	University of Roma - Tor Vergata	209.5	80.6
38	The Chinese University of Hong Kong	209.3	64.5
38	University of Michigan-Ann Arbor	209.3	54.8
40	University College London	208.5	72.9
41	University of Alberta	207.2	70.1
42	University of Basel	206.8	86.8
43	Oregon Health and Science University	206.7	49.1
44	Chang Gung University	206.3	46.8
45	University of Copenhagen	206.2	68.6
46	Columbia University	204.2	49.6
46	University of Oslo	204.2	71.5
48	The Hong Kong Polytechnic University	203.6	72.8
49	The University of Melbourne	203.4	68.8
50	University of Amsterdam	200.9	55.9
51-75	Case Western Reserve University		45.5
51-75	Curtin University		60.3
51-75	Free University Berlin		70.5
51-75	Harvard University		44.0
51-75	La Trobe University		75.2
51-75	Linkoping University		71.4
