1	University of Pennsylvania	296.9	90.6
2	Griffith University	278.3	100.0
3	Johns Hopkins University	265.6	82.0
4	Karolinska Institute	264.1	97.4
5	The University of Queensland	260.3	92.5
6	Monash University	252.0	93.8
7	University of North Carolina at Chapel Hill	251.1	75.6
8	University of California, San Francisco	246.7	77.7
9	University of Southampton	245.4	55.5
10	University of Sydney	243.3	91.7
11	University of Technology Sydney	242.4	91.0
12	Ghent University	239.7	71.6
13	Queensland University of Technology	235.2	69.0
14	King's College London	234.5	67.5
15	The University of Manchester	232.6	63.9
16	KU Leuven	231.8	63.9
17	University of Toronto	227.5	78.5
18	Australian Catholic University	226.4	68.4
19	University of Wisconsin - Madison	225.7	59.0
20	Emory University	224.0	66.0
21	Radboud University Nijmegen	223.5	56.6
22	Maastricht University	222.3	55.9
23	Yale University	221.4	70.7
24	University of Washington	219.2	67.2
25	University of Leeds	219.0	55.1
26	The University of Newcastle, Australia	218.2	71.0
27	Uppsala University	218.0	76.2
28	Duke University	217.5	73.8
29	New York University	217.2	62.6
30	Deakin University	213.9	72.1
30	Flinders University	213.9	75.9
32	Lund University	213.0	61.3
33	National Taiwan University	212.9	60.3
34	National University of Singapore	211.6	66.0
35	University of Turku	211.4	62.6
36	Vrije Universiteit Amsterdam	210.7	59.3
37	University of Roma - Tor Vergata	209.5	50.6
38	The Chinese University of Hong Kong	209.3	52.5
38	University of Michigan-Ann Arbor	209.3	74.0
40	University College London	208.5	59.7
41	University of Alberta	207.2	62.3
42	University of Basel	206.8	48.6
43	Oregon Health and Science University	206.7	62.0
44	Chang Gung University	206.3	59.7
45	University of Copenhagen	206.2	66.0
46	Columbia University	204.2	61.3
46	University of Oslo	204.2	63.9
48	The Hong Kong Polytechnic University	203.6	57.6
49	The University of Melbourne	203.4	75.1
50	University of Amsterdam	200.9	52.5
51-75	Case Western Reserve University		60.0
51-75	Curtin University		69.6
51-75	Free University Berlin		40.0
51-75	Harvard University		70.7
51-75	La Trobe University		78.2
51-75	Linkoping University		65.7
51-75	National Yang Ming Chiao Tung University		58.3
51-75	Sapienza University of Rome		38.5
51-75	Taipei Medical University		55.9
51-75	The Ohio State University - Columbus		66.9
51-75	The University of Adelaide		60.0
51-75	The University of Auckland		47.7
51-75	University College Cork		51.8
51-75	University of British Columbia		62.3
51-75	University of Gothenburg		70.4
51-75	University of Groningen		50.2
51-75	University of Iceland		44.7
51-75	University of Illinois at Chicago		60.3
51-75	University of Kansas		43.4
51-75	University of Nottingham		54.0
51-75	University of Oxford		45.2
51-75	University of Southern Denmark		60.7
51-75	University of Surrey		45.2
51-75	Western Sydney University		73.8
51-75	Western University		45.2
76-100	Aarhus University		61.0
76-100	Charite - Universitats Medizin Berlin		39.5
76-100	City, University of London		55.5
76-100	Cyprus University of Technology		39.5
76-100	Edith Cowan University		64.8
76-100	Humboldt University of Berlin		40.0
76-100	Linnaeus University		49.4
76-100	McGill University		61.0
76-100	National Taipei University of Nursing and Health Science		54.0
76-100	Oslo Metropolitan University		55.1
76-100	Queen's University Belfast		45.6
76-100	Shandong University		42.4
76-100	Sun Yat-sen University		41.5
76-100	The University of Hong Kong		48.2
76-100	The University of New South Wales		52.5
76-100	University of Alabama at Birmingham		54.0
76-100	University of Barcelona		59.0
76-100	University of Bern		37.4
76-100	University of California, Los Angeles		58.7
76-100	University of Haifa		40.5
76-100	University of Maryland, Baltimore		54.0
