1	University of Pennsylvania	296.9	100.0
2	Griffith University	278.3	80.2
3	Johns Hopkins University	265.6	82.4
4	Karolinska Institute	264.1	73.2
5	The University of Queensland	260.3	75.6
6	Monash University	252.0	68.1
7	University of North Carolina at Chapel Hill	251.1	82.4
8	University of California, San Francisco	246.7	70.7
9	University of Southampton	245.4	75.6
10	University of Sydney	243.3	65.5
11	University of Technology Sydney	242.4	56.7
12	Ghent University	239.7	68.1
13	Queensland University of Technology	235.2	65.5
14	King's College London	234.5	62.7
15	The University of Manchester	232.6	75.6
16	KU Leuven	231.8	56.7
17	University of Toronto	227.5	59.8
18	Australian Catholic University	226.4	65.5
19	University of Wisconsin - Madison	225.7	75.6
20	Emory University	224.0	68.1
21	Radboud University Nijmegen	223.5	73.2
22	Maastricht University	222.3	68.1
23	Yale University	221.4	56.7
24	University of Washington	219.2	56.7
25	University of Leeds	219.0	73.2
26	The University of Newcastle, Australia	218.2	50.0
27	Uppsala University	218.0	50.0
28	Duke University	217.5	59.8
29	New York University	217.2	62.7
30	Deakin University	213.9	46.3
30	Flinders University	213.9	46.3
32	Lund University	213.0	56.7
33	National Taiwan University	212.9	62.7
34	National University of Singapore	211.6	46.3
35	University of Turku	211.4	46.3
36	Vrije Universiteit Amsterdam	210.7	62.7
37	University of Roma - Tor Vergata	209.5	50.0
38	The Chinese University of Hong Kong	209.3	65.5
38	University of Michigan-Ann Arbor	209.3	53.5
40	University College London	208.5	50.0
41	University of Alberta	207.2	53.5
42	University of Basel	206.8	59.8
43	Oregon Health and Science University	206.7	59.8
44	Chang Gung University	206.3	59.8
45	University of Copenhagen	206.2	53.5
46	Columbia University	204.2	56.7
46	University of Oslo	204.2	50.0
48	The Hong Kong Polytechnic University	203.6	53.5
49	The University of Melbourne	203.4	37.8
50	University of Amsterdam	200.9	56.7
51-75	Case Western Reserve University		37.8
51-75	Curtin University		42.3
51-75	Free University Berlin		50.0
51-75	Harvard University		42.3
51-75	La Trobe University		32.7
51-75	Linkoping University		32.7
51-75	National Yang Ming Chiao Tung University		53.5
51-75	Sapienza University of Rome		42.3
51-75	Taipei Medical University		56.7
51-75	The Ohio State University - Columbus		37.8
51-75	The University of Adelaide		32.7
51-75	The University of Auckland		50.0
51-75	University College Cork		42.3
51-75	University of British Columbia		32.7
51-75	University of Gothenburg		32.7
51-75	University of Groningen		46.3
51-75	University of Iceland		26.7
51-75	University of Illinois at Chicago		46.3
51-75	University of Kansas		73.2
51-75	University of Nottingham		46.3
51-75	University of Oxford		32.7
51-75	University of Southern Denmark		46.3
51-75	University of Surrey		62.7
51-75	Western Sydney University		37.8
51-75	Western University		46.3
76-100	Aarhus University		37.8
76-100	Charite - Universitats Medizin Berlin		50.0
76-100	City, University of London		32.7
76-100	Cyprus University of Technology		32.7
76-100	Edith Cowan University		32.7
76-100	Humboldt University of Berlin		50.0
76-100	Linnaeus University		46.3
76-100	McGill University		37.8
76-100	National Taipei University of Nursing and Health Science		46.3
76-100	Oslo Metropolitan University		37.8
76-100	Queen's University Belfast		42.3
76-100	Shandong University		42.3
76-100	Sun Yat-sen University		42.3
76-100	The University of Hong Kong		46.3
76-100	The University of New South Wales		42.3
76-100	University of Alabama at Birmingham		56.7
76-100	University of Barcelona		37.8
76-100	University of Bern		46.3
76-100	University of California, Los Angeles		37.8
76-100	University of Haifa		50.0
76-100	University of Maryland, Baltimore		37.8
76-100	University of Minnesota, Twin Cities		46.3
76-100	University of South Florida		42.3
76-100	Utrecht University		50.0
76-100	Virginia Commonwealth University		46.3
101-150	American University of Beirut		32.7
101-150	Boston College		26.7
101-150	Cardiff University		32.7
101-150	Catholic University of Korea		53.5
101-150	Central South University		42.3
101-150	Chang Gung University of Science and Technology		37.8
101-150	Chung-Ang University		42.3
101-150	Edinburgh Napier University		18.9
101-150	Erasmus University Rotterdam		32.7
101-150	Kaohsiung Medical University		42.3
101-150	Massey University		42.3
101-150	McMaster University		32.7
101-150	Michigan State University		42.3
101-150	National and Kapodistrian University of Athens		32.7
101-150	National Cheng Kung University		42.3
101-150	National Defense Medical Center		46.3
101-150	National University of Ireland, Galway		32.7
101-150	Orebro University		32.7
101-150	Peking University		32.7
101-150	Pennsylvania State University - University Park		46.3
101-150	Rutgers, The State University of New Jersey - New Brunswick		46.3
101-150	The Australian National University		37.8
101-150	The University of Sheffield		32.7
101-150	The University of Texas at Austin		37.8
101-150	The University of Western Australia		32.7
101-150	Trinity College Dublin		18.9
101-150	Umea University		18.9
101-150	University at Buffalo, the State University of New York		42.3
101-150	University of Arizona		37.8
101-150	University of Canberra		18.9
101-150	University of Colorado Health Science Center		53.5
101-150	University of Connecticut		26.7
101-150	University of Eastern Finland		26.7
101-150	University of Florida		37.8
101-150	University of Granada		37.8
101-150	University of Hull		32.7
101-150	University of Iowa		42.3
101-150	University of Kentucky		26.7
101-150	University of Montreal		37.8
101-150	University of Ottawa		37.8
101-150	University of Pittsburgh		32.7
101-150	University of Rochester		50.0
101-150	University of South Australia		18.9
101-150	University of the Sunshine Coast		37.8
101-150	University of Ulster		32.7
101-150	University of Virginia		50.0
101-150	University of Wollongong		37.8
101-150	Vanderbilt University		42.3
101-150	Western Norway University of Applied Sciences		32.7
101-150	Yonsei University		37.8
151-200	Aalborg University		26.7
151-200	Autonomous University of Barcelona		32.7
151-200	Central Queensland University		26.7
151-200	Chiang Mai University		18.9
151-200	China Medical University (Taichung)		42.3
151-200	Dalhousie University		18.9
151-200	Federation University Australia		32.7
151-200	Glasgow Caledonian University		42.3
151-200	Indiana University-Purdue University at Indianapolis		18.9
151-200	Jonkoping University		26.7
