1	Harvard University	296.5	82.1
2	University of California, San Francisco	234.6	79.9
3	University of California, San Diego	221.0	83.0
4	University of Oxford	220.4	86.1
5	University College London	219.5	82.6
6	University of Cambridge	218.7	86.8
7	Karolinska Institute	215.6	81.0
7	University of Copenhagen	215.6	75.6
9	University of North Carolina at Chapel Hill	214.6	78.9
10	University of Toronto	214.0	76.0
11	Massachusetts Institute of Technology (MIT)	213.3	86.9
12	Yale University	212.4	78.2
13	University of Pennsylvania	210.0	78.1
14	University of Paris	208.7	69.6
15	Imperial College London	208.1	79.8
16	Johns Hopkins University	207.0	78.5
16	University of California, Los Angeles	207.0	76.5
18	Monash University	206.3	82.5
19	Duke University	201.9	74.6
20	Utrecht University	201.1	80.4
21	King's College London	198.5	75.4
22	The University of Edinburgh	198.1	100.0
23	Icahn School of Medicine at Mount Sinai	196.8	84.0
24	University of Pittsburgh	195.5	73.4
25	Uppsala University	194.9	79.0
26	Sorbonne University	194.8	70.6
27	Stanford University	192.3	87.4
28	University of Washington	192.0	78.7
29	University of Michigan-Ann Arbor	191.7	78.8
30	Paris-Saclay University	191.0	74.5
31	Columbia University	189.3	81.0
32	KU Leuven	188.8	76.8
33	The University of Texas Southwestern Medical Center at Dallas	187.9	81.4
34	University of Groningen	186.9	72.6
35	Free University Berlin	185.7	73.5
36	Leiden University	185.2	80.2
37	McGill University	184.8	72.6
38	The University of Queensland	184.5	77.2
39	Sun Yat-sen University	183.0	74.5
40	Rutgers, The State University of New Jersey - New Brunswick	182.8	76.1
41	Heidelberg University	182.7	72.6
42	Shanghai Jiao Tong University	181.3	70.6
43	University of Minnesota, Twin Cities	180.7	74.4
44	University of Helsinki	179.9	78.0
45	The University of Calgary	179.0	77.3
46	ETH Zurich	178.7	85.8
47	University of Lausanne	178.1	82.8
48	University of Basel	177.4	76.9
49	The University of Dundee	176.7	100.0
50	University of Sydney	176.2	73.6
51-75	Baylor College of Medicine		78.0
51-75	Charite - Universitats Medizin Berlin		73.0
51-75	China Pharmaceutical University		74.0
51-75	Cornell University		76.0
51-75	Ghent University		76.4
51-75	Humboldt University of Berlin		72.5
51-75	Mayo Clinic Alix School of Medicine		80.3
51-75	National University of Singapore		77.1
51-75	Purdue University - West Lafayette		76.2
51-75	Radboud University Nijmegen		77.0
51-75	Seoul National University		66.3
51-75	The University of Manchester		78.2
51-75	The University of Melbourne		75.7
51-75	The University of Texas Medical Branch at Galveston		80.3
51-75	University of Alberta		69.4
51-75	University of Amsterdam		79.7
51-75	University of Bonn		75.8
51-75	University of British Columbia		76.7
51-75	University of California, Davis		71.0
51-75	University of Florence		85.4
51-75	University of Florida		71.1
51-75	University of Liverpool		79.5
51-75	University of Milan		71.9
51-75	University of Strasbourg		68.6
51-75	Vanderbilt University		75.0
76-100	Boston University		75.1
76-100	Case Western Reserve University		79.0
76-100	Fudan University		71.9
76-100	Goethe University Frankfurt		79.9
76-100	McMaster University		72.6
76-100	New York University		74.8
76-100	Soochow University (China)		72.0
76-100	Swiss Federal Institute of Technology Lausanne		87.4
76-100	The University of Glasgow		78.5
76-100	Trinity College Dublin		77.8
76-100	Université Grenoble Alpes		81.5
76-100	University of Barcelona		77.2
76-100	University of California, Berkeley		87.1
76-100	University of Eastern Finland		72.1
76-100	University of Freiburg		74.8
76-100	University of Illinois at Chicago		76.7
76-100	University of Mainz		79.6
76-100	University of Miami		74.1
76-100	University of Montreal		70.7
76-100	University of Nottingham		100.0
76-100	University of Southern California		71.3
76-100	University of Southern Denmark		78.8
76-100	University of Turin		77.2
76-100	University of Zurich		74.2
76-100	Western University		76.8
101-150	Cardiff University		76.0
101-150	Emory University		78.2
101-150	Erasmus University Rotterdam		81.4
101-150	Guangzhou Medical University		76.1
101-150	Indiana University Bloomington		77.0
101-150	King Abdulaziz University		72.0
101-150	King Saud University		71.3
101-150	Laval University		72.8
101-150	Marche Polytechnic University		86.0
101-150	Nanyang Technological University		73.5
101-150	North Carolina State University - Raleigh		74.4
101-150	Oregon Health and Science University		78.8
101-150	Paul Sabatier University (Toulouse 3)		72.8
101-150	Peking Union Medical College		68.8
101-150	Peking University		69.7
101-150	Queen Mary University of London		77.2
101-150	Queensland University of Technology		83.8
101-150	RWTH Aachen University		77.8
101-150	Southern Medical University		73.1
101-150	Technical University of Denmark		89.2
101-150	Technical University of Dortmund		84.0
101-150	Technical University of Munich		71.1
101-150	Tel Aviv University		70.8
101-150	Texas A&M University		72.9
101-150	The Chinese University of Hong Kong		75.4
101-150	The University of Hong Kong		74.5
101-150	The University of New Mexico - Albuquerque		80.7
101-150	The University of Texas M. D. Anderson Cancer Center		71.4
101-150	The University of Tokyo		62.0
101-150	The University of Western Australia		74.6
101-150	University College Cork		78.7
101-150	University College Dublin		81.4
101-150	University of Antwerp		75.6
101-150	University of Bari		74.3
101-150	University of Bochum		72.5
101-150	University of Bristol		100.0
101-150	University of Gothenburg		75.1
101-150	University of Hamburg		74.8
101-150	University of Kansas		70.1
101-150	University of Marburg		73.1
101-150	University of Naples Federico II		77.1
101-150	University of Navarra		77.1
101-150	University of Pavia		75.9
101-150	University of Porto		76.5
101-150	University of Sao Paulo		66.7
101-150	University of Strathclyde		79.5
101-150	University of Wisconsin - Madison		70.0
101-150	University of York		75.2
101-150	Washington University in St. Louis		76.0
101-150	Zhejiang University		72.3
151-200	Aarhus University		71.3
151-200	Albert Einstein College of Medicine		69.9
151-200	Autonomous University of Barcelona		73.2
151-200	Autonomous University of Madrid		71.3
151-200	Cairo University		71.1
151-200	China Medical University (Taichung)		69.9
151-200	Claude Bernard University Lyon 1		62.9
151-200	Complutense University of Madrid		72.1
151-200	Griffith University		68.5
151-200	Huazhong University of Science and Technology		74.3
151-200	Jilin University		72.6
151-200	Jinan University		69.8
151-200	Korea University		66.0
151-200	Medical University of Vienna		73.7
151-200	Nanjing Medical University		75.1
151-200	Nanjing University		78.0
151-200	National Autonomous University of Mexico		58.9
151-200	National Taiwan University		70.7
151-200	Pompeu Fabra University		89.3
151-200	Sapienza University of Rome		71.4
151-200	Shandong University		69.4
151-200	Shenyang Pharmaceutical University		68.1
151-200	Sichuan University		72.2
151-200	Sungkyunkwan University		71.2
151-200	Technion-Israel Institute of Technology		76.0
151-200	The University of Texas Health Science Center at Houston		68.6
151-200	Tsinghua University		83.3
151-200	University of Birmingham		79.7
151-200	University of Bologna		78.5
151-200	University of Goettingen		68.9
151-200	University of Greenwich		100.0
151-200	University of Innsbruck		90.6
151-200	University of Kiel		67.9
151-200	University of Lisbon		73.9
151-200	University of Massachusetts Medical School - Worcester		72.9
151-200	University of Montpellier		72.3
151-200	University of Munich		72.1
151-200	University of Padua		74.2
151-200	University of Palermo		74.5
151-200	University of Perugia		72.5
151-200	University of Rochester		71.5
151-200	University of Santiago Compostela		79.1
151-200	University of South Florida		71.8
151-200	University of Tuebingen		80.2
151-200	University of Turku		76.8
151-200	Virginia Polytechnic Institute and State University		81.9
151-200	Vrije Universiteit Amsterdam		77.9
151-200	Wake Forest University		71.0
151-200	Yeshiva University		70.6
151-200	Zhengzhou University		74.6
201-300	Abo Akademi University		92.7
201-300	Ain Shams University		76.4
201-300	Aix Marseille University		71.4
201-300	Al-Azhar University		73.8
201-300	Alexandria University		74.2
201-300	Anhui Medical University		73.9
201-300	Beni-Suef University		79.4
201-300	Capital Medical University		67.3
201-300	Catholic University of Louvain		79.4
201-300	Central South University		73.1
201-300	Charles University in Prague		68.3
201-300	Dalhousie University		86.9
201-300	Dalian Medical University		76.8
201-300	Guangzhou University of Chinese Medicine		76.4
201-300	Heinrich Heine University Duesseldorf		74.8
201-300	Huazhong Agricultural University		76.3
201-300	Iuliu Hatieganu University of Medicine and Pharmacy Cluj-Napoca		69.2
201-300	Jagiellonian University		68.0
201-300	Kafrelsheikh University		92.1
201-300	Kyoto University		62.3
201-300	Linkoping University		81.7
201-300	London School of Hygiene & Tropical Medicine		79.5
