1	Harvard University	296.5	71.9
2	University of California, San Francisco	234.6	66.9
3	University of California, San Diego	221.0	72.0
4	University of Oxford	220.4	86.8
5	University College London	219.5	81.9
6	University of Cambridge	218.7	84.7
7	Karolinska Institute	215.6	88.2
7	University of Copenhagen	215.6	80.8
9	University of North Carolina at Chapel Hill	214.6	61.0
10	University of Toronto	214.0	78.8
11	Massachusetts Institute of Technology (MIT)	213.3	74.5
12	Yale University	212.4	67.2
13	University of Pennsylvania	210.0	61.2
14	University of Paris	208.7	71.5
15	Imperial College London	208.1	82.5
16	Johns Hopkins University	207.0	69.1
16	University of California, Los Angeles	207.0	67.6
18	Monash University	206.3	81.4
19	Duke University	201.9	63.1
20	Utrecht University	201.1	78.4
21	King's College London	198.5	80.2
22	The University of Edinburgh	198.1	78.6
23	Icahn School of Medicine at Mount Sinai	196.8	69.0
24	University of Pittsburgh	195.5	60.4
25	Uppsala University	194.9	81.2
26	Sorbonne University	194.8	74.9
27	Stanford University	192.3	66.9
28	University of Washington	192.0	60.7
29	University of Michigan-Ann Arbor	191.7	59.5
30	Paris-Saclay University	191.0	74.9
31	Columbia University	189.3	69.5
32	KU Leuven	188.8	88.3
33	The University of Texas Southwestern Medical Center at Dallas	187.9	65.2
34	University of Groningen	186.9	78.6
35	Free University Berlin	185.7	74.6
36	Leiden University	185.2	78.7
37	McGill University	184.8	78.0
38	The University of Queensland	184.5	79.2
39	Sun Yat-sen University	183.0	44.4
40	Rutgers, The State University of New Jersey - New Brunswick	182.8	64.7
41	Heidelberg University	182.7	78.2
42	Shanghai Jiao Tong University	181.3	46.1
43	University of Minnesota, Twin Cities	180.7	56.3
44	University of Helsinki	179.9	84.2
45	The University of Calgary	179.0	82.2
46	ETH Zurich	178.7	83.3
47	University of Lausanne	178.1	79.2
48	University of Basel	177.4	83.8
49	The University of Dundee	176.7	83.8
50	University of Sydney	176.2	77.2
51-75	Baylor College of Medicine		61.4
51-75	Charite - Universitats Medizin Berlin		73.6
51-75	China Pharmaceutical University		42.3
51-75	Cornell University		71.0
51-75	Ghent University		80.8
51-75	Humboldt University of Berlin		73.0
51-75	Mayo Clinic Alix School of Medicine		62.3
51-75	National University of Singapore		80.0
51-75	Purdue University - West Lafayette		61.0
51-75	Radboud University Nijmegen		77.8
51-75	Seoul National University		52.2
51-75	The University of Manchester		79.8
51-75	The University of Melbourne		76.9
51-75	The University of Texas Medical Branch at Galveston		60.0
51-75	University of Alberta		78.7
51-75	University of Amsterdam		81.3
51-75	University of Bonn		73.6
51-75	University of British Columbia		79.9
51-75	University of California, Davis		65.8
51-75	University of Florence		75.1
51-75	University of Florida		68.6
51-75	University of Liverpool		85.2
51-75	University of Milan		65.5
51-75	University of Strasbourg		78.9
51-75	Vanderbilt University		59.2
76-100	Boston University		61.0
76-100	Case Western Reserve University		62.7
76-100	Fudan University		48.9
76-100	Goethe University Frankfurt		77.2
76-100	McMaster University		74.8
76-100	New York University		65.4
76-100	Soochow University (China)		41.9
76-100	Swiss Federal Institute of Technology Lausanne		86.1
76-100	The University of Glasgow		86.8
76-100	Trinity College Dublin		86.2
76-100	Université Grenoble Alpes		74.2
76-100	University of Barcelona		75.8
76-100	University of California, Berkeley		73.7
76-100	University of Eastern Finland		83.8
76-100	University of Freiburg		74.5
76-100	University of Illinois at Chicago		63.0
76-100	University of Mainz		82.6
76-100	University of Miami		62.6
76-100	University of Montreal		70.7
76-100	University of Nottingham		82.0
76-100	University of Southern California		66.2
76-100	University of Southern Denmark		81.0
76-100	University of Turin		64.2
76-100	University of Zurich		80.9
76-100	Western University		72.3
101-150	Cardiff University		84.5
101-150	Emory University		61.7
101-150	Erasmus University Rotterdam		80.9
101-150	Guangzhou Medical University		50.4
101-150	Indiana University Bloomington		58.7
101-150	King Abdulaziz University		96.1
101-150	King Saud University		89.4
101-150	Laval University		72.6
101-150	Marche Polytechnic University		66.5
101-150	Nanyang Technological University		84.0
101-150	North Carolina State University - Raleigh		54.0
101-150	Oregon Health and Science University		50.5
101-150	Paul Sabatier University (Toulouse 3)		72.3
101-150	Peking Union Medical College		38.7
101-150	Peking University		50.4
101-150	Queen Mary University of London		84.8
101-150	Queensland University of Technology		78.3
101-150	RWTH Aachen University		80.4
101-150	Southern Medical University		41.7
101-150	Technical University of Denmark		82.4
101-150	Technical University of Dortmund		74.0
101-150	Technical University of Munich		78.8
101-150	Tel Aviv University		75.5
101-150	Texas A&M University		66.1
101-150	The Chinese University of Hong Kong		59.1
101-150	The University of Hong Kong		66.1
101-150	The University of New Mexico - Albuquerque		61.4
101-150	The University of Texas M. D. Anderson Cancer Center		63.6
101-150	The University of Tokyo		51.7
101-150	The University of Western Australia		79.4
101-150	University College Cork		78.1
101-150	University College Dublin		84.4
101-150	University of Antwerp		82.7
101-150	University of Bari		62.7
101-150	University of Bochum		70.6
101-150	University of Bristol		79.8
101-150	University of Gothenburg		79.8
101-150	University of Hamburg		76.2
101-150	University of Kansas		55.6
101-150	University of Marburg		71.4
101-150	University of Naples Federico II		69.1
101-150	University of Navarra		75.8
101-150	University of Pavia		65.6
101-150	University of Porto		69.5
101-150	University of Sao Paulo		60.9
101-150	University of Strathclyde		83.7
101-150	University of Wisconsin - Madison		56.5
101-150	University of York		80.2
101-150	Washington University in St. Louis		56.1
101-150	Zhejiang University		46.6
151-200	Aarhus University		83.6
151-200	Albert Einstein College of Medicine		69.9
151-200	Autonomous University of Barcelona		72.4
151-200	Autonomous University of Madrid		70.3
151-200	Cairo University		66.8
151-200	China Medical University (Taichung)		58.1
151-200	Claude Bernard University Lyon 1		67.7
151-200	Complutense University of Madrid		66.7
151-200	Griffith University		78.2
151-200	Huazhong University of Science and Technology		42.5
151-200	Jilin University		42.8
151-200	Jinan University		46.1
151-200	Korea University		47.8
