1	Harvard University	284.3	
2	Johns Hopkins University	217.6	
3	London School of Hygiene & Tropical Medicine	211.0	
4	University of Washington	207.1	
5	University College London	203.3	
6	Imperial College London	202.2	
7	Karolinska Institute	201.6	
8	University of North Carolina at Chapel Hill	200.2	
9	University of Bristol	198.2	
10	University of Oxford	197.5	
11	University of Toronto	197.2	
12	Columbia University	189.6	
13	University of Copenhagen	187.5	
14	University of California, San Francisco	184.7	
15	Emory University	182.8	
16	The University of Melbourne	182.0	
17	University of Michigan-Ann Arbor	181.3	
17	Utrecht University	181.3	
19	Erasmus University Rotterdam	180.5	
20	University of Cambridge	177.9	
21	McGill University	176.7	
22	Pompeu Fabra University	175.6	
23	Boston University	174.9	
24	The University of Queensland	173.9	
25	Yale University	173.8	
26	University of California, Berkeley	173.7	
27	University of California, Los Angeles	173.3	
28	King's College London	171.7	
29	The University of Edinburgh	171.3	
30	Stanford University	169.6	
31	Aarhus University	169.2	
32	Icahn School of Medicine at Mount Sinai	167.8	
32	University of Oslo	167.8	
34	University of Sydney	167.2	
35	University of Basel	167.0	
36	University of British Columbia	166.9	
37	Monash University	165.7	
38	University of Helsinki	161.8	
39	Duke University	161.3	
40	University of Groningen	160.9	
41	University of Southampton	160.8	
42	University of Ottawa	160.4	
43	The University of New South Wales	160.3	
44	Brown University	159.8	
45	University of Bergen	159.2	
46	University of Pittsburgh	158.6	
47	University of Pennsylvania	158.3	
48	Lund University	157.8	
49	Heidelberg University	157.7	
50	University of Southern California	156.5	
51-75	Dartmouth College		
51-75	Fudan University		
51-75	National University of Singapore		
51-75	New York University		
51-75	Peking Union Medical College		
51-75	Seoul National University		
51-75	Shanghai Jiao Tong University		
51-75	The University of Auckland		
51-75	The University of Hong Kong		
51-75	The University of Western Australia		
51-75	University of Barcelona		
51-75	University of California, Davis		
51-75	University of California, Irvine		
51-75	University of California, San Diego		
51-75	University of Cape Town		
51-75	University of Crete		
51-75	University of Leicester		
51-75	University of Liverpool		
51-75	University of Minnesota, Twin Cities		
51-75	University of Montreal		
51-75	University of Otago		
51-75	University of Southern Denmark		
51-75	University of Tromso		
51-75	University of Ulm		
51-75	University of Valencia		
51-75	Uppsala University		
76-100	Aga Khan University		
76-100	KU Leuven		
76-100	Kwame Nkrumah University Science & Technology		
76-100	Maastricht University		
