1	Harvard University	284.3	70.4
2	Johns Hopkins University	217.6	69.8
3	London School of Hygiene & Tropical Medicine	211.0	73.5
4	University of Washington	207.1	71.9
5	University College London	203.3	73.3
6	Imperial College London	202.2	79.9
7	Karolinska Institute	201.6	70.5
8	University of North Carolina at Chapel Hill	200.2	68.7
9	University of Bristol	198.2	81.8
10	University of Oxford	197.5	77.9
11	University of Toronto	197.2	68.4
12	Columbia University	189.6	70.5
13	University of Copenhagen	187.5	70.9
14	University of California, San Francisco	184.7	70.1
15	Emory University	182.8	74.5
16	The University of Melbourne	182.0	72.7
17	University of Michigan-Ann Arbor	181.3	66.4
17	Utrecht University	181.3	72.3
19	Erasmus University Rotterdam	180.5	79.3
20	University of Cambridge	177.9	82.2
21	McGill University	176.7	70.6
22	Pompeu Fabra University	175.6	83.0
23	Boston University	174.9	73.2
24	The University of Queensland	173.9	73.0
25	Yale University	173.8	72.7
26	University of California, Berkeley	173.7	69.7
27	University of California, Los Angeles	173.3	66.5
28	King's College London	171.7	76.7
29	The University of Edinburgh	171.3	88.5
30	Stanford University	169.6	77.9
31	Aarhus University	169.2	73.9
32	Icahn School of Medicine at Mount Sinai	167.8	74.6
32	University of Oslo	167.8	73.2
34	University of Sydney	167.2	68.3
35	University of Basel	167.0	77.8
36	University of British Columbia	166.9	71.7
37	Monash University	165.7	68.5
38	University of Helsinki	161.8	79.8
39	Duke University	161.3	69.0
40	University of Groningen	160.9	78.4
41	University of Southampton	160.8	80.7
42	University of Ottawa	160.4	77.7
43	The University of New South Wales	160.3	69.1
44	Brown University	159.8	68.1
45	University of Bergen	159.2	83.8
46	University of Pittsburgh	158.6	71.7
47	University of Pennsylvania	158.3	73.1
48	Lund University	157.8	75.2
49	Heidelberg University	157.7	85.6
50	University of Southern California	156.5	65.7
51-75	Dartmouth College		81.8
51-75	Fudan University		81.1
51-75	National University of Singapore		70.7
51-75	New York University		71.6
51-75	Peking Union Medical College		87.6
51-75	Seoul National University		76.3
51-75	Shanghai Jiao Tong University		89.0
51-75	The University of Auckland		80.0
51-75	The University of Hong Kong		85.7
51-75	The University of Western Australia		81.8
51-75	University of Barcelona		74.7
51-75	University of California, Davis		68.8
51-75	University of California, Irvine		92.0
51-75	University of California, San Diego		73.8
51-75	University of Cape Town		80.0
51-75	University of Crete		100.0
51-75	University of Leicester		98.5
51-75	University of Liverpool		76.0
51-75	University of Minnesota, Twin Cities		63.8
51-75	University of Montreal		72.9
51-75	University of Otago		80.3
51-75	University of Southern Denmark		65.6
51-75	University of Tromso		83.0
51-75	University of Ulm		100.0
51-75	University of Valencia		89.2
51-75	Uppsala University		83.5
76-100	Aga Khan University		100.0
76-100	KU Leuven		65.7
76-100	Kwame Nkrumah University Science & Technology		100.0
76-100	Maastricht University		63.8
76-100	McMaster University		80.2
76-100	Muhimbili University of Health and Allied Sciences		100.0
76-100	National Taiwan University		74.8
76-100	Northeastern University (Boston)		100.0
76-100	Northwestern University		76.5
76-100	Queen Mary University of London		86.4
76-100	The Australian National University		83.4
76-100	The George Washington University		73.5
76-100	Umea University		65.0
76-100	University at Albany (State University of New York)		95.2
76-100	University of Alabama at Birmingham		77.7
76-100	University of Amsterdam		62.3
76-100	University of KwaZulu-Natal		82.9
76-100	University of Paris		63.8
76-100	University of Sao Paulo		68.3
76-100	University of the Witwatersrand		70.2
76-100	University of Virginia		84.2
76-100	University of Zambia		100.0
76-100	Vanderbilt University		68.2
76-100	Washington University in St. Louis		79.0
101-150	Aalborg University		85.9
101-150	Addis Ababa University		93.9
101-150	Albert Einstein College of Medicine		85.1
101-150	All India Institute of Medical Sciences, New Delhi		100.0
101-150	Aristotle University of Thessaloniki		100.0
101-150	AUT University		100.0
101-150	Autonomous University of Madrid		88.1
101-150	Cairo University		100.0
101-150	Case Western Reserve University		80.5
101-150	Curtin University		77.5
101-150	Free University Berlin		80.7
101-150	Ghent University		70.0
101-150	Hanoi Medical University		100.0
101-150	Humboldt University of Berlin		81.2
101-150	Jagiellonian University		97.6
101-150	Mayo Clinic Alix School of Medicine		77.7
101-150	Medical University of Innsbruck		89.8
101-150	Nanjing University		100.0
101-150	Newcastle University		73.6
101-150	North-West University		96.7
101-150	Queensland University of Technology		80.3
101-150	Simon Fraser University		70.0
101-150	Sorbonne University		63.1
101-150	Stellenbosch University		78.3
101-150	Swansea University		100.0
101-150	Tampere University		76.5
101-150	The University of Adelaide		81.0
101-150	The University of Calgary		78.2
101-150	The University of Glasgow		70.6
101-150	The University of Sheffield		79.4
101-150	Tufts University		77.3
101-150	University College Cork		91.6
101-150	University of Aberdeen		83.8
101-150	University of Alberta		67.8
101-150	University of Bari		100.0
101-150	University of Bologna		94.0
101-150	University of Brighton		96.4
101-150	University of Colorado Health Science Center		72.8
101-150	University of Gothenburg		78.8
101-150	University of Ibadan		97.8
101-150	University of Lorraine		100.0
101-150	University of Milan		72.1
101-150	University of Munich		75.2
101-150	University of Porto		83.9
101-150	University of the Republic - Uruguay		100.0
101-150	University of Warwick		84.3
101-150	University of Zurich		79.1
101-150	Vrije Universiteit Amsterdam		65.4
101-150	Wageningen University & Research		88.5
101-150	Yeshiva University		82.6
151-200	American University of Beirut		84.2
151-200	Baylor College of Medicine		69.9
151-200	Bielefeld University		100.0
151-200	Brandeis University		100.0
151-200	Central South University		93.9
151-200	Charite - Universitats Medizin Berlin		82.6
151-200	Christian Medical College & Hospital (CMCH) Vellore		100.0
151-200	Cornell University		66.2
151-200	Dalhousie University		72.4
151-200	Deakin University		66.0
151-200	Jordan University of Science and Technology		100.0
151-200	Korea University		92.6
151-200	Kyoto University		87.4
151-200	National and Kapodistrian University of Athens		68.2
151-200	National University of Malaysia		100.0
151-200	Norwegian University of Science and Technology - NTNU		71.3
151-200	Oregon Health and Science University		81.5
151-200	Paris-Saclay University		60.7
151-200	Peking University		59.2
151-200	Radboud University Nijmegen		63.5
151-200	Rutgers, The State University of New Jersey - New Brunswick		63.5
151-200	St George's, University of London		79.2
151-200	Sun Yat-sen University		81.3
151-200	Taipei Medical University		87.9
151-200	The Ohio State University - Columbus		67.9
151-200	The University of Manchester		63.7
151-200	The University of Tokyo		77.0
151-200	Universidade Federal de Pelotas		73.7
151-200	University of Antwerp		69.7
151-200	University of Arizona		78.4
151-200	University of Belgrade		98.4
151-200	University of Birmingham		78.9
151-200	University of Canberra		100.0
151-200	University of Chicago		65.0
151-200	University of Cincinnati		68.5
151-200	University of East Anglia		79.1
151-200	Exeter University		70.9
151-200	University of Hohenheim		100.0
151-200	University of Illinois at Chicago		63.9
151-200	University of Iowa		65.4
151-200	University of Kinshasa		100.0
151-200	University of Leeds		65.9
151-200	University of Massachusetts Amherst		68.7
151-200	University of South Australia		74.8
151-200	University of Sussex		92.5
151-200	University of Tartu		83.9
151-200	University of Wisconsin - Madison		65.3
151-200	University of York		80.7
151-200	Weill Cornell Medical College Qatar		100.0
151-200	Wuhan University		94.9
201-300	Brigham Young University		80.9
201-300	Cardiff University		65.7
201-300	Catholic University of Louvain		67.2
201-300	ETH Zurich		66.3
201-300	Federal University of Minas Gerais		80.0
201-300	Federal University of Rio Grande do Sul		86.3
201-300	Federal University of Santa Catarina		95.7
201-300	Flinders University		75.2
201-300	George Mason University		98.2
201-300	Georgetown University		76.7
201-300	Griffith University		75.7
201-300	Hacettepe University		100.0
201-300	Huazhong University of Science and Technology		61.5
201-300	Indiana University Bloomington		57.9
201-300	James Cook University		93.4
201-300	Jimma University		100.0
