1	Harvard University	284.3	69.3
2	Johns Hopkins University	217.6	70.4
3	London School of Hygiene & Tropical Medicine	211.0	92.3
4	University of Washington	207.1	65.1
5	University College London	203.3	79.6
6	Imperial College London	202.2	85.5
7	Karolinska Institute	201.6	85.1
8	University of North Carolina at Chapel Hill	200.2	61.2
9	University of Bristol	198.2	72.0
10	University of Oxford	197.5	86.7
11	University of Toronto	197.2	72.4
12	Columbia University	189.6	64.2
13	University of Copenhagen	187.5	80.2
14	University of California, San Francisco	184.7	64.8
15	Emory University	182.8	62.0
16	The University of Melbourne	182.0	74.7
17	University of Michigan-Ann Arbor	181.3	54.0
17	Utrecht University	181.3	78.2
19	Erasmus University Rotterdam	180.5	78.1
20	University of Cambridge	177.9	77.7
21	McGill University	176.7	75.6
22	Pompeu Fabra University	175.6	82.1
23	Boston University	174.9	59.5
24	The University of Queensland	173.9	72.8
25	Yale University	173.8	61.4
26	University of California, Berkeley	173.7	66.6
27	University of California, Los Angeles	173.3	59.9
28	King's College London	171.7	76.3
29	The University of Edinburgh	171.3	75.6
30	Stanford University	169.6	63.9
31	Aarhus University	169.2	76.4
32	Icahn School of Medicine at Mount Sinai	167.8	63.8
32	University of Oslo	167.8	78.3
34	University of Sydney	167.2	70.3
35	University of Basel	167.0	87.7
36	University of British Columbia	166.9	72.0
37	Monash University	165.7	71.0
38	University of Helsinki	161.8	77.9
39	Duke University	161.3	62.4
40	University of Groningen	160.9	74.5
41	University of Southampton	160.8	77.0
42	University of Ottawa	160.4	70.7
43	The University of New South Wales	160.3	71.9
44	Brown University	159.8	55.0
45	University of Bergen	159.2	81.7
46	University of Pittsburgh	158.6	51.7
47	University of Pennsylvania	158.3	51.7
48	Lund University	157.8	74.6
49	Heidelberg University	157.7	81.2
50	University of Southern California	156.5	53.8
51-75	Dartmouth College		55.6
51-75	Fudan University		71.8
51-75	National University of Singapore		85.3
51-75	New York University		54.0
51-75	Peking Union Medical College		68.6
51-75	Seoul National University		56.5
51-75	Shanghai Jiao Tong University		67.4
51-75	The University of Auckland		81.2
51-75	The University of Hong Kong		73.2
51-75	The University of Western Australia		68.2
51-75	University of Barcelona		74.7
51-75	University of California, Davis		65.1
51-75	University of California, Irvine		60.0
51-75	University of California, San Diego		63.6
51-75	University of Cape Town		89.7
51-75	University of Crete		92.9
51-75	University of Leicester		69.7
51-75	University of Liverpool		85.1
51-75	University of Minnesota, Twin Cities		53.1
51-75	University of Montreal		70.5
51-75	University of Otago		76.0
51-75	University of Southern Denmark		76.5
51-75	University of Tromso		81.6
51-75	University of Ulm		75.4
51-75	University of Valencia		66.2
51-75	Uppsala University		78.8
76-100	Aga Khan University		92.9
76-100	KU Leuven		85.2
76-100	Kwame Nkrumah University Science & Technology		92.0
76-100	Maastricht University		79.0
76-100	McMaster University		72.5
76-100	Muhimbili University of Health and Allied Sciences		94.9
76-100	National Taiwan University		56.8
76-100	Northeastern University (Boston)		56.9
76-100	Northwestern University		50.7
76-100	Queen Mary University of London		74.7
76-100	The Australian National University		73.9
76-100	The George Washington University		56.2
76-100	Umea University		82.2
76-100	University at Albany (State University of New York)		54.3
76-100	University of Alabama at Birmingham		52.0
76-100	University of Amsterdam		78.1
76-100	University of KwaZulu-Natal		86.6
76-100	University of Paris		71.0
76-100	University of Sao Paulo		63.1
76-100	University of the Witwatersrand		90.0
76-100	University of Virginia		61.6
76-100	University of Zambia		98.1
76-100	Vanderbilt University		58.1
76-100	Washington University in St. Louis		56.5
101-150	Aalborg University		66.3
101-150	Addis Ababa University		83.5
101-150	Albert Einstein College of Medicine		51.7
101-150	All India Institute of Medical Sciences, New Delhi		64.6
101-150	Aristotle University of Thessaloniki		78.5
101-150	AUT University		80.5
101-150	Autonomous University of Madrid		72.5
101-150	Cairo University		74.2
101-150	Case Western Reserve University		54.8
101-150	Curtin University		67.9
101-150	Free University Berlin		76.4
101-150	Ghent University		85.6
101-150	Hanoi Medical University		99.5
101-150	Humboldt University of Berlin		75.2
101-150	Jagiellonian University		68.6
101-150	Mayo Clinic Alix School of Medicine		51.3
101-150	Medical University of Innsbruck		89.9
101-150	Nanjing University		56.1
101-150	Newcastle University		72.0
101-150	North-West University		83.5
101-150	Queensland University of Technology		68.8
101-150	Simon Fraser University		70.3
101-150	Sorbonne University		71.4
101-150	Stellenbosch University		86.8
101-150	Swansea University		74.2
101-150	Tampere University		79.0
101-150	The University of Adelaide		68.4
101-150	The University of Calgary		67.8
101-150	The University of Glasgow		71.5
101-150	The University of Sheffield		70.8
101-150	Tufts University		64.0
101-150	University College Cork		74.6
101-150	University of Aberdeen		74.1
101-150	University of Alberta		66.5
101-150	University of Bari		61.5
101-150	University of Bologna		68.4
101-150	University of Brighton		76.4
101-150	University of Colorado Health Science Center		50.3
101-150	University of Gothenburg		72.6
101-150	University of Ibadan		81.7
101-150	University of Lorraine		72.8
101-150	University of Milan		68.9
101-150	University of Munich		78.1
101-150	University of Porto		75.2
101-150	University of the Republic - Uruguay		89.9
101-150	University of Warwick		76.7
101-150	University of Zurich		80.4
101-150	Vrije Universiteit Amsterdam		73.1
101-150	Wageningen University & Research		75.8
101-150	Yeshiva University		53.4
151-200	American University of Beirut		85.8
151-200	Baylor College of Medicine		55.0
151-200	Bielefeld University		69.5
151-200	Brandeis University		56.5
151-200	Central South University		62.2
151-200	Charite - Universitats Medizin Berlin		74.9
151-200	Christian Medical College & Hospital (CMCH) Vellore		76.0
151-200	Cornell University		64.0
151-200	Dalhousie University		65.3
151-200	Deakin University		69.0
151-200	Jordan University of Science and Technology		83.2
151-200	Korea University		57.0
151-200	Kyoto University		60.7
151-200	National and Kapodistrian University of Athens		81.2
151-200	National University of Malaysia		64.5
151-200	Norwegian University of Science and Technology - NTNU		75.2
151-200	Oregon Health and Science University		50.4
151-200	Paris-Saclay University		71.8
151-200	Peking University		68.5
151-200	Radboud University Nijmegen		76.2
151-200	Rutgers, The State University of New Jersey - New Brunswick		56.1
151-200	St George's, University of London		73.7
151-200	Sun Yat-sen University		65.7
151-200	Taipei Medical University		57.8
151-200	The Ohio State University - Columbus		51.4
151-200	The University of Manchester		68.9
151-200	The University of Tokyo		64.3
151-200	Universidade Federal de Pelotas		64.6
151-200	University of Antwerp		89.7
151-200	University of Arizona		54.4
151-200	University of Belgrade		69.3
151-200	University of Birmingham		65.0
151-200	University of Canberra		67.9
151-200	University of Chicago		51.8
151-200	University of Cincinnati		52.9
151-200	University of East Anglia		73.2
151-200	Exeter University		68.1
