1	Harvard University	284.3	100.0
2	Johns Hopkins University	217.6	76.6
3	London School of Hygiene & Tropical Medicine	211.0	60.7
4	University of Washington	207.1	64.5
5	University College London	203.3	59.7
6	Imperial College London	202.2	50.9
7	Karolinska Institute	201.6	49.5
8	University of North Carolina at Chapel Hill	200.2	59.5
9	University of Bristol	198.2	38.3
10	University of Oxford	197.5	54.3
11	University of Toronto	197.2	61.9
12	Columbia University	189.6	54.9
13	University of Copenhagen	187.5	47.0
14	University of California, San Francisco	184.7	64.0
15	Emory University	182.8	48.7
16	The University of Melbourne	182.0	47.7
17	University of Michigan-Ann Arbor	181.3	54.5
17	Utrecht University	181.3	42.3
19	Erasmus University Rotterdam	180.5	44.0
20	University of Cambridge	177.9	40.0
21	McGill University	176.7	43.1
22	Pompeu Fabra University	175.6	24.7
23	Boston University	174.9	45.6
24	The University of Queensland	173.9	43.0
25	Yale University	173.8	50.7
26	University of California, Berkeley	173.7	37.1
27	University of California, Los Angeles	173.3	52.0
28	King's College London	171.7	42.6
29	The University of Edinburgh	171.3	33.8
30	Stanford University	169.6	46.1
31	Aarhus University	169.2	36.7
32	Icahn School of Medicine at Mount Sinai	167.8	33.7
32	University of Oslo	167.8	34.7
34	University of Sydney	167.2	48.7
35	University of Basel	167.0	33.5
36	University of British Columbia	166.9	46.3
37	Monash University	165.7	45.4
38	University of Helsinki	161.8	31.9
39	Duke University	161.3	43.7
40	University of Groningen	160.9	34.9
41	University of Southampton	160.8	33.1
42	University of Ottawa	160.4	36.4
43	The University of New South Wales	160.3	45.9
44	Brown University	159.8	43.6
45	University of Bergen	159.2	26.3
46	University of Pittsburgh	158.6	44.4
47	University of Pennsylvania	158.3	50.1
48	Lund University	157.8	30.1
49	Heidelberg University	157.7	28.8
50	University of Southern California	156.5	38.1
51-75	Dartmouth College		27.6
51-75	Fudan University		25.7
51-75	National University of Singapore		33.8
51-75	New York University		38.5
51-75	Peking Union Medical College		21.3
51-75	Seoul National University		29.8
