1	Harvard University	284.3	100.0
2	Johns Hopkins University	217.6	57.1
3	London School of Hygiene & Tropical Medicine	211.0	58.4
4	University of Washington	207.1	57.7
5	University College London	203.3	54.3
6	Imperial College London	202.2	54.3
7	Karolinska Institute	201.6	64.6
8	University of North Carolina at Chapel Hill	200.2	59.7
9	University of Bristol	198.2	63.7
10	University of Oxford	197.5	47.9
11	University of Toronto	197.2	52.5
12	Columbia University	189.6	51.4
13	University of Copenhagen	187.5	53.6
14	University of California, San Francisco	184.7	37.7
15	Emory University	182.8	47.1
16	The University of Melbourne	182.0	46.7
17	University of Michigan-Ann Arbor	181.3	49.5
17	Utrecht University	181.3	51.0
19	Erasmus University Rotterdam	180.5	41.5
20	University of Cambridge	177.9	40.1
21	McGill University	176.7	47.9
22	Pompeu Fabra University	175.6	51.4
23	Boston University	174.9	44.2
24	The University of Queensland	173.9	43.3
25	Yale University	173.8	38.2
26	University of California, Berkeley	173.7	53.6
27	University of California, Los Angeles	173.3	42.9
28	King's College London	171.7	37.1
29	The University of Edinburgh	171.3	33.9
30	Stanford University	169.6	32.8
31	Aarhus University	169.2	43.3
32	Icahn School of Medicine at Mount Sinai	167.8	46.7
32	University of Oslo	167.8	44.2
34	University of Sydney	167.2	36.1
35	University of Basel	167.0	38.2
36	University of British Columbia	166.9	34.5
37	Monash University	165.7	37.7
38	University of Helsinki	161.8	34.5
39	Duke University	161.3	36.1
40	University of Groningen	160.9	32.8
41	University of Southampton	160.8	31.6
42	University of Ottawa	160.4	32.2
43	The University of New South Wales	160.3	30.9
44	Brown University	159.8	37.1
45	University of Bergen	159.2	32.8
46	University of Pittsburgh	158.6	32.2
47	University of Pennsylvania	158.3	24.8
48	Lund University	157.8	37.7
49	Heidelberg University	157.7	27.0
50	University of Southern California	156.5	42.0
51-75	Dartmouth College		29.7
51-75	Fudan University		26.3
51-75	National University of Singapore		27.7
51-75	New York University		32.2
51-75	Peking Union Medical College		24.8
51-75	Seoul National University		36.1
51-75	Shanghai Jiao Tong University		27.7
51-75	The University of Auckland		24.8
51-75	The University of Hong Kong		22.3
51-75	The University of Western Australia		29.0
51-75	University of Barcelona		20.5
51-75	University of California, Davis		33.9
51-75	University of California, Irvine		27.7
51-75	University of California, San Diego		23.2
51-75	University of Cape Town		19.6
51-75	University of Crete		19.6
51-75	University of Leicester		21.4
51-75	University of Liverpool		24.0
51-75	University of Minnesota, Twin Cities		29.7
51-75	University of Montreal		35.6
51-75	University of Otago		23.2
51-75	University of Southern Denmark		40.1
51-75	University of Tromso		27.7
51-75	University of Ulm		19.6
51-75	University of Valencia		28.4
51-75	Uppsala University		29.0
76-100	Aga Khan University		10.7
76-100	KU Leuven		30.3
76-100	Kwame Nkrumah University Science & Technology		12.4
76-100	Maastricht University		27.0
76-100	McMaster University		18.6
76-100	Muhimbili University of Health and Allied Sciences		10.7
76-100	National Taiwan University		29.0
76-100	Northeastern University (Boston)		12.4
76-100	Northwestern University		19.6
76-100	Queen Mary University of London		20.5
76-100	The Australian National University		20.5
76-100	The George Washington University		29.0
76-100	Umea University		36.1
76-100	University at Albany (State University of New York)		18.6
76-100	University of Alabama at Birmingham		18.6
76-100	University of Amsterdam		26.3
76-100	University of KwaZulu-Natal		18.6
76-100	University of Paris		30.9
76-100	University of Sao Paulo		30.3
76-100	University of the Witwatersrand		20.5
76-100	University of Virginia		20.5
76-100	University of Zambia		8.8
76-100	Vanderbilt University		29.0
76-100	Washington University in St. Louis		20.5
101-150	Aalborg University		17.5
101-150	Addis Ababa University		8.8
101-150	Albert Einstein College of Medicine		16.4
101-150	All India Institute of Medical Sciences, New Delhi		8.8
101-150	Aristotle University of Thessaloniki		6.2
101-150	AUT University		6.2
101-150	Autonomous University of Madrid		15.2
101-150	Cairo University		10.7
101-150	Case Western Reserve University		13.8
101-150	Curtin University		18.6
101-150	Free University Berlin		12.4
101-150	Ghent University		21.4
101-150	Hanoi Medical University		8.8
101-150	Humboldt University of Berlin		12.4
101-150	Jagiellonian University		8.8
101-150	Mayo Clinic Alix School of Medicine		21.4
101-150	Medical University of Innsbruck		13.8
101-150	Nanjing University		12.4
101-150	Newcastle University		23.2
101-150	North-West University		13.8
101-150	Queensland University of Technology		22.3
101-150	Simon Fraser University		29.0
101-150	Sorbonne University		25.5
101-150	Stellenbosch University		15.2
101-150	Swansea University		6.2
101-150	Tampere University		22.3
101-150	The University of Adelaide		21.4
101-150	The University of Calgary		15.2
101-150	The University of Glasgow		24.8
101-150	The University of Sheffield		16.4
101-150	Tufts University		17.5
101-150	University College Cork		13.8
101-150	University of Aberdeen		18.6
101-150	University of Alberta		21.4
101-150	University of Bari		12.4
101-150	University of Bologna		8.8
101-150	University of Brighton		6.2
101-150	University of Colorado Health Science Center		16.4
101-150	University of Gothenburg		23.2
101-150	University of Ibadan		12.4
101-150	University of Lorraine		12.4
101-150	University of Milan		24.8
101-150	University of Munich		22.3
101-150	University of Porto		16.4
101-150	University of the Republic - Uruguay		8.8
101-150	University of Warwick		10.7
101-150	University of Zurich		10.7
101-150	Vrije Universiteit Amsterdam		23.2
101-150	Wageningen University & Research		10.7
101-150	Yeshiva University		17.5
151-200	American University of Beirut		10.7
151-200	Baylor College of Medicine		16.4
151-200	Bielefeld University		6.2
151-200	Brandeis University		8.8
151-200	Central South University		8.8
151-200	Charite - Universitats Medizin Berlin		10.7
151-200	Christian Medical College & Hospital (CMCH) Vellore		6.2
151-200	Cornell University		13.8
151-200	Dalhousie University		26.3
151-200	Deakin University		20.5
151-200	Jordan University of Science and Technology		6.2
151-200	Korea University		8.8
151-200	Kyoto University		15.2
151-200	National and Kapodistrian University of Athens		23.2
151-200	National University of Malaysia		8.8
151-200	Norwegian University of Science and Technology - NTNU		21.4
151-200	Oregon Health and Science University		10.7
151-200	Paris-Saclay University		26.3
151-200	Peking University		32.2
151-200	Radboud University Nijmegen		19.6
151-200	Rutgers, The State University of New Jersey - New Brunswick		22.3
151-200	St George's, University of London		15.2
151-200	Sun Yat-sen University		12.4
151-200	Taipei Medical University		8.8
151-200	The Ohio State University - Columbus		18.6
151-200	The University of Manchester		24.0
151-200	The University of Tokyo		17.5
151-200	Universidade Federal de Pelotas		29.0
151-200	University of Antwerp		19.6
151-200	University of Arizona		20.5
151-200	University of Belgrade		0.0
151-200	University of Birmingham		13.8
151-200	University of Canberra		6.2
151-200	University of Chicago		25.5
151-200	University of Cincinnati		29.7
151-200	University of East Anglia		13.8
151-200	Exeter University		22.3
151-200	University of Hohenheim		0.0
151-200	University of Illinois at Chicago		25.5
151-200	University of Iowa		29.7
151-200	University of Kinshasa		0.0
151-200	University of Leeds		21.4
151-200	University of Massachusetts Amherst		24.8
151-200	University of South Australia		17.5
151-200	University of Sussex		6.2
151-200	University of Tartu		19.6
151-200	University of Wisconsin - Madison		20.5
151-200	University of York		10.7
151-200	Weill Cornell Medical College Qatar		6.2
151-200	Wuhan University		8.8
201-300	Brigham Young University		15.2
201-300	Cardiff University		18.6
201-300	Catholic University of Louvain		15.2
201-300	ETH Zurich		18.6
201-300	Federal University of Minas Gerais		10.7
